method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9931023526819344,0.9926097852365247,0.03282275711159737,0.9083710407239819,0.8405511811023622,1.0,427,81,376,0,884,0,31
fedavg_plain,multimodal,none,0.9892833701953041,0.9910969551795745,0.021791767554479417,0.9624413145539906,0.965675057208238,0.9612756264236902,422,15,398,17,852,1,31
fedavg_plain,multimodal,none,0.999585985613,0.9995770218983704,0.0058997050147492625,0.9941262848751835,0.9884393063583815,1.0,342,4,335,0,681,2,31
fedavg_plain,multimodal,none,0.9953627675326423,0.9954655852747774,0.017902813299232736,0.9040207522697795,0.84,0.9947368421052631,378,72,319,2,771,3,31
fedavg_plain,multimodal,none,0.9985758329812041,0.9985731005452576,0.011299435028248588,0.9846153846153847,0.972972972972973,0.997229916897507,360,10,344,1,715,4,31
fedavg_plain,multimodal,none,0.9972092684348587,0.9971902345749911,0.01643835616438356,0.9527665317139001,0.9148418491484185,1.0,376,35,330,0,741,5,31
fedavg_plain,multimodal,none,0.9962898072761002,0.9961395668221624,0.02875399361022364,0.956661316211878,0.9198813056379822,1.0,310,27,286,0,623,6,31
fedavg_plain,multimodal,none,0.9877977963073258,0.9877678144143506,0.07608695652173914,0.9113233287858117,0.8537735849056604,0.9917808219178083,362,62,306,3,733,7,31
fedprox_plain,multimodal,none,0.9931023526819344,0.9926097852365247,0.03282275711159737,0.9083710407239819,0.8405511811023622,1.0,427,81,376,0,884,0,31
fedprox_plain,multimodal,none,0.989261308167914,0.9910783562195782,0.021791767554479417,0.9624413145539906,0.965675057208238,0.9612756264236902,422,15,398,17,852,1,31
fedprox_plain,multimodal,none,0.9995859856129999,0.9995770218983704,0.0058997050147492625,0.9941262848751835,0.9884393063583815,1.0,342,4,335,0,681,2,31
fedprox_plain,multimodal,none,0.9953493067707633,0.9954565506269029,0.017902813299232736,0.9040207522697795,0.84,0.9947368421052631,378,72,319,2,771,3,31
fedprox_plain,multimodal,none,0.9985758329812042,0.9985731005452576,0.011299435028248588,0.9846153846153847,0.972972972972973,0.997229916897507,360,10,344,1,715,4,31
fedprox_plain,multimodal,none,0.9972092684348587,0.9971902338735485,0.01643835616438356,0.9527665317139001,0.9148418491484185,1.0,376,35,330,0,741,5,31
fedprox_plain,multimodal,none,0.9962898072761002,0.9961395668221624,0.02875399361022364,0.956661316211878,0.9198813056379822,1.0,310,27,286,0,623,6,31
fedprox_plain,multimodal,none,0.9877903513996427,0.9877623726201116,0.07608695652173914,0.9113233287858117,0.8537735849056604,0.9917808219178083,362,62,306,3,733,7,31
