method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,31
video_similarity,video,none,0.9736807777777778,0.9773688908975123,0.17866666666666667,0.5225,0.5115089514066496,1.0,3000,2865,135,0,6000,31
audio_similarity,audio,none,0.9736807777777778,0.9773688908975123,0.17866666666666667,0.5225,0.5115089514066496,1.0,3000,2865,135,0,6000,31
early_fusion_similarity,multimodal,none,0.9736807777777778,0.9773688908975123,0.17866666666666667,0.5225,0.5115089514066496,1.0,3000,2865,135,0,6000,31
centralized_audio,audio,none,0.9736807777777778,0.9773688908975123,0.17866666666666667,0.8608333333333333,0.7961696306429549,0.97,2910,745,2255,90,6000,31
centralized_multimodal,multimodal,none,0.9932897777777777,0.9936707937618398,0.029,0.9336666666666666,0.8865121806298277,0.9946666666666667,2984,382,2618,16,6000,31
local_multimodal,multimodal,none,0.9939031111111111,0.9944413762933825,0.031,0.9316666666666666,0.8849583828775267,0.9923333333333333,2977,387,2613,23,6000,31
fedavg_plain,multimodal,plain,0.9932591111111112,0.9935815481353686,0.028666666666666667,0.9451666666666667,0.906792567773378,0.9923333333333333,2977,306,2694,23,6000,31
fedprox_plain,multimodal,plain,0.9932601111111111,0.9935827144441866,0.029,0.9451666666666667,0.906792567773378,0.9923333333333333,2977,306,2694,23,6000,31
fedavg_secureagg,multimodal,secureagg,0.9932591111111112,0.9935815481353686,0.028666666666666667,0.9451666666666667,0.906792567773378,0.9923333333333333,2977,306,2694,23,6000,31
fedavg_heagg,multimodal,heagg,0.9932591111111112,0.9935815481353686,0.028666666666666667,0.9451666666666667,0.906792567773378,0.9923333333333333,2977,306,2694,23,6000,31
fedavgft_plain,multimodal,plain,0.9936156666666667,0.9939591081995924,0.025666666666666667,0.9485,0.9131102241326374,0.9913333333333333,2974,283,2717,26,6000,31
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,37
video_similarity,video,none,0.9718454999999999,0.9766414502870923,0.202,0.5223333333333333,0.5114217524718718,1.0,3000,2866,134,0,6000,37
audio_similarity,audio,none,0.9718454999999999,0.9766414502870923,0.202,0.5223333333333333,0.5114217524718718,1.0,3000,2866,134,0,6000,37
early_fusion_similarity,multimodal,none,0.9718454999999999,0.9766414502870923,0.202,0.5223333333333333,0.5114217524718718,1.0,3000,2866,134,0,6000,37
centralized_audio,audio,none,0.9718454999999999,0.9766414502870923,0.202,0.8786666666666667,0.8323581041544763,0.9483333333333334,2845,573,2427,155,6000,37
centralized_multimodal,multimodal,none,0.9920006666666666,0.9930785250071357,0.030666666666666665,0.9503333333333334,0.9203484754200373,0.986,2958,256,2744,42,6000,37
