round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.33404971052945653,plain,5.1353126764297485e-06,2.0409002900123596e-05,1344,1344,1.0,31
2,fedavg,plain,0.27448778816635044,plain,3.0989758670330048e-06,1.8251128494739532e-05,1344,1344,1.0,31
3,fedavg,plain,0.24727999155083732,plain,2.8903596103191376e-06,1.904228702187538e-05,1344,1344,1.0,31
4,fedavg,plain,0.23058040569643676,plain,3.034248948097229e-06,1.795915886759758e-05,1344,1344,1.0,31
5,fedavg,plain,0.21871004612203815,plain,2.659391611814499e-06,1.7873942852020264e-05,1344,1344,1.0,31
6,fedavg,plain,0.20952975660257797,plain,2.684071660041809e-06,1.7457175999879837e-05,1344,1344,1.0,31
7,fedavg,plain,0.2020490551996788,plain,2.51084566116333e-06,1.7619691789150238e-05,1344,1344,1.0,31
8,fedavg,plain,0.19574156178686908,plain,2.580694854259491e-06,1.5947967767715454e-05,1344,1344,1.0,31
9,fedavg,plain,0.19029777587537633,plain,2.2118911147117615e-06,1.636287197470665e-05,1344,1344,1.0,31
10,fedavg,plain,0.1855208636007847,plain,2.393033355474472e-06,1.661013811826706e-05,1344,1344,1.0,31
11,fedavg,plain,0.18127752329647084,plain,2.5150366127490997e-06,1.6002915799617767e-05,1344,1344,1.0,31
12,fedavg,plain,0.17747274454575693,plain,2.4670735001564026e-06,1.6378238797187805e-05,1344,1344,1.0,31
13,fedavg,plain,0.1740359204775852,plain,2.8838403522968292e-06,1.768302172422409e-05,1344,1344,1.0,31
14,fedavg,plain,0.17091275932234407,plain,3.430992364883423e-06,2.399226650595665e-05,1344,1344,1.0,31
15,fedavg,plain,0.1680603389298166,plain,2.614688128232956e-06,1.847604289650917e-05,1344,1344,1.0,31
16,fedavg,plain,0.1654439515362392,plain,2.9583461582660675e-06,1.802900806069374e-05,1344,1344,1.0,31
17,fedavg,plain,0.16303501288597133,plain,2.8870999813079834e-06,1.7516780644655228e-05,1344,1344,1.0,31
18,fedavg,plain,0.16080962844876384,plain,2.2798776626586914e-06,1.687975600361824e-05,1344,1344,1.0,31
19,fedavg,plain,0.15874757927059352,plain,2.9262155294418335e-06,1.932075247168541e-05,1344,1344,1.0,31
20,fedavg,plain,0.15683158422276866,plain,2.461019903421402e-06,1.7389655113220215e-05,1344,1344,1.0,31
21,fedavg,plain,0.15504674958269482,plain,2.634245902299881e-06,1.667579635977745e-05,1344,1344,1.0,31
22,fedavg,plain,0.15338014900463012,plain,2.651941031217575e-06,1.800619065761566e-05,1344,1344,1.0,31
23,fedavg,plain,0.15182049652833451,plain,2.7907080948352814e-06,1.705670729279518e-05,1344,1344,1.0,31
24,fedavg,plain,0.15035788752466595,plain,3.084074705839157e-06,1.863902434706688e-05,1344,1344,1.0,31
25,fedavg,plain,0.14898359031934943,plain,3.1208619475364685e-06,1.820828765630722e-05,1344,1344,1.0,31
26,fedavg,plain,0.14768987636653602,plain,3.0407682061195374e-06,1.849886029958725e-05,1344,1344,1.0,31
27,fedavg,plain,0.14646988027011362,plain,2.746935933828354e-06,1.7702113837003708e-05,1344,1344,1.0,31
28,fedavg,plain,0.1453174832847723,plain,3.046821802854538e-06,1.720292493700981e-05,1344,1344,1.0,31
29,fedavg,plain,0.14422721554947476,plain,2.694781869649887e-06,1.674378290772438e-05,1344,1344,1.0,31
30,fedavg,plain,0.14319417345232932,plain,2.811197191476822e-06,1.7992686480283737e-05,1344,1344,1.0,31
1,fedprox,plain,0.33503292713929145,plain,3.2600946724414825e-06,2.1044164896011353e-05,1344,1344,1.0,31
2,fedprox,plain,0.2750918879788916,plain,3.521796315908432e-06,1.987488940358162e-05,1344,1344,1.0,31
3,fedprox,plain,0.2477224288709191,plain,3.2158568501472473e-06,1.8080230802297592e-05,1344,1344,1.0,31
4,fedprox,plain,0.23093828044700587,plain,2.766028046607971e-06,1.7911195755004883e-05,1344,1344,1.0,31
5,fedprox,plain,0.2190173362898455,plain,2.917833626270294e-06,1.792795956134796e-05,1344,1344,1.0,31
