seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,2.841511741280556e-06,1.786427261928717e-05,1.0
31,fedprox_plain,plain,0,0,3.133357192079226e-06,1.82238407433033e-05,1.0
31,fedavg_secureagg,secureagg,0,0,3.0114936331907908e-06,1.765835719803969e-05,2.0
31,fedavg_heagg,heagg,0,0,2.2017117589712144e-05,2.06193421036005e-05,16.0
37,fedavg_plain,plain,0,0,3.165891394019127e-06,1.7683207988739014e-05,1.0
37,fedprox_plain,plain,0,0,3.0503918727238974e-06,1.755648603041967e-05,1.0
37,fedavg_secureagg,secureagg,0,0,3.181848054130872e-06,1.8942542374134065e-05,2.0
37,fedavg_heagg,heagg,0,0,2.174306040008863e-05,2.1575003241499265e-05,16.0
41,fedavg_plain,plain,0,0,2.8573752691348395e-06,1.681353896856308e-05,1.0
41,fedprox_plain,plain,0,0,4.270082960526148e-06,1.7049722373485565e-05,1.0
41,fedavg_secureagg,secureagg,0,0,3.216431165734927e-06,1.687367136279742e-05,2.0
41,fedavg_heagg,heagg,0,0,2.1031762783726057e-05,2.0946391547719637e-05,16.0
