method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,249,0,0,249,fma_cross_genre_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,2751,0,0,2751,fma_same_genre_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
video_similarity,multimodal,none,,,,0.03614457831325301,0.0,0.0,0,240,9,0,249,fma_cross_genre_negative,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
video_similarity,multimodal,none,,,,0.04580152671755725,0.0,0.0,0,2625,126,0,2751,fma_same_genre_negative,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
audio_similarity,multimodal,none,,,,0.03614457831325301,0.0,0.0,0,240,9,0,249,fma_cross_genre_negative,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
audio_similarity,multimodal,none,,,,0.04580152671755725,0.0,0.0,0,2625,126,0,2751,fma_same_genre_negative,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
early_fusion_similarity,multimodal,none,,,,0.03614457831325301,0.0,0.0,0,240,9,0,249,fma_cross_genre_negative,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
early_fusion_similarity,multimodal,none,,,,0.04580152671755725,0.0,0.0,0,2625,126,0,2751,fma_same_genre_negative,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedavg_plain,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_plain,multimodal,none,,,,0.9437751004016064,0.0,0.0,0,14,235,0,249,fma_cross_genre_negative,31
fedavg_plain,multimodal,none,,,,0.9842271293375394,1.0,0.9842271293375394,624,0,0,10,634,fma_dropout_copy,31
fedavg_plain,multimodal,none,,,,0.9819376026272578,1.0,0.9819376026272578,598,0,0,11,609,fma_lowpass_copy,31
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_plain,multimodal,none,,,,0.8938567793529626,0.0,0.0,0,292,2459,0,2751,fma_same_genre_negative,31
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedprox_plain,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedprox_plain,multimodal,none,,,,0.9437751004016064,0.0,0.0,0,14,235,0,249,fma_cross_genre_negative,31
fedprox_plain,multimodal,none,,,,0.9842271293375394,1.0,0.9842271293375394,624,0,0,10,634,fma_dropout_copy,31
fedprox_plain,multimodal,none,,,,0.9819376026272578,1.0,0.9819376026272578,598,0,0,11,609,fma_lowpass_copy,31
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedprox_plain,multimodal,none,,,,0.8938567793529626,0.0,0.0,0,292,2459,0,2751,fma_same_genre_negative,31
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedavg_secureagg,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_secureagg,multimodal,none,,,,0.9437751004016064,0.0,0.0,0,14,235,0,249,fma_cross_genre_negative,31
fedavg_secureagg,multimodal,none,,,,0.9842271293375394,1.0,0.9842271293375394,624,0,0,10,634,fma_dropout_copy,31
fedavg_secureagg,multimodal,none,,,,0.9819376026272578,1.0,0.9819376026272578,598,0,0,11,609,fma_lowpass_copy,31
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_secureagg,multimodal,none,,,,0.8938567793529626,0.0,0.0,0,292,2459,0,2751,fma_same_genre_negative,31
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedavg_heagg,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_heagg,multimodal,none,,,,0.9437751004016064,0.0,0.0,0,14,235,0,249,fma_cross_genre_negative,31
fedavg_heagg,multimodal,none,,,,0.9842271293375394,1.0,0.9842271293375394,624,0,0,10,634,fma_dropout_copy,31
fedavg_heagg,multimodal,none,,,,0.9819376026272578,1.0,0.9819376026272578,598,0,0,11,609,fma_lowpass_copy,31
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_heagg,multimodal,none,,,,0.8938567793529626,0.0,0.0,0,292,2459,0,2751,fma_same_genre_negative,31
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedavgft_plain,multimodal,none,,,,0.9929947460595446,1.0,0.9929947460595446,567,0,0,4,571,fma_crop_copy,31
fedavgft_plain,multimodal,none,,,,0.9437751004016064,0.0,0.0,0,14,235,0,249,fma_cross_genre_negative,31
fedavgft_plain,multimodal,none,,,,0.9826498422712934,1.0,0.9826498422712934,623,0,0,11,634,fma_dropout_copy,31
fedavgft_plain,multimodal,none,,,,0.9819376026272578,1.0,0.9819376026272578,598,0,0,11,609,fma_lowpass_copy,31
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavgft_plain,multimodal,none,,,,0.9022173754998183,0.0,0.0,0,269,2482,0,2751,fma_same_genre_negative,31
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
random,multimodal,none,,,,0.0,0.0,0.0,0,233,0,0,233,fma_cross_genre_negative,37
random,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
random,multimodal,none,,,,0.0,0.0,0.0,0,2767,0,0,2767,fma_same_genre_negative,37
random,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
video_similarity,multimodal,none,,,,0.06437768240343347,0.0,0.0,0,218,15,0,233,fma_cross_genre_negative,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
video_similarity,multimodal,none,,,,0.04300686664257319,0.0,0.0,0,2648,119,0,2767,fma_same_genre_negative,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
audio_similarity,multimodal,none,,,,0.06437768240343347,0.0,0.0,0,218,15,0,233,fma_cross_genre_negative,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
audio_similarity,multimodal,none,,,,0.04300686664257319,0.0,0.0,0,2648,119,0,2767,fma_same_genre_negative,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
early_fusion_similarity,multimodal,none,,,,0.06437768240343347,0.0,0.0,0,218,15,0,233,fma_cross_genre_negative,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
early_fusion_similarity,multimodal,none,,,,0.04300686664257319,0.0,0.0,0,2648,119,0,2767,fma_same_genre_negative,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
fedavg_plain,multimodal,none,,,,0.9917218543046358,1.0,0.9917218543046358,599,0,0,5,604,fma_crop_copy,37
fedavg_plain,multimodal,none,,,,0.9785407725321889,0.0,0.0,0,5,228,0,233,fma_cross_genre_negative,37
fedavg_plain,multimodal,none,,,,0.9745627980922098,1.0,0.9745627980922098,613,0,0,16,629,fma_dropout_copy,37
fedavg_plain,multimodal,none,,,,0.9656301145662848,1.0,0.9656301145662848,590,0,0,21,611,fma_lowpass_copy,37
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavg_plain,multimodal,none,,,,0.9266353451391398,0.0,0.0,0,203,2564,0,2767,fma_same_genre_negative,37
fedavg_plain,multimodal,none,,,,0.9886363636363636,1.0,0.9886363636363636,522,0,0,6,528,fma_speed_copy,37
fedprox_plain,multimodal,none,,,,0.9917218543046358,1.0,0.9917218543046358,599,0,0,5,604,fma_crop_copy,37
fedprox_plain,multimodal,none,,,,0.9785407725321889,0.0,0.0,0,5,228,0,233,fma_cross_genre_negative,37
fedprox_plain,multimodal,none,,,,0.9745627980922098,1.0,0.9745627980922098,613,0,0,16,629,fma_dropout_copy,37
