method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,base_runtime_sec
centralized_audio,1,0.006797682959586382,31,none,,,,
centralized_multimodal,1,0.02206295868381858,31,none,,,,
local_multimodal,1,0.0187712199985981,31,local,,,,
fedavg_plain,30,0.13674263376742601,31,plain,2.841511741280556e-06,1.786427261928717e-05,1.0,
fedprox_plain,30,0.14368435787037015,31,plain,3.133357192079226e-06,1.82238407433033e-05,1.0,
fedavg_secureagg,30,0.1366798160597682,31,secureagg,3.0114936331907908e-06,1.765835719803969e-05,2.0,
fedavg_heagg,30,0.13783027697354555,31,heagg,2.2017117589712144e-05,2.06193421036005e-05,16.0,
fedavgft_plain,1,0.005263601895421743,31,plain,,,,0.1361360289156437
centralized_audio,1,0.007455158978700638,37,none,,,,
centralized_multimodal,1,0.022750445175915956,37,none,,,,
local_multimodal,1,0.019137700088322163,37,local,,,,
fedavg_plain,30,0.1375027820467949,37,plain,3.165891394019127e-06,1.7683207988739014e-05,1.0,
fedprox_plain,30,0.14005874190479517,37,plain,3.0503918727238974e-06,1.755648603041967e-05,1.0,
fedavg_secureagg,30,0.14548009214922786,37,secureagg,3.181848054130872e-06,1.8942542374134065e-05,2.0,
fedavg_heagg,30,0.14329810393974185,37,heagg,2.174306040008863e-05,2.1575003241499265e-05,16.0,
fedavgft_plain,1,0.005346901249140501,37,plain,,,,0.14306406490504742
centralized_audio,1,0.007155709899961948,41,none,,,,
centralized_multimodal,1,0.021025634836405516,41,none,,,,
local_multimodal,1,0.018588159698992968,41,local,,,,
fedavg_plain,30,0.13569389004260302,41,plain,2.8573752691348395e-06,1.681353896856308e-05,1.0,
fedprox_plain,30,0.13999192602932453,41,plain,4.270082960526148e-06,1.7049722373485565e-05,1.0,
fedavg_secureagg,30,0.13815124798566103,41,secureagg,3.216431165734927e-06,1.687367136279742e-05,2.0,
fedavg_heagg,30,0.13983094599097967,41,heagg,2.1031762783726057e-05,2.0946391547719637e-05,16.0,
fedavgft_plain,1,0.005367367062717676,41,plain,,,,0.1406160299666226
