method,modality,privacy_mode,roc_auc_mean,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,fpr_at_95_recall_mean,roc_auc_std,pr_auc_std,accuracy_std,precision_std,recall_std,fpr_at_95_recall_std
audio_similarity,audio,none,0.9729882777777777,0.9773167855585583,0.5203333333333333,0.51038228838415,1.0,0.19099999999999998,0.0009970575150268987,0.0006508487704574851,0.0036094013046179393,0.0018764276982564014,0.0,0.011723670263379357
centralized_audio,audio,none,0.9729882777777777,0.9773167855585583,0.8657777777777778,0.80762641886539,0.9613333333333335,0.19099999999999998,0.0009970575150268987,0.0006508487704574851,0.01126244167987532,0.02143755053337863,0.011464922347946577,0.011723670263379357
centralized_multimodal,multimodal,none,0.9929165555555555,0.993601219780261,0.9400555555555555,0.8998166383252525,0.9907777777777779,0.0294444444444444,0.0007976949276075469,0.0004916140846725332,0.008988160937424132,0.01803884616651539,0.0044011782934086086,0.0010715167512214245
early_fusion_similarity,multimodal,none,0.9729882777777777,0.9773167855585583,0.5203333333333333,0.51038228838415,1.0,0.19099999999999998,0.0009970575150268987,0.0006508487704574851,0.0036094013046179393,0.0018764276982564014,0.0,0.011723670263379357
fedavg_heagg,multimodal,heagg,0.9928917407407408,0.9935073186968614,0.9497777777777778,0.9171787995278219,0.9891111111111112,0.0303333333333333,0.0007412496150215109,0.000429090884663742,0.0065961548844200935,0.01484151139717448,0.0044762749063296785,0.0018559214542766835
fedavg_plain,multimodal,plain,0.9928917407407408,0.9935073186968614,0.9497777777777778,0.9171787995278219,0.9891111111111112,0.0303333333333333,0.0007412496150215109,0.000429090884663742,0.0065961548844200935,0.01484151139717448,0.0044762749063296785,0.0018559214542766835
fedavg_secureagg,multimodal,secureagg,0.9928917407407408,0.9935073186968614,0.9497777777777778,0.9171787995278219,0.9891111111111112,0.0303333333333333,0.0007412496150215109,0.000429090884663742,0.0065961548844200935,0.01484151139717448,0.0044762749063296785,0.0018559214542766835
fedavgft_plain,multimodal,plain,0.9932446666666667,0.9938826518161207,0.9523333333333334,0.9216871982939501,0.9888888888888888,0.028222222222222166,0.0008646350189816646,0.0005596579197267214,0.006495725089968261,0.0139617064460034,0.003404789654676502,0.0025018511664883776
fedprox_plain,multimodal,plain,0.9928917777777778,0.9935080108466887,0.9497777777777778,0.9171787995278219,0.9891111111111112,0.03044444444444443,0.0007432132522175115,0.0004308605018965041,0.0065961548844200935,0.01484151139717448,0.0044762749063296785,0.0017105338131489416
local_multimodal,multimodal,none,0.9931988518518517,0.9940426063583536,0.9400000000000001,0.9009686086162851,0.9892222222222221,0.0373333333333333,0.001148306022001395,0.000810678465219998,0.01005402075457051,0.02096127006680426,0.005975257626555053,0.0080069414329762
random,multimodal,none,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
video_similarity,video,none,0.9729882777777777,0.9773167855585583,0.5203333333333333,0.51038228838415,1.0,0.19099999999999998,0.0009970575150268987,0.0006508487704574851,0.0036094013046179393,0.0018764276982564014,0.0,0.011723670263379357
