method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9959157318629286,0.9955504797018806,0.02188183807439825,0.9321266968325792,0.8767967145790554,1.0,427,60,397,0,884,0,31
fedavg_plain,multimodal,none,0.9892723391816091,0.9911689189704371,0.03631961259079903,0.9507042253521126,0.9401330376940134,0.9658314350797267,424,27,386,15,852,1,31
fedavg_plain,multimodal,none,0.9988183339371043,0.9988208381129218,0.0029498525073746312,0.9882525697503671,0.9854651162790697,0.9912280701754386,339,5,334,3,681,2,31
fedavg_plain,multimodal,none,0.9947570332480818,0.9953264256435951,0.020460358056265986,0.8702983138780804,0.7953586497890295,0.9921052631578947,377,97,294,3,771,3,31
fedavg_plain,multimodal,none,0.9985367075136546,0.9987383364755853,0.0,0.9846153846153847,0.9807692307692307,0.9889196675900277,357,7,347,4,715,4,31
fedavg_plain,multimodal,none,0.9973258525211309,0.9973214333175745,0.0136986301369863,0.9460188933873145,0.9057971014492754,0.9973404255319149,375,39,326,1,741,5,31
fedavg_plain,multimodal,none,0.9974337833659692,0.9971949234548676,0.012779552715654952,0.9791332263242376,0.9597523219814241,1.0,310,13,300,0,623,6,31
fedavg_plain,multimodal,none,0.9917659321024419,0.9915625121435692,0.043478260869565216,0.9154160982264665,0.8548009367681498,1.0,365,62,306,0,733,7,31
fedprox_plain,multimodal,none,0.9958542372360215,0.9954907220425474,0.02188183807439825,0.9321266968325792,0.8767967145790554,1.0,427,60,397,0,884,0,31
fedprox_plain,multimodal,none,0.9893054322226941,0.991208765010028,0.03631961259079903,0.9507042253521126,0.9401330376940134,0.9658314350797267,424,27,386,15,852,1,31
fedprox_plain,multimodal,none,0.9988183339371043,0.9988208381129218,0.0029498525073746312,0.9882525697503671,0.9854651162790697,0.9912280701754386,339,5,334,3,681,2,31
fedprox_plain,multimodal,none,0.9947435724862027,0.9953154661819749,0.020460358056265986,0.8702983138780804,0.7953586497890295,0.9921052631578947,377,97,294,3,771,3,31
fedprox_plain,multimodal,none,0.9985367075136546,0.9987383364755853,0.0,0.9846153846153847,0.9807692307692307,0.9889196675900277,357,7,347,4,715,4,31
fedprox_plain,multimodal,none,0.9973695715534829,0.9973658777395082,0.0136986301369863,0.9460188933873145,0.9057971014492754,0.9973404255319149,375,39,326,1,741,5,31
fedprox_plain,multimodal,none,0.9974337833659692,0.9971949234548676,0.012779552715654952,0.9791332263242376,0.9597523219814241,1.0,310,13,300,0,623,6,31
fedprox_plain,multimodal,none,0.9917659321024419,0.9915625121435692,0.043478260869565216,0.9113233287858117,0.8488372093023255,1.0,365,65,303,0,733,7,31
fedavg_secureagg,multimodal,none,0.9959157318629286,0.9955504797018806,0.02188183807439825,0.9321266968325792,0.8767967145790554,1.0,427,60,397,0,884,0,31
fedavg_secureagg,multimodal,none,0.9892723391816091,0.9911689189704371,0.03631961259079903,0.9507042253521126,0.9401330376940134,0.9658314350797267,424,27,386,15,852,1,31
fedavg_secureagg,multimodal,none,0.9988183339371043,0.9988208381129218,0.0029498525073746312,0.9882525697503671,0.9854651162790697,0.9912280701754386,339,5,334,3,681,2,31
fedavg_secureagg,multimodal,none,0.9947570332480818,0.9953264256435951,0.020460358056265986,0.8702983138780804,0.7953586497890295,0.9921052631578947,377,97,294,3,771,3,31
fedavg_secureagg,multimodal,none,0.9985367075136546,0.9987383364755853,0.0,0.9846153846153847,0.9807692307692307,0.9889196675900277,357,7,347,4,715,4,31
fedavg_secureagg,multimodal,none,0.9973258525211309,0.9973214333175745,0.0136986301369863,0.9460188933873145,0.9057971014492754,0.9973404255319149,375,39,326,1,741,5,31
fedavg_secureagg,multimodal,none,0.9974337833659692,0.9971949234548676,0.012779552715654952,0.9791332263242376,0.9597523219814241,1.0,310,13,300,0,623,6,31
fedavg_secureagg,multimodal,none,0.9917659321024419,0.9915625121435692,0.043478260869565216,0.9154160982264665,0.8548009367681498,1.0,365,62,306,0,733,7,31
