method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,31
video_similarity,video,none,0.9766677777777778,0.9800376396836222,0.14333333333333334,0.5373333333333333,0.5193905817174516,1.0,3000,2776,224,0,6000,31
audio_similarity,audio,none,0.9766677777777778,0.9800376396836222,0.14333333333333334,0.5373333333333333,0.5193905817174516,1.0,3000,2776,224,0,6000,31
early_fusion_similarity,multimodal,none,0.9766677777777778,0.9800376396836222,0.14333333333333334,0.5373333333333333,0.5193905817174516,1.0,3000,2776,224,0,6000,31
centralized_audio,audio,none,0.9766677777777778,0.9800376396836222,0.14333333333333334,0.8688333333333333,0.8047369870559075,0.974,2922,709,2291,78,6000,31
centralized_multimodal,multimodal,none,0.9936025555555554,0.9940832088208521,0.026333333333333334,0.9323333333333333,0.886471990464839,0.9916666666666667,2975,381,2619,25,6000,31
local_multimodal,multimodal,none,0.9939579999999998,0.9945089976932151,0.024666666666666667,0.9301666666666667,0.8828240878077722,0.992,2976,395,2605,24,6000,31
fedavg_plain,multimodal,plain,0.9937332222222223,0.9941377640273986,0.026333333333333334,0.944,0.9056029232643118,0.9913333333333333,2974,310,2690,26,6000,31
fedprox_plain,multimodal,plain,0.9937363333333332,0.9941411990501594,0.026333333333333334,0.9435,0.9047763918466687,0.9913333333333333,2974,313,2687,26,6000,31
fedavg_secureagg,multimodal,secureagg,0.9937332222222223,0.9941377640273986,0.026333333333333334,0.944,0.9056029232643118,0.9913333333333333,2974,310,2690,26,6000,31
fedavg_heagg,multimodal,heagg,0.9937332222222223,0.9941377640273986,0.026333333333333334,0.944,0.9056029232643118,0.9913333333333333,2974,310,2690,26,6000,31
fedavgft_plain,multimodal,plain,0.9940966666666665,0.9945085881155805,0.023333333333333334,0.945,0.9072605247101891,0.9913333333333333,2974,304,2696,26,6000,31
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,37
video_similarity,video,none,0.9759848888888889,0.9798022629022587,0.184,0.537,0.5192107995846313,1.0,3000,2778,222,0,6000,37
audio_similarity,audio,none,0.9759848888888889,0.9798022629022587,0.184,0.537,0.5192107995846313,1.0,3000,2778,222,0,6000,37
early_fusion_similarity,multimodal,none,0.9759848888888889,0.9798022629022587,0.184,0.537,0.5192107995846313,1.0,3000,2778,222,0,6000,37
centralized_audio,audio,none,0.9759848888888889,0.9798022629022587,0.184,0.8816666666666667,0.8324622531939605,0.9556666666666667,2867,577,2423,133,6000,37
centralized_multimodal,multimodal,none,0.994154,0.9948533994580707,0.024,0.9488333333333333,0.9146904835232522,0.99,2970,277,2723,30,6000,37
local_multimodal,multimodal,none,0.9937736666666667,0.9945095192069978,0.028333333333333332,0.9498333333333333,0.9166409385612844,0.9896666666666667,2969,270,2730,31,6000,37
fedavg_plain,multimodal,plain,0.9942362222222221,0.9948744945365464,0.024,0.9578333333333333,0.9325984251968504,0.987,2961,214,2786,39,6000,37
fedprox_plain,multimodal,plain,0.9942354444444443,0.9948745276048375,0.024,0.9578333333333333,0.9325984251968504,0.987,2961,214,2786,39,6000,37
fedavg_secureagg,multimodal,secureagg,0.9942362222222221,0.9948744945365464,0.024,0.9578333333333333,0.9325984251968504,0.987,2961,214,2786,39,6000,37
fedavg_heagg,multimodal,heagg,0.9942362222222221,0.9948744945365464,0.024,0.9578333333333333,0.9325984251968504,0.987,2961,214,2786,39,6000,37
fedavgft_plain,multimodal,plain,0.9944324444444443,0.9950809183943942,0.025,0.959,0.9346590909090909,0.987,2961,207,2793,39,6000,37
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,41
video_similarity,video,none,0.9793032222222222,0.982559229829835,0.11866666666666667,0.5238333333333334,0.5122076148198736,1.0,3000,2857,143,0,6000,41
audio_similarity,audio,none,0.9793032222222222,0.982559229829835,0.11866666666666667,0.5238333333333334,0.5122076148198736,1.0,3000,2857,143,0,6000,41
early_fusion_similarity,multimodal,none,0.9793032222222222,0.982559229829835,0.11866666666666667,0.5238333333333334,0.5122076148198736,1.0,3000,2857,143,0,6000,41
centralized_audio,audio,none,0.9793032222222222,0.982559229829835,0.11866666666666667,0.869,0.8080133555926544,0.968,2904,690,2310,96,6000,41
centralized_multimodal,multimodal,none,0.9956923333333333,0.995911765515319,0.01633333333333333,0.9428333333333333,0.9034315214090495,0.9916666666666667,2975,318,2682,25,6000,41
local_multimodal,multimodal,none,0.995304,0.9955765358095582,0.027333333333333334,0.9441666666666667,0.9051383399209486,0.9923333333333333,2977,312,2688,23,6000,41
fedavg_plain,multimodal,plain,0.9958488888888889,0.9959917657499036,0.017,0.9563333333333334,0.9275452841973766,0.99,2970,232,2768,30,6000,41
fedprox_plain,multimodal,plain,0.995845,0.9959895959100847,0.017,0.9563333333333334,0.9275452841973766,0.99,2970,232,2768,30,6000,41
fedavg_secureagg,multimodal,secureagg,0.9958488888888889,0.9959917657499036,0.017,0.9563333333333334,0.9275452841973766,0.99,2970,232,2768,30,6000,41
fedavg_heagg,multimodal,heagg,0.9958488888888889,0.9959917657499036,0.017,0.9563333333333334,0.9275452841973766,0.99,2970,232,2768,30,6000,41
fedavgft_plain,multimodal,plain,0.996222,0.9963849797455532,0.016,0.9576666666666667,0.9298685034439574,0.99,2970,224,2776,30,6000,41
