round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.32890035021486597,plain,1.2579839676618576e-05,5.0045084208250046e-05,1344,1344,1.0,31
2,fedavg,plain,0.26964297334973686,plain,7.528811693191528e-06,4.189973697066307e-05,1344,1344,1.0,31
3,fedavg,plain,0.24271563041806685,plain,6.991904228925705e-06,4.0848273783922195e-05,1344,1344,1.0,31
4,fedavg,plain,0.2262406583372957,plain,6.430316716432571e-06,3.975396975874901e-05,1344,1344,1.0,31
5,fedavg,plain,0.21454157748204142,plain,5.9818848967552185e-06,3.7244055420160294e-05,1344,1344,1.0,31
6,fedavg,plain,0.20548538661197507,plain,6.7320652306079865e-06,3.9596110582351685e-05,1344,1344,1.0,31
7,fedavg,plain,0.19808793772767516,plain,6.3711777329444885e-06,3.905734047293663e-05,1344,1344,1.0,31
8,fedavg,plain,0.19182876996190518,plain,6.834976375102997e-06,3.859633579850197e-05,1344,1344,1.0,31
9,fedavg,plain,0.18640374134214244,plain,7.905066013336182e-06,4.004407674074173e-05,1344,1344,1.0,31
10,fedavg,plain,0.18162078760715156,plain,7.364898920059204e-06,3.9326027035713196e-05,1344,1344,1.0,31
11,fedavg,plain,0.17735080304602918,plain,6.217043846845627e-06,3.752904012799263e-05,1344,1344,1.0,31
12,fedavg,plain,0.17350243412543015,plain,5.763024091720581e-06,3.88328917324543e-05,1344,1344,1.0,31
13,fedavg,plain,0.17000823540558246,plain,7.320195436477661e-06,3.8961879909038544e-05,1344,1344,1.0,31
14,fedavg,plain,0.1668166284370221,plain,5.725771188735962e-06,3.800308331847191e-05,1344,1344,1.0,31
15,fedavg,plain,0.16388700420864766,plain,7.275957614183426e-06,4.642503336071968e-05,1344,1344,1.0,31
16,fedavg,plain,0.16118661447963364,plain,7.167458534240723e-06,3.9204955101013184e-05,1344,1344,1.0,31
17,fedavg,plain,0.15868852487632457,plain,6.270129233598709e-06,3.729015588760376e-05,1344,1344,1.0,31
18,fedavg,plain,0.15637022176690085,plain,6.588175892829895e-06,3.9594247937202454e-05,1344,1344,1.0,31
19,fedavg,plain,0.15421263507578636,plain,7.017049938440323e-06,3.8675032556056976e-05,1344,1344,1.0,31
20,fedavg,plain,0.1521994336785442,plain,7.937196642160416e-06,4.581315442919731e-05,1344,1344,1.0,31
21,fedavg,plain,0.15031650436395227,plain,8.115079253911972e-06,4.31048683822155e-05,1344,1344,1.0,31
22,fedavg,plain,0.14855155759471128,plain,8.292961865663528e-06,4.310673102736473e-05,1344,1344,1.0,31
23,fedavg,plain,0.1468938229634592,plain,7.798895239830017e-06,5.17270527780056e-05,1344,1344,1.0,31
24,fedavg,plain,0.1453338095341185,plain,8.015893399715424e-06,4.047481343150139e-05,1344,1344,1.0,31
25,fedavg,plain,0.14386311411830222,plain,7.500872015953064e-06,4.3483916670084e-05,1344,1344,1.0,31
26,fedavg,plain,0.14247426566686633,plain,6.683170795440674e-06,3.9328355342149734e-05,1344,1344,1.0,31
27,fedavg,plain,0.14116059737110054,plain,9.29785892367363e-06,4.072021692991257e-05,1344,1344,1.0,31
28,fedavg,plain,0.13991614038261463,plain,5.138106644153595e-06,3.723707050085068e-05,1344,1344,1.0,31
29,fedavg,plain,0.1387355346579045,plain,9.159091860055923e-06,5.998695269227028e-05,1344,1344,1.0,31
30,fedavg,plain,0.13761395355435474,plain,7.3891133069992065e-06,4.268903285264969e-05,1344,1344,1.0,31
1,fedprox,plain,0.32989108543015144,plain,8.978880941867828e-06,4.629511386156082e-05,1344,1344,1.0,31
2,fedprox,plain,0.27024567262629406,plain,6.117857992649078e-06,4.588114097714424e-05,1344,1344,1.0,31
3,fedprox,plain,0.24315375577109122,plain,6.4079649746418e-06,3.77376563847065e-05,1344,1344,1.0,31
4,fedprox,plain,0.2265927367169997,plain,6.645917892456055e-06,4.037795588374138e-05,1344,1344,1.0,31
5,fedprox,plain,0.2148422956681947,plain,7.375143468379974e-06,3.8545578718185425e-05,1344,1344,1.0,31
6,fedprox,plain,0.20575258900873877,plain,7.017981261014938e-06,3.87788750231266e-05,1344,1344,1.0,31
7,fedprox,plain,0.19833176427860344,plain,7.031019777059555e-06,3.965012729167938e-05,1344,1344,1.0,31
8,fedprox,plain,0.19205539510861175,plain,7.685739547014236e-06,3.7088990211486816e-05,1344,1344,1.0,31
9,fedprox,plain,0.18661712165566907,plain,6.256625056266785e-06,3.981497138738632e-05,1344,1344,1.0,31
10,fedprox,plain,0.18182356185537302,plain,7.112044841051102e-06,3.8004014641046524e-05,1344,1344,1.0,31
11,fedprox,plain,0.17754479077080604,plain,6.161164492368698e-06,3.94526869058609e-05,1344,1344,1.0,31
12,fedprox,plain,0.1736889276618852,plain,6.4712949097156525e-06,3.656232729554176e-05,1344,1344,1.0,31
13,fedprox,plain,0.17018817847467363,plain,5.4370611906051636e-06,3.672298043966293e-05,1344,1344,1.0,31
14,fedprox,plain,0.16699072911722362,plain,6.247777491807938e-06,3.499910235404968e-05,1344,1344,1.0,31
15,fedprox,plain,0.16405580831409966,plain,6.353016942739487e-06,3.687432035803795e-05,1344,1344,1.0,31
16,fedprox,plain,0.16135055422432104,plain,6.68596476316452e-06,3.9282720535993576e-05,1344,1344,1.0,31
17,fedprox,plain,0.15884795168457044,plain,5.7853758335113525e-06,3.771623596549034e-05,1344,1344,1.0,31
18,fedprox,plain,0.15652542868872352,plain,6.941147148609161e-06,4.2607076466083527e-05,1344,1344,1.0,31
19,fedprox,plain,0.15436387226643417,plain,6.95791095495224e-06,4.127155989408493e-05,1344,1344,1.0,31
20,fedprox,plain,0.1523469191863101,plain,9.410083293914795e-06,6.0311052948236465e-05,1344,1344,1.0,31
21,fedprox,plain,0.15046043171009726,plain,8.522998541593552e-06,4.3765176087617874e-05,1344,1344,1.0,31
22,fedprox,plain,0.14869210114185197,plain,1.636100932955742e-05,5.738576874136925e-05,1344,1344,1.0,31
23,fedprox,plain,0.14703114174968712,plain,1.0138843208551407e-05,6.001908332109451e-05,1344,1344,1.0,31
24,fedprox,plain,0.14546805003762625,plain,7.480848580598831e-06,5.535781383514404e-05,1344,1344,1.0,31
25,fedprox,plain,0.14399441227377863,plain,7.560010999441147e-06,5.1449984312057495e-05,1344,1344,1.0,31
26,fedprox,plain,0.14260274835689105,plain,6.654299795627594e-06,4.1029881685972214e-05,1344,1344,1.0,31
27,fedprox,plain,0.14128638354820489,plain,5.024950951337814e-06,3.6141835153102875e-05,1344,1344,1.0,31
28,fedprox,plain,0.1400393419307934,plain,4.685018211603165e-06,3.3725984394550323e-05,1344,1344,1.0,31
29,fedprox,plain,0.13885625706967208,plain,4.395376890897751e-06,3.140512853860855e-05,1344,1344,1.0,31
30,fedprox,plain,0.13773229647656618,plain,7.534865289926529e-06,4.322594031691551e-05,1344,1344,1.0,31
1,fedavg,secureagg,0.32890035021486597,secureagg,7.82916322350502e-06,4.0893442928791046e-05,1344,2688,2.0,31
2,fedavg,secureagg,0.26964297334973686,secureagg,5.852431058883667e-06,4.0898099541664124e-05,1344,2688,2.0,31
3,fedavg,secureagg,0.24271563041806685,secureagg,6.495043635368347e-06,3.9939768612384796e-05,1344,2688,2.0,31
4,fedavg,secureagg,0.2262406583372957,secureagg,8.90018418431282e-06,4.588207229971886e-05,1344,2688,2.0,31
