seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,7.313132906953494e-06,4.161998319129149e-05,1.0
31,fedprox_plain,plain,0,0,7.181273152430852e-06,4.2049369464317955e-05,1.0
31,fedavg_secureagg,secureagg,0,0,4.155980423092842e-06,2.571307122707367e-05,2.0
31,fedavg_heagg,heagg,0,0,2.396105167766412e-05,2.385705399016539e-05,16.0
37,fedavg_plain,plain,0,0,2.8286905338366826e-06,1.7887524639566738e-05,1.0
37,fedprox_plain,plain,0,0,2.9551951835552852e-06,1.8327310681343078e-05,1.0
37,fedavg_secureagg,secureagg,0,0,2.9451524217923484e-06,1.845628333588441e-05,2.0
37,fedavg_heagg,heagg,0,0,2.0969736700256664e-05,2.1929278348882995e-05,16.0
41,fedavg_plain,plain,0,0,2.887022371093432e-06,1.856501524647077e-05,1.0
41,fedprox_plain,plain,0,0,4.309043288230896e-06,2.02431653936704e-05,1.0
41,fedavg_secureagg,secureagg,0,0,2.990150824189186e-06,1.8687949826320012e-05,2.0
41,fedavg_heagg,heagg,0,0,2.1578076605995496e-05,2.3174968858559927e-05,16.0
