method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,249,0,0,249,fma_cross_genre_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,2751,0,0,2751,fma_same_genre_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
video_similarity,multimodal,none,,,,0.060240963855421686,0.0,0.0,0,234,15,0,249,fma_cross_genre_negative,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
video_similarity,multimodal,none,,,,0.07597237368229735,0.0,0.0,0,2542,209,0,2751,fma_same_genre_negative,31
video_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
audio_similarity,multimodal,none,,,,0.060240963855421686,0.0,0.0,0,234,15,0,249,fma_cross_genre_negative,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
audio_similarity,multimodal,none,,,,0.07597237368229735,0.0,0.0,0,2542,209,0,2751,fma_same_genre_negative,31
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,571,0,0,0,571,fma_crop_copy,31
early_fusion_similarity,multimodal,none,,,,0.060240963855421686,0.0,0.0,0,234,15,0,249,fma_cross_genre_negative,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,634,0,0,0,634,fma_dropout_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,609,0,0,0,609,fma_lowpass_copy,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
early_fusion_similarity,multimodal,none,,,,0.07597237368229735,0.0,0.0,0,2542,209,0,2751,fma_same_genre_negative,31
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,583,0,0,0,583,fma_speed_copy,31
fedavg_plain,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_plain,multimodal,none,,,,0.9477911646586346,0.0,0.0,0,13,236,0,249,fma_cross_genre_negative,31
fedavg_plain,multimodal,none,,,,0.9936908517350158,1.0,0.9936908517350158,630,0,0,4,634,fma_dropout_copy,31
fedavg_plain,multimodal,none,,,,0.9753694581280788,1.0,0.9753694581280788,594,0,0,15,609,fma_lowpass_copy,31
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_plain,multimodal,none,,,,0.8920392584514721,0.0,0.0,0,297,2454,0,2751,fma_same_genre_negative,31
fedavg_plain,multimodal,none,,,,0.9914236706689536,1.0,0.9914236706689536,578,0,0,5,583,fma_speed_copy,31
fedprox_plain,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedprox_plain,multimodal,none,,,,0.9477911646586346,0.0,0.0,0,13,236,0,249,fma_cross_genre_negative,31
fedprox_plain,multimodal,none,,,,0.9936908517350158,1.0,0.9936908517350158,630,0,0,4,634,fma_dropout_copy,31
fedprox_plain,multimodal,none,,,,0.9753694581280788,1.0,0.9753694581280788,594,0,0,15,609,fma_lowpass_copy,31
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedprox_plain,multimodal,none,,,,0.8909487459105779,0.0,0.0,0,300,2451,0,2751,fma_same_genre_negative,31
fedprox_plain,multimodal,none,,,,0.9914236706689536,1.0,0.9914236706689536,578,0,0,5,583,fma_speed_copy,31
fedavg_secureagg,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_secureagg,multimodal,none,,,,0.9477911646586346,0.0,0.0,0,13,236,0,249,fma_cross_genre_negative,31
fedavg_secureagg,multimodal,none,,,,0.9936908517350158,1.0,0.9936908517350158,630,0,0,4,634,fma_dropout_copy,31
fedavg_secureagg,multimodal,none,,,,0.9753694581280788,1.0,0.9753694581280788,594,0,0,15,609,fma_lowpass_copy,31
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_secureagg,multimodal,none,,,,0.8920392584514721,0.0,0.0,0,297,2454,0,2751,fma_same_genre_negative,31
fedavg_secureagg,multimodal,none,,,,0.9914236706689536,1.0,0.9914236706689536,578,0,0,5,583,fma_speed_copy,31
fedavg_heagg,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavg_heagg,multimodal,none,,,,0.9477911646586346,0.0,0.0,0,13,236,0,249,fma_cross_genre_negative,31
fedavg_heagg,multimodal,none,,,,0.9936908517350158,1.0,0.9936908517350158,630,0,0,4,634,fma_dropout_copy,31
fedavg_heagg,multimodal,none,,,,0.9753694581280788,1.0,0.9753694581280788,594,0,0,15,609,fma_lowpass_copy,31
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavg_heagg,multimodal,none,,,,0.8920392584514721,0.0,0.0,0,297,2454,0,2751,fma_same_genre_negative,31
fedavg_heagg,multimodal,none,,,,0.9914236706689536,1.0,0.9914236706689536,578,0,0,5,583,fma_speed_copy,31
fedavgft_plain,multimodal,none,,,,0.9964973730297724,1.0,0.9964973730297724,569,0,0,2,571,fma_crop_copy,31
fedavgft_plain,multimodal,none,,,,0.9518072289156626,0.0,0.0,0,12,237,0,249,fma_cross_genre_negative,31
fedavgft_plain,multimodal,none,,,,0.9936908517350158,1.0,0.9936908517350158,630,0,0,4,634,fma_dropout_copy,31
fedavgft_plain,multimodal,none,,,,0.9753694581280788,1.0,0.9753694581280788,594,0,0,15,609,fma_lowpass_copy,31
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,603,0,0,0,603,fma_noise_copy,31
fedavgft_plain,multimodal,none,,,,0.8938567793529626,0.0,0.0,0,292,2459,0,2751,fma_same_genre_negative,31
fedavgft_plain,multimodal,none,,,,0.9914236706689536,1.0,0.9914236706689536,578,0,0,5,583,fma_speed_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
random,multimodal,none,,,,0.0,0.0,0.0,0,233,0,0,233,fma_cross_genre_negative,37
random,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
random,multimodal,none,,,,0.0,0.0,0.0,0,2767,0,0,2767,fma_same_genre_negative,37
random,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
video_similarity,multimodal,none,,,,0.07725321888412018,0.0,0.0,0,215,18,0,233,fma_cross_genre_negative,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
video_similarity,multimodal,none,,,,0.07372605710155403,0.0,0.0,0,2563,204,0,2767,fma_same_genre_negative,37
video_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
audio_similarity,multimodal,none,,,,0.07725321888412018,0.0,0.0,0,215,18,0,233,fma_cross_genre_negative,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
audio_similarity,multimodal,none,,,,0.07372605710155403,0.0,0.0,0,2563,204,0,2767,fma_same_genre_negative,37
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
early_fusion_similarity,multimodal,none,,,,0.07725321888412018,0.0,0.0,0,215,18,0,233,fma_cross_genre_negative,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,629,0,0,0,629,fma_dropout_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,611,0,0,0,611,fma_lowpass_copy,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
early_fusion_similarity,multimodal,none,,,,0.07372605710155403,0.0,0.0,0,2563,204,0,2767,fma_same_genre_negative,37
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,528,0,0,0,528,fma_speed_copy,37
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
fedavg_plain,multimodal,none,,,,0.9656652360515021,0.0,0.0,0,8,225,0,233,fma_cross_genre_negative,37
fedavg_plain,multimodal,none,,,,0.9777424483306836,1.0,0.9777424483306836,615,0,0,14,629,fma_dropout_copy,37
fedavg_plain,multimodal,none,,,,0.972176759410802,1.0,0.972176759410802,594,0,0,17,611,fma_lowpass_copy,37
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavg_plain,multimodal,none,,,,0.9255511384170582,0.0,0.0,0,206,2561,0,2767,fma_same_genre_negative,37
fedavg_plain,multimodal,none,,,,0.9848484848484849,1.0,0.9848484848484849,520,0,0,8,528,fma_speed_copy,37
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,604,0,0,0,604,fma_crop_copy,37
fedprox_plain,multimodal,none,,,,0.9656652360515021,0.0,0.0,0,8,225,0,233,fma_cross_genre_negative,37
fedprox_plain,multimodal,none,,,,0.9777424483306836,1.0,0.9777424483306836,615,0,0,14,629,fma_dropout_copy,37
