method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,base_runtime_sec
centralized_audio,1,0.021749102976173162,31,none,,,,
centralized_multimodal,1,0.027317089959979057,31,none,,,,
local_multimodal,1,0.033378122840076685,31,local,,,,
fedavg_plain,30,0.19202643912285566,31,plain,7.313132906953494e-06,4.161998319129149e-05,1.0,
fedprox_plain,30,0.19547384465113282,31,plain,7.181273152430852e-06,4.2049369464317955e-05,1.0,
fedavg_secureagg,30,0.14883147599175572,31,secureagg,4.155980423092842e-06,2.571307122707367e-05,2.0,
fedavg_heagg,30,0.1368106259033084,31,heagg,2.396105167766412e-05,2.385705399016539e-05,16.0,
fedavgft_plain,1,0.005179012194275856,31,plain,,,,0.13666081195697188
centralized_audio,1,0.0069984449073672295,37,none,,,,
centralized_multimodal,1,0.020424553658813238,37,none,,,,
local_multimodal,1,0.018508158158510923,37,local,,,,
fedavg_plain,30,0.13218332501128316,37,plain,2.8286905338366826e-06,1.7887524639566738e-05,1.0,
fedprox_plain,30,0.13576416904106736,37,plain,2.9551951835552852e-06,1.8327310681343078e-05,1.0,
fedavg_secureagg,30,0.13296197494491935,37,secureagg,2.9451524217923484e-06,1.845628333588441e-05,2.0,
fedavg_heagg,30,0.13335283007472754,37,heagg,2.0969736700256664e-05,2.1929278348882995e-05,16.0,
fedavgft_plain,1,0.005337249021977186,37,plain,,,,0.13154904590919614
centralized_audio,1,0.00708334194496274,41,none,,,,
centralized_multimodal,1,0.020324678160250187,41,none,,,,
local_multimodal,1,0.01821997296065092,41,local,,,,
fedavg_plain,30,0.13319222116842866,41,plain,2.887022371093432e-06,1.856501524647077e-05,1.0,
fedprox_plain,30,0.1373957977630198,41,plain,4.309043288230896e-06,2.02431653936704e-05,1.0,
fedavg_secureagg,30,0.13507420336827636,41,secureagg,2.990150824189186e-06,1.8687949826320012e-05,2.0,
fedavg_heagg,30,0.1361697711981833,41,heagg,2.1578076605995496e-05,2.3174968858559927e-05,16.0,
fedavgft_plain,1,0.005833601113408804,41,plain,,,,0.13284852635115385
