method,modality,privacy_mode,roc_auc_mean,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,fpr_at_95_recall_mean,roc_auc_std,pr_auc_std,accuracy_std,precision_std,recall_std,fpr_at_95_recall_std
audio_similarity,audio,none,0.9773186296296297,0.9807997108052388,0.5327222222222222,0.5169363320406521,1.0,0.14866666666666664,0.001752295673558595,0.0015283261941544473,0.007699807597403753,0.004096175694399086,0.0,0.032991581417756356
centralized_audio,audio,none,0.9773186296296297,0.9807997108052388,0.8731666666666666,0.8150708652808408,0.9658888888888889,0.14866666666666664,0.001752295673558595,0.0015283261941544473,0.007361687608452614,0.015150212138963639,0.009347211903576888,0.032991581417756356
centralized_multimodal,multimodal,none,0.9944829629629629,0.9949494579314139,0.9413333333333332,0.9015313317990469,0.9911111111111112,0.0222222222222222,0.0010830305920768717,0.000918055182952403,0.00835164654424501,0.014204889230029235,0.0009622504486494626,0.005231669940886028
early_fusion_similarity,multimodal,none,0.9773186296296297,0.9807997108052388,0.5327222222222222,0.5169363320406521,1.0,0.14866666666666664,0.001752295673558595,0.0015283261941544473,0.007699807597403753,0.004096175694399086,0.0,0.032991581417756356
fedavg_heagg,multimodal,heagg,0.9946061111111111,0.9950013414379496,0.9527222222222221,0.9219155442195129,0.9894444444444445,0.022444444444444434,0.0011052713258306523,0.0009334871177790273,0.007590808281755612,0.01435129820995963,0.0022194427061597165,0.004857220665420962
fedavg_plain,multimodal,plain,0.9946061111111111,0.9950013414379496,0.9527222222222221,0.9219155442195129,0.9894444444444445,0.022444444444444434,0.0011052713258306523,0.0009334871177790273,0.007590808281755612,0.01435129820995963,0.0022194427061597165,0.004857220665420962
fedavg_secureagg,multimodal,secureagg,0.9946061111111111,0.9950013414379496,0.9527222222222221,0.9219155442195129,0.9894444444444445,0.022444444444444434,0.0011052713258306523,0.0009334871177790273,0.007590808281755612,0.01435129820995963,0.0022194427061597165,0.004857220665420962
fedavgft_plain,multimodal,plain,0.9949170370370369,0.9953248287518427,0.9538888888888889,0.9239293730210791,0.9894444444444445,0.021444444444444433,0.0011425335575122122,0.0009616811239236096,0.007726817178095025,0.014633021221670758,0.0022194427061597165,0.00478810253920338
fedprox_plain,multimodal,plain,0.9946055925925926,0.9950017741883607,0.9525555555555556,0.9216400337469652,0.9894444444444445,0.022444444444444434,0.0011019873032213259,0.0009307451357429885,0.00787812254378001,0.014821281054491141,0.0022194427061597165,0.004857220665420962
local_multimodal,multimodal,none,0.9943452222222221,0.9948650175699237,0.9413888888888889,0.9015344554300017,0.9913333333333334,0.026777777777777734,0.0008354255291855025,0.0006161929259521985,0.010123313759904894,0.01719406398410202,0.0014529663145134168,0.0018954135676924608
random,multimodal,none,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
video_similarity,video,none,0.9773186296296297,0.9807997108052388,0.5327222222222222,0.5169363320406521,1.0,0.14866666666666664,0.001752295673558595,0.0015283261941544473,0.007699807597403753,0.004096175694399086,0.0,0.032991581417756356
