method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9969375,0.9967590237403176,0.0078125,0.9802371541501976,0.96875,0.992,124,4,124,1,253,0,31
fedavg_plain,multimodal,none,0.9982775590551181,0.9981493385558313,0.0078125,0.9803921568627451,0.9692307692307692,0.9921259842519685,126,4,124,1,255,1,31
fedavg_plain,multimodal,none,0.9919270833333333,0.9915081753264205,0.03333333333333333,0.967741935483871,0.9545454545454546,0.984375,126,6,114,2,248,2,31
fedavg_plain,multimodal,none,0.99008547008547,0.9916488267868329,0.02564102564102564,0.9586776859504132,0.952755905511811,0.968,121,6,111,4,242,3,31
fedavg_plain,multimodal,none,0.9983826891974793,0.9984725164712086,0.015503875968992248,0.9850746268656716,0.9787234042553191,0.9928057553956835,138,3,126,1,268,4,31
fedavg_plain,multimodal,none,0.9934065934065934,0.9915985449432864,0.03571428571428571,0.9610894941634242,0.9349593495934959,0.9829059829059829,115,8,132,2,257,5,31
fedavg_plain,multimodal,none,0.9949573863636364,0.9933561702005831,0.03125,0.9789915966386554,0.9646017699115044,0.990909090909091,109,4,124,1,238,6,31
fedavg_plain,multimodal,none,0.9948275862068965,0.9947002137766177,0.041666666666666664,0.961864406779661,0.9495798319327731,0.9741379310344828,113,6,114,3,236,7,31
fedavg_plain,multimodal,none,0.9927882846419899,0.9906967323037288,0.023622047244094488,0.9572649572649573,0.9369369369369369,0.9719626168224299,104,7,120,3,234,8,31
fedavg_plain,multimodal,none,0.9904354904354905,0.9858754235702895,0.02564102564102564,0.9753086419753086,0.9615384615384616,0.9920634920634921,125,5,112,1,243,9,31
fedavg_plain,multimodal,none,0.996505376344086,0.9965616706910899,0.016666666666666666,0.9631147540983607,0.96,0.967741935483871,120,5,115,4,244,10,31
fedavg_plain,multimodal,none,0.9928301645221177,0.9931096271138504,0.04065040650406504,0.952,0.9323308270676691,0.9763779527559056,124,9,114,3,250,11,31
fedavg_plain,multimodal,none,0.9982522874473116,0.9984045587185773,0.0,0.967741935483871,0.9523809523809523,0.9859154929577465,140,7,130,2,279,12,31
fedavg_plain,multimodal,none,0.9975695119580013,0.9977731819922024,0.014388489208633094,0.975609756097561,0.9731543624161074,0.9797297297297297,145,4,135,3,287,13,31
fedavg_plain,multimodal,none,0.9987698195735375,0.9986667774319594,0.008064516129032258,0.9834710743801653,0.9830508474576272,0.9830508474576272,116,2,122,2,242,14,31
fedavg_plain,multimodal,none,0.998059665292263,0.99797557129425,0.007518796992481203,0.9649805447470817,0.9457364341085271,0.9838709677419355,122,7,126,2,257,15,31
fedavg_plain,multimodal,none,0.9968959094985168,0.9975401610421104,0.009174311926605505,0.9752066115702479,0.9703703703703703,0.9849624060150376,131,4,105,2,242,16,31
fedavg_plain,multimodal,none,0.9979906663209748,0.9982792833160036,0.017241379310344827,0.9678714859437751,0.9432624113475178,1.0,133,8,108,0,249,17,31
fedavg_plain,multimodal,none,0.9931673604021047,0.9945791567926594,0.04672897196261682,0.9601769911504425,0.9435483870967742,0.9831932773109243,117,7,100,2,226,18,31
fedavg_plain,multimodal,none,0.9966666666666666,0.9969518380501016,0.016666666666666666,0.968,0.9621212121212122,0.9769230769230769,127,5,115,3,250,19,31
fedprox_plain,multimodal,none,0.9969375,0.9967590237403176,0.0078125,0.9802371541501976,0.96875,0.992,124,4,124,1,253,0,31
fedprox_plain,multimodal,none,0.9982775590551181,0.9981493385558313,0.0078125,0.9803921568627451,0.9692307692307692,0.9921259842519685,126,4,124,1,255,1,31
fedprox_plain,multimodal,none,0.9919270833333333,0.9915081753264205,0.03333333333333333,0.967741935483871,0.9545454545454546,0.984375,126,6,114,2,248,2,31
fedprox_plain,multimodal,none,0.9900170940170939,0.9915832805683454,0.02564102564102564,0.9586776859504132,0.952755905511811,0.968,121,6,111,4,242,3,31
fedprox_plain,multimodal,none,0.9983826891974793,0.9984725164712086,0.015503875968992248,0.9850746268656716,0.9787234042553191,0.9928057553956835,138,3,126,1,268,4,31
fedprox_plain,multimodal,none,0.9934065934065934,0.9915985449432864,0.03571428571428571,0.9610894941634242,0.9349593495934959,0.9829059829059829,115,8,132,2,257,5,31
fedprox_plain,multimodal,none,0.9950284090909091,0.9934842111736943,0.03125,0.9789915966386554,0.9646017699115044,0.990909090909091,109,4,124,1,238,6,31
fedprox_plain,multimodal,none,0.9948275862068965,0.9947002137766177,0.041666666666666664,0.961864406779661,0.9495798319327731,0.9741379310344828,113,6,114,3,236,7,31
fedprox_plain,multimodal,none,0.9927882846419899,0.9906967323037288,0.023622047244094488,0.9572649572649573,0.9369369369369369,0.9719626168224299,104,7,120,3,234,8,31
fedprox_plain,multimodal,none,0.9904354904354905,0.9858754235702895,0.02564102564102564,0.9753086419753086,0.9615384615384616,0.9920634920634921,125,5,112,1,243,9,31
fedprox_plain,multimodal,none,0.996505376344086,0.9965616706910899,0.016666666666666666,0.9631147540983607,0.96,0.967741935483871,120,5,115,4,244,10,31
fedprox_plain,multimodal,none,0.9928301645221177,0.9931096271138504,0.04065040650406504,0.952,0.9323308270676691,0.9763779527559056,124,9,114,3,250,11,31
fedprox_plain,multimodal,none,0.9982008841369384,0.9983626651282966,0.0,0.967741935483871,0.9523809523809523,0.9859154929577465,140,7,130,2,279,12,31
fedprox_plain,multimodal,none,0.9975695119580013,0.9977731819922024,0.014388489208633094,0.975609756097561,0.9731543624161074,0.9797297297297297,145,4,135,3,287,13,31
fedprox_plain,multimodal,none,0.9987698195735375,0.9986667774319594,0.008064516129032258,0.9834710743801653,0.9830508474576272,0.9830508474576272,116,2,122,2,242,14,31
fedprox_plain,multimodal,none,0.998059665292263,0.99797557129425,0.007518796992481203,0.9649805447470817,0.9457364341085271,0.9838709677419355,122,7,126,2,257,15,31
fedprox_plain,multimodal,none,0.9968959094985168,0.9975401610421104,0.009174311926605505,0.9752066115702479,0.9703703703703703,0.9849624060150376,131,4,105,2,242,16,31
fedprox_plain,multimodal,none,0.9979906663209748,0.9982792833160036,0.017241379310344827,0.9678714859437751,0.9432624113475178,1.0,133,8,108,0,249,17,31
fedprox_plain,multimodal,none,0.9931673604021047,0.9945791567926594,0.04672897196261682,0.9601769911504425,0.9435483870967742,0.9831932773109243,117,7,100,2,226,18,31
fedprox_plain,multimodal,none,0.9966666666666666,0.9969518380501016,0.016666666666666666,0.968,0.9621212121212122,0.9769230769230769,127,5,115,3,250,19,31
fedavg_secureagg,multimodal,none,0.9969375,0.9967590237403176,0.0078125,0.9802371541501976,0.96875,0.992,124,4,124,1,253,0,31
fedavg_secureagg,multimodal,none,0.9982775590551181,0.9981493385558313,0.0078125,0.9803921568627451,0.9692307692307692,0.9921259842519685,126,4,124,1,255,1,31
fedavg_secureagg,multimodal,none,0.9919270833333333,0.9915081753264205,0.03333333333333333,0.967741935483871,0.9545454545454546,0.984375,126,6,114,2,248,2,31
fedavg_secureagg,multimodal,none,0.99008547008547,0.9916488267868329,0.02564102564102564,0.9586776859504132,0.952755905511811,0.968,121,6,111,4,242,3,31
fedavg_secureagg,multimodal,none,0.9983826891974793,0.9984725164712086,0.015503875968992248,0.9850746268656716,0.9787234042553191,0.9928057553956835,138,3,126,1,268,4,31
fedavg_secureagg,multimodal,none,0.9934065934065934,0.9915985449432864,0.03571428571428571,0.9610894941634242,0.9349593495934959,0.9829059829059829,115,8,132,2,257,5,31
fedavg_secureagg,multimodal,none,0.9949573863636364,0.9933561702005831,0.03125,0.9789915966386554,0.9646017699115044,0.990909090909091,109,4,124,1,238,6,31
fedavg_secureagg,multimodal,none,0.9948275862068965,0.9947002137766177,0.041666666666666664,0.961864406779661,0.9495798319327731,0.9741379310344828,113,6,114,3,236,7,31
fedavg_secureagg,multimodal,none,0.9927882846419899,0.9906967323037288,0.023622047244094488,0.9572649572649573,0.9369369369369369,0.9719626168224299,104,7,120,3,234,8,31
fedavg_secureagg,multimodal,none,0.9904354904354905,0.9858754235702895,0.02564102564102564,0.9753086419753086,0.9615384615384616,0.9920634920634921,125,5,112,1,243,9,31
fedavg_secureagg,multimodal,none,0.996505376344086,0.9965616706910899,0.016666666666666666,0.9631147540983607,0.96,0.967741935483871,120,5,115,4,244,10,31
fedavg_secureagg,multimodal,none,0.9928301645221177,0.9931096271138504,0.04065040650406504,0.952,0.9323308270676691,0.9763779527559056,124,9,114,3,250,11,31
