method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5036,1.0,0.5036,0.5036,1.0,2518,2482,0,0,5000,31
video_similarity,video,none,0.7129832010491424,0.758842733215881,0.8456889605157132,0.63,0.6136054421768707,0.716441620333598,1804,1136,1346,714,5000,31
audio_similarity,audio,none,0.6976676870928988,0.7655361051660653,0.9170024174053183,0.6216,0.6220748829953198,0.6334392374900715,1595,969,1513,923,5000,31
early_fusion_similarity,multimodal,none,0.7879646880894307,0.8296471505106982,0.782433521353747,0.6774,0.6482148706190632,0.7859412231930103,1979,1074,1408,539,5000,31
centralized_video,video,none,0.9464492239277684,0.9474004594712143,0.25906526994359386,0.862,0.8561964146531567,0.8725178713264495,2197,369,2113,321,5000,31
centralized_audio,audio,none,0.9501143739291446,0.9531443308290233,0.25624496373892025,0.8682,0.8655131734172238,0.8741064336775218,2201,342,2140,317,5000,31
centralized_multimodal,multimodal,none,0.9953429585789728,0.9950789018793953,0.022562449637389202,0.9692,0.9567233384853169,0.9833200953137411,2476,112,2370,42,5000,31
local_multimodal,multimodal,none,0.9950269421966834,0.9945872674152297,0.024174053182917002,0.9656,0.9578454332552693,0.9745830023828436,2454,108,2374,64,5000,31
fedavg_plain,multimodal,plain,0.995417042419479,0.9951385921262231,0.022562449637389202,0.9694,0.9570931580981832,0.9833200953137411,2476,111,2371,42,5000,31
fedprox_plain,multimodal,plain,0.9954128822038134,0.9951350687499818,0.022562449637389202,0.9694,0.9570931580981832,0.9833200953137411,2476,111,2371,42,5000,31
fedavg_secureagg,multimodal,secureagg,0.995417042419479,0.9951385921262231,0.022562449637389202,0.9694,0.9570931580981832,0.9833200953137411,2476,111,2371,42,5000,31
fedavg_heagg,multimodal,heagg,0.995417042419479,0.9951385921262231,0.022562449637389202,0.9694,0.9570931580981832,0.9833200953137411,2476,111,2371,42,5000,31
random,multimodal,none,0.5,0.5058,1.0,0.5058,0.5058,1.0,2529,2471,0,0,5000,37
video_similarity,video,none,0.7136291459378774,0.761036414862333,0.8591663294212869,0.6384,0.6388140161725068,0.6559905100830368,1659,938,1533,870,5000,37
audio_similarity,audio,none,0.7131348394239929,0.7746834081495775,0.8737353298259813,0.6344,0.6273156556483835,0.682878608145512,1727,1026,1445,802,5000,37
early_fusion_similarity,multimodal,none,0.7990960063586154,0.8364991064033516,0.7616349656009712,0.7038,0.7032583397982932,0.7168841439304072,1813,765,1706,716,5000,37
centralized_video,video,none,0.9508341842478325,0.9496359539095005,0.23836503439902873,0.8758,0.8680555555555556,0.8896797153024911,2250,342,2129,279,5000,37
centralized_audio,audio,none,0.9548902500320443,0.9567375770690215,0.22824767300687981,0.8736,0.8738667717776902,0.8766310794780545,2217,320,2151,312,5000,37
centralized_multimodal,multimodal,none,0.9963646308247238,0.996307681305152,0.02063941723998381,0.9668,0.950438429279451,0.9857651245551602,2493,130,2341,36,5000,37
local_multimodal,multimodal,none,0.995140306079586,0.9952326704326676,0.03197086199919061,0.9624,0.9524545805952841,0.974298141557928,2464,123,2348,65,5000,37
fedavg_plain,multimodal,plain,0.9964321599114377,0.9963698173597937,0.019830028328611898,0.9672,0.9508196721311475,0.9861605377619612,2494,129,2342,35,5000,37
fedprox_plain,multimodal,plain,0.9964287994592553,0.996366554962883,0.019830028328611898,0.9672,0.9508196721311475,0.9861605377619612,2494,129,2342,35,5000,37
fedavg_secureagg,multimodal,secureagg,0.9964321599114377,0.9963698173597937,0.019830028328611898,0.9672,0.9508196721311475,0.9861605377619612,2494,129,2342,35,5000,37
fedavg_heagg,multimodal,heagg,0.9964321599114377,0.9963698173597937,0.019830028328611898,0.9672,0.9508196721311475,0.9861605377619612,2494,129,2342,35,5000,37
random,multimodal,none,0.5,0.507,1.0,0.493,0.0,0.0,0,0,2465,2535,5000,41
video_similarity,video,none,0.7251784549771756,0.7797486254064152,0.8580121703853956,0.6484,0.6521739130434783,0.6568047337278107,1665,888,1577,870,5000,41
audio_similarity,audio,none,0.7017879504382859,0.7691376296616651,0.8993914807302231,0.6282,0.6292048929663608,0.6493096646942801,1646,970,1495,889,5000,41
early_fusion_similarity,multimodal,none,0.8067080347748158,0.8458657512799,0.7720081135902637,0.7104,0.7061054228289723,0.7345167652859961,1862,775,1690,673,5000,41
centralized_video,video,none,0.951007677504791,0.9520047972773411,0.23975659229208926,0.8678,0.8623356535189481,0.8796844181459567,2230,356,2109,305,5000,41
centralized_audio,audio,none,0.9544742769582839,0.9575645648862209,0.24705882352941178,0.8716,0.8653029718255499,0.8844181459566075,2242,349,2116,293,5000,41
centralized_multimodal,multimodal,none,0.996062108173202,0.9959466904940086,0.022718052738336714,0.9672,0.9529996178830722,0.9838264299802761,2494,123,2342,41,5000,41
local_multimodal,multimodal,none,0.9948332273125532,0.9947035673525129,0.028803245436105476,0.9648,0.9569934134056567,0.9743589743589743,2470,111,2354,65,5000,41
fedavg_plain,multimodal,plain,0.9961270809078581,0.9960038982301344,0.02231237322515213,0.9676,0.9533817348108521,0.9842209072978304,2495,122,2343,40,5000,41
fedprox_plain,multimodal,plain,0.9961246804373658,0.996002342550215,0.02231237322515213,0.9676,0.9533817348108521,0.9842209072978304,2495,122,2343,40,5000,41
fedavg_secureagg,multimodal,secureagg,0.9961270809078581,0.9960038982301344,0.02231237322515213,0.9676,0.9533817348108521,0.9842209072978304,2495,122,2343,40,5000,41
fedavg_heagg,multimodal,heagg,0.9961270809078581,0.9960038982301344,0.02231237322515213,0.9676,0.9533817348108521,0.9842209072978304,2495,122,2343,40,5000,41
random,multimodal,none,0.5,0.502,1.0,0.498,0.0,0.0,0,0,2490,2510,5000,43
video_similarity,video,none,0.7283566137058194,0.7739270350738955,0.8614457831325302,0.6476,0.6331908831908832,0.7083665338645418,1778,1030,1460,732,5000,43
audio_similarity,audio,none,0.6874049184786957,0.7550901259592526,0.9044176706827309,0.6018,0.5912768202602884,0.6697211155378486,1681,1162,1328,829,5000,43
early_fusion_similarity,multimodal,none,0.7957263316213059,0.8337106984747459,0.7666666666666667,0.6948,0.6747159090909091,0.7569721115537849,1900,916,1574,610,5000,43
centralized_video,video,none,0.949070705131282,0.9490239322915122,0.25220883534136546,0.8726,0.8662495111458741,0.8824701195219123,2215,342,2148,295,5000,43
centralized_audio,audio,none,0.9513373013968224,0.9531716364689556,0.25863453815261045,0.8664,0.8617439120188531,0.8741035856573706,2194,352,2138,316,5000,43
centralized_multimodal,multimodal,none,0.9955047280756492,0.9953139829037992,0.020883534136546186,0.9694,0.9569600620395502,0.9832669322709163,2468,111,2379,42,5000,43
local_multimodal,multimodal,none,0.9944469511512184,0.9943743779334642,0.02530120481927711,0.9634,0.9536062378167641,0.9745019920318725,2446,119,2371,64,5000,43
fedavg_plain,multimodal,plain,0.9955992895886335,0.9954071680000077,0.020883534136546186,0.97,0.9577191621411947,0.9836653386454183,2469,109,2381,41,5000,43
fedprox_plain,multimodal,plain,0.995593369493912,0.9954012580283998,0.020883534136546186,0.97,0.9577191621411947,0.9836653386454183,2469,109,2381,41,5000,43
fedavg_secureagg,multimodal,secureagg,0.9955992895886335,0.9954071680000077,0.020883534136546186,0.97,0.9577191621411947,0.9836653386454183,2469,109,2381,41,5000,43
fedavg_heagg,multimodal,heagg,0.9955992895886335,0.9954071680000077,0.020883534136546186,0.97,0.9577191621411947,0.9836653386454183,2469,109,2381,41,5000,43
random,multimodal,none,0.5,0.5086,1.0,0.5086,0.5086,1.0,2543,2457,0,0,5000,47
video_similarity,video,none,0.7315741889080466,0.7854254541606494,0.8400488400488401,0.6438,0.6331236897274634,0.7125442390876917,1812,1050,1407,731,5000,47
audio_similarity,audio,none,0.6954606250713211,0.7599262557677382,0.8921448921448921,0.62,0.6202768424990647,0.6519858434919387,1658,1015,1442,885,5000,47
early_fusion_similarity,multimodal,none,0.8014098891015918,0.8401703942379449,0.7537647537647537,0.7048,0.697665802148944,0.7404640188753441,1883,816,1641,660,5000,47
centralized_video,video,none,0.9485543803278762,0.9483600341383487,0.2389092389092389,0.8692,0.8584440227703984,0.8895005898545025,2262,373,2084,281,5000,47
centralized_audio,audio,none,0.9516748234797782,0.9551893668559694,0.24745624745624745,0.861,0.8545663852647736,0.875737318128195,2227,379,2078,316,5000,47
centralized_multimodal,multimodal,none,0.995545562199121,0.9954663985859431,0.023606023606023607,0.9672,0.9521094640820981,0.9850570192685805,2505,126,2331,38,5000,47
local_multimodal,multimodal,none,0.9943818579288497,0.9943302208391189,0.02971102971102971,0.9614,0.9498468606431854,0.9756193472276838,2481,131,2326,62,5000,47
fedavg_plain,multimodal,plain,0.9956271863468089,0.9955432446223603,0.0231990231990232,0.9674,0.9524714828897338,0.9850570192685805,2505,125,2332,38,5000,47
fedprox_plain,multimodal,plain,0.9956227050210533,0.9955391205153123,0.0231990231990232,0.9674,0.9524714828897338,0.9850570192685805,2505,125,2332,38,5000,47
fedavg_secureagg,multimodal,secureagg,0.9956271863468089,0.9955432446223603,0.0231990231990232,0.9674,0.9524714828897338,0.9850570192685805,2505,125,2332,38,5000,47
fedavg_heagg,multimodal,heagg,0.9956270262994604,0.9955430983735688,0.0231990231990232,0.9674,0.9524714828897338,0.9850570192685805,2505,125,2332,38,5000,47
