round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.5411761716203037,plain,6.760936230421066e-06,2.951687201857567e-05,3200,3200,1.0,31
2,fedavg,plain,0.4538210855564378,plain,3.186054527759552e-06,2.64020636677742e-05,3200,3200,1.0,31
3,fedavg,plain,0.39512922783911997,plain,3.7178397178649902e-06,3.0313152819871902e-05,3200,3200,1.0,31
4,fedavg,plain,0.3529697068503351,plain,3.0249357223510742e-06,2.559460699558258e-05,3200,3200,1.0,31
5,fedavg,plain,0.32114533869970063,plain,3.1497329473495483e-06,2.598809078335762e-05,3200,3200,1.0,31
6,fedavg,plain,0.2962152150147573,plain,3.4030526876449585e-06,2.818414941430092e-05,3200,3200,1.0,31
7,fedavg,plain,0.27612167493426726,plain,3.232154995203018e-06,2.5638844817876816e-05,3200,3200,1.0,31
8,fedavg,plain,0.2595574516722291,plain,3.146938979625702e-06,2.6416964828968048e-05,3200,3200,1.0,31
9,fedavg,plain,0.24565066650148978,plain,3.0384398996829987e-06,2.542603760957718e-05,3200,3200,1.0,31
10,fedavg,plain,0.2337965520403243,plain,3.257300704717636e-06,2.471497282385826e-05,3200,3200,1.0,31
11,fedavg,plain,0.22356192439559325,plain,2.8763897716999054e-06,2.4928711354732513e-05,3200,3200,1.0,31
12,fedavg,plain,0.21462809878765782,plain,3.2619573175907135e-06,2.4800654500722885e-05,3200,3200,1.0,31
13,fedavg,plain,0.20675527215493852,plain,3.5283155739307404e-06,2.5428831577301025e-05,3200,3200,1.0,31
14,fedavg,plain,0.1997594731440866,plain,3.077089786529541e-06,2.5276094675064087e-05,3200,3200,1.0,31
15,fedavg,plain,0.19349717340012043,plain,3.0989758670330048e-06,2.4891924113035202e-05,3200,3200,1.0,31
16,fedavg,plain,0.1878547348160206,plain,3.0999071896076202e-06,2.5114044547080994e-05,3200,3200,1.0,31
17,fedavg,plain,0.18274100271317859,plain,3.123190253973007e-06,2.6358291506767273e-05,3200,3200,1.0,31
18,fedavg,plain,0.17808200000175495,plain,3.393273800611496e-06,2.627866342663765e-05,3200,3200,1.0,31
19,fedavg,plain,0.17381705720207907,plain,3.1101517379283905e-06,2.5854911655187607e-05,3200,3200,1.0,31
20,fedavg,plain,0.16989594400622826,plain,2.9671937227249146e-06,2.49519944190979e-05,3200,3200,1.0,31
