seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,3.2714257637659707e-06,2.570813521742821e-05,1.0
31,fedprox_plain,plain,0,0,3.4916835526625314e-06,2.5653264795740446e-05,1.0
31,fedavg_secureagg,secureagg,0,0,3.530473137895266e-06,2.5615949804584186e-05,2.0
31,fedavg_heagg,heagg,0,0,4.170166018108527e-05,3.279540687799454e-05,16.0
37,fedavg_plain,plain,0,0,3.409835820396741e-06,2.5597183654705683e-05,1.0
37,fedprox_plain,plain,0,0,3.464876984556516e-06,2.691045713921388e-05,1.0
37,fedavg_secureagg,secureagg,0,0,3.526421884695689e-06,2.537923865020275e-05,2.0
37,fedavg_heagg,heagg,0,0,4.01121253768603e-05,3.207645689447721e-05,16.0
41,fedavg_plain,plain,0,0,3.2636492202679316e-06,2.469078948100408e-05,1.0
41,fedprox_plain,plain,0,0,5.616682271162669e-06,2.5400565937161447e-05,1.0
41,fedavg_secureagg,secureagg,0,0,3.366389622290929e-06,2.5798861558238664e-05,2.0
41,fedavg_heagg,heagg,0,0,4.136372978488604e-05,3.252077537278334e-05,16.0
43,fedavg_plain,plain,0,0,3.2929548372824986e-06,2.5388319045305252e-05,1.0
43,fedprox_plain,plain,0,0,5.328996727863947e-06,2.544849800566832e-05,1.0
43,fedavg_secureagg,secureagg,0,0,3.5250093787908552e-06,2.555024499694506e-05,2.0
43,fedavg_heagg,heagg,0,0,4.033109483619531e-05,3.2331841066479686e-05,16.0
47,fedavg_plain,plain,0,0,3.5978232820828755e-06,2.7093912164370217e-05,1.0
47,fedprox_plain,plain,0,0,6.05595608552297e-06,2.6198942214250566e-05,1.0
47,fedavg_secureagg,secureagg,0,0,3.4231226891279222e-06,2.5155674666166306e-05,2.0
47,fedavg_heagg,heagg,0,0,4.1006909062465034e-05,3.226916305720806e-05,16.0
