method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,0.5,0.5185185185185185,1.0,0.5185185185185185,0.5185185185185185,1.0,182,169,0,0,351,audio_noise,31
random,multimodal,none,0.5,0.524547803617571,1.0,0.524547803617571,0.524547803617571,1.0,203,184,0,0,387,audio_replaced,31
random,multimodal,none,0.5,0.5207373271889401,1.0,0.5207373271889401,0.5207373271889401,1.0,226,208,0,0,434,cam_recording,31
random,multimodal,none,0.5,0.631768953068592,1.0,0.631768953068592,0.631768953068592,1.0,350,204,0,0,554,clean_copy,31
random,multimodal,none,0.5,0.588477366255144,1.0,0.588477366255144,0.588477366255144,1.0,286,200,0,0,486,crop_overlay,31
random,multimodal,none,,,,0.0,0.0,0.0,0,748,0,0,748,hard_negative_same_topic,31
random,multimodal,none,0.5,0.6225045372050817,1.0,0.6225045372050817,0.6225045372050817,1.0,343,208,0,0,551,partial_segment,31
random,multimodal,none,0.5,0.5694444444444444,1.0,0.5694444444444444,0.5694444444444444,1.0,246,186,0,0,432,pitch_shift,31
random,multimodal,none,0.5,0.6136363636363636,1.0,0.6136363636363636,0.6136363636363636,1.0,324,204,0,0,528,reencode,31
random,multimodal,none,0.5,0.6767485822306238,1.0,0.6767485822306238,0.6767485822306238,1.0,358,171,0,0,529,speed_change,31
video_similarity,multimodal,none,1.0,0.9999999999999999,0.0,0.8603988603988604,0.7878787878787878,1.0,182,49,120,0,351,audio_noise,31
video_similarity,multimodal,none,0.8391250803169843,0.8366752762800489,0.5217391304347826,0.7467700258397932,0.7312775330396476,0.8177339901477833,166,61,123,37,387,audio_replaced,31
video_similarity,multimodal,none,0.6009402654867256,0.6247132413007672,0.8798076923076923,0.5506912442396313,0.6026490066225165,0.4026548672566372,91,60,148,135,434,cam_recording,31
video_similarity,multimodal,none,0.9977450980392156,0.9987090417218754,0.004901960784313725,0.8880866425992779,0.8495145631067961,1.0,350,62,142,0,554,clean_copy,31
video_similarity,multimodal,none,0.6594230769230769,0.7083635281187828,0.79,0.5781893004115226,0.6956521739130435,0.5034965034965035,144,63,137,142,486,crop_overlay,31
video_similarity,multimodal,none,,,,0.18449197860962566,0.0,0.0,0,610,138,0,748,hard_negative_same_topic,31
video_similarity,multimodal,none,0.5740777080062794,0.687381195432005,0.9038461538461539,0.5208711433756806,0.6820276497695853,0.4314868804664723,148,69,139,195,551,partial_segment,31
video_similarity,multimodal,none,0.9999562898854795,0.9999672174141098,0.0,0.8773148148148148,0.822742474916388,1.0,246,53,133,0,432,pitch_shift,31
