method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion
centralized_video,1,0.023773872293531895,31,none,,,
centralized_audio,1,0.02200856013223529,31,none,,,
centralized_multimodal,1,0.024681631941348314,31,none,,,
local_multimodal,1,0.03431506920605898,31,local,,,
fedavg_plain,30,0.15300589380785823,31,plain,3.2714257637659707e-06,2.570813521742821e-05,1.0
fedprox_plain,30,0.15385568421334028,31,plain,3.4916835526625314e-06,2.5653264795740446e-05,1.0
fedavg_secureagg,30,0.15152627602219582,31,secureagg,3.530473137895266e-06,2.5615949804584186e-05,2.0
fedavg_heagg,30,0.15270932391285896,31,heagg,4.170166018108527e-05,3.279540687799454e-05,16.0
centralized_video,1,0.026087960228323936,37,none,,,
centralized_audio,1,0.022901696152985096,37,none,,,
centralized_multimodal,1,0.02661040611565113,37,none,,,
local_multimodal,1,0.0286950608715415,37,local,,,
fedavg_plain,30,0.15163238812237978,37,plain,3.409835820396741e-06,2.5597183654705683e-05,1.0
fedprox_plain,30,0.16109500359743834,37,plain,3.464876984556516e-06,2.691045713921388e-05,1.0
fedavg_secureagg,30,0.14987499173730612,37,secureagg,3.526421884695689e-06,2.537923865020275e-05,2.0
fedavg_heagg,30,0.15234893467277288,37,heagg,4.01121253768603e-05,3.207645689447721e-05,16.0
centralized_video,1,0.024042511824518442,41,none,,,
centralized_audio,1,0.019176597241312265,41,none,,,
centralized_multimodal,1,0.025692869909107685,41,none,,,
local_multimodal,1,0.02681923797354102,41,local,,,
fedavg_plain,30,0.14903420163318515,41,plain,3.2636492202679316e-06,2.469078948100408e-05,1.0
fedprox_plain,30,0.15300751896575093,41,plain,5.616682271162669e-06,2.5400565937161447e-05,1.0
fedavg_secureagg,30,0.15346945077180862,41,secureagg,3.366389622290929e-06,2.5798861558238664e-05,2.0
fedavg_heagg,30,0.15490240883082151,41,heagg,4.136372978488604e-05,3.252077537278334e-05,16.0
centralized_video,1,0.02327619306743145,43,none,,,
centralized_audio,1,0.019022866152226925,43,none,,,
centralized_multimodal,1,0.025138021912425756,43,none,,,
local_multimodal,1,0.028402839321643114,43,local,,,
fedavg_plain,30,0.1515250471420586,43,plain,3.2929548372824986e-06,2.5388319045305252e-05,1.0
fedprox_plain,30,0.15527227614074945,43,plain,5.328996727863947e-06,2.544849800566832e-05,1.0
fedavg_secureagg,30,0.15289621008560061,43,secureagg,3.5250093787908552e-06,2.555024499694506e-05,2.0
fedavg_heagg,30,0.15310965664684772,43,heagg,4.033109483619531e-05,3.2331841066479686e-05,16.0
centralized_video,1,0.023455471266061068,47,none,,,
centralized_audio,1,0.019489001017063856,47,none,,,
centralized_multimodal,1,0.024976688902825117,47,none,,,
local_multimodal,1,0.02824879763647914,47,local,,,
fedavg_plain,30,0.1623317780904472,47,plain,3.5978232820828755e-06,2.7093912164370217e-05,1.0
fedprox_plain,30,0.1595367267727852,47,plain,6.05595608552297e-06,2.6198942214250566e-05,1.0
fedavg_secureagg,30,0.15278194891288877,47,secureagg,3.4231226891279222e-06,2.5155674666166306e-05,2.0
fedavg_heagg,30,0.1538769118487835,47,heagg,4.1006909062465034e-05,3.226916305720806e-05,16.0
