method,modality,privacy_mode,roc_auc_mean,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,fpr_at_95_recall_mean,roc_auc_std,pr_auc_std,accuracy_std,precision_std,recall_std,fpr_at_95_recall_std
audio_similarity,audio,none,0.6990912041010389,0.7648747049408597,0.6212,0.6180298188738835,0.6574668938719302,0.8973383581578291,0.009437596493573635,0.007665601266961068,0.012259690045021502,0.015396782450504817,0.01916919236228418,0.016008452766217082
centralized_audio,audio,none,0.9524982051592147,0.9551614952218381,0.8681599999999999,0.8641986428608182,0.8769993125795498,0.24752844917681388,0.00208176876103798,0.0020179224881639113,0.004893669379923449,0.0069861709774092385,0.004287228039143264,0.011950909269820955
centralized_multimodal,multimodal,none,0.9957639975703337,0.9956227310336597,0.96796,0.9538461823538975,0.9842471202777349,0.022081895471655878,0.0004306503083531618,0.0004973987327326942,0.0012361229712290092,0.0028861703378590398,0.0011132606950539686,0.0012723411769705868
centralized_video,video,none,0.94918323422791,0.9492850354175835,0.86948,0.8622562315287865,0.8827705428302626,0.2456609941770632,0.0018666254033210706,0.0017317387987529002,0.005208838642154327,0.0050209328143266466,0.007206973877708052,0.009437001942310707
early_fusion_similarity,multimodal,none,0.798180989989152,0.837178620181328,0.69824,0.6859920688972363,0.7469556525677085,0.7673016041952805,0.006970862741090655,0.006197342455978304,0.012922383681039654,0.02446025171053145,0.026083361670452,0.010803777184137588
fedavg_heagg,multimodal,heagg,0.9958405198253738,0.9956925148179454,0.96832,0.9542970420142222,0.9844847796575064,0.02175748170534448,0.00042286518875999215,0.0004914968950417165,0.0012853015210447653,0.0029913093293604063,0.0011438121799745614,0.0013704726119900248
fedavg_plain,multimodal,plain,0.9958405518348433,0.9956925440677038,0.96832,0.9542970420142222,0.9844847796575064,0.02175748170534448,0.0004228449934097603,0.0004914857842564399,0.0012853015210447653,0.0029913093293604063,0.0011438121799745614,0.0013704726119900248
fedavg_secureagg,multimodal,secureagg,0.9958405518348433,0.9956925440677038,0.96832,0.9542970420142222,0.9844847796575064,0.02175748170534448,0.0004228449934097603,0.0004914857842564399,0.0012853015210447653,0.0029913093293604063,0.0011438121799745614,0.0013704726119900248
fedprox_plain,multimodal,plain,0.9958364873230799,0.9956888689613583,0.96832,0.9542970420142222,0.9844847796575064,0.02175748170534448,0.0004237155255505558,0.0004922812528281458,0.0012853015210447653,0.0029913093293604063,0.0011438121799745614,0.0013704726119900248
local_multimodal,multimodal,none,0.9947658569337781,0.9946456207945985,0.9635200000000002,0.9541493051432319,0.9746722915118605,0.027992079029703958,0.00033987960338002527,0.00036209115552852093,0.0017123083834402666,0.00329500974655084,0.0005413050934174419,0.0032117604862853285
random,multimodal,none,0.5,0.5054000000000001,0.5018,0.30360000000000004,0.6,1.0,0.0,0.0026343879744638995,0.006272160712226715,0.27715327889094155,0.5477225575051661,0.0
video_similarity,video,none,0.7223443209156123,0.7717960525438349,0.64164,0.6341815888622404,0.6900295274193358,0.8528724167007532,0.00855796827054771,0.011587745410126542,0.007613671913078445,0.013880396004366446,0.030835443551445893,0.009428403605010426
