method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.4801388266905508,0.526585010346625,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.9318181818181818,1.0,0.8333333333333334,15,0,26,3,44,1,31
fedavg_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_plain,multimodal,none,0.7383063511830635,0.7759474003550434,0.8458904109589042,0.654320987654321,0.9647058823529412,0.29818181818181816,82,3,289,193,567,3,31
fedavg_plain,multimodal,none,0.5724480968858131,0.5764672979885616,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedavg_plain,multimodal,none,0.9850158611681284,0.9878485664386535,0.021739130434782608,0.9524838012958964,0.9861751152073732,0.9184549356223176,214,3,227,19,463,5,31
fedavg_plain,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9937888198757764,1.0,0.9878542510121457,244,0,236,3,483,6,31
fedavg_plain,multimodal,none,0.31280575539568345,0.4261329200942944,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedavg_plain,multimodal,none,0.4080971659919028,0.436012517014346,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedavg_plain,multimodal,none,0.48355232503960494,0.6529243080857476,0.9863013698630136,0.6336206896551724,0.8947368421052632,0.3469387755102041,85,10,209,160,464,9,31
fedprox_plain,multimodal,none,0.4802060008956561,0.5265848825954992,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.9318181818181818,1.0,0.8333333333333334,15,0,26,3,44,1,31
fedprox_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedprox_plain,multimodal,none,0.738318804483188,0.7759546461452924,0.8458904109589042,0.654320987654321,0.9647058823529412,0.29818181818181816,82,3,289,193,567,3,31
fedprox_plain,multimodal,none,0.5724480968858131,0.5764672979885616,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedprox_plain,multimodal,none,0.9850345213659265,0.9878818365587586,0.021739130434782608,0.9524838012958964,0.9861751152073732,0.9184549356223176,214,3,227,19,463,5,31
fedprox_plain,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9937888198757764,1.0,0.9878542510121457,244,0,236,3,483,6,31
fedprox_plain,multimodal,none,0.31280575539568345,0.4261329200942944,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedprox_plain,multimodal,none,0.40782726045883944,0.4358957702169229,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedprox_plain,multimodal,none,0.48351504985555865,0.6526080710348166,0.9863013698630136,0.6336206896551724,0.8947368421052632,0.3469387755102041,85,10,209,160,464,9,31
fedavg_secureagg,multimodal,none,0.4801388266905508,0.526585010346625,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,0.9318181818181818,1.0,0.8333333333333334,15,0,26,3,44,1,31
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_secureagg,multimodal,none,0.7383063511830635,0.7759474003550434,0.8458904109589042,0.654320987654321,0.9647058823529412,0.29818181818181816,82,3,289,193,567,3,31
fedavg_secureagg,multimodal,none,0.5724480968858131,0.5764672979885616,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedavg_secureagg,multimodal,none,0.9850158611681284,0.9878485664386535,0.021739130434782608,0.9524838012958964,0.9861751152073732,0.9184549356223176,214,3,227,19,463,5,31
fedavg_secureagg,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9937888198757764,1.0,0.9878542510121457,244,0,236,3,483,6,31
fedavg_secureagg,multimodal,none,0.31280575539568345,0.4261329200942944,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedavg_secureagg,multimodal,none,0.4080971659919028,0.436012517014346,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedavg_secureagg,multimodal,none,0.48355232503960494,0.6529243080857476,0.9863013698630136,0.6336206896551724,0.8947368421052632,0.3469387755102041,85,10,209,160,464,9,31
fedavg_heagg,multimodal,none,0.4801388266905508,0.526585010346625,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_heagg,multimodal,none,1.0,1.0,0.0,0.9318181818181818,1.0,0.8333333333333334,15,0,26,3,44,1,31
fedavg_heagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_heagg,multimodal,none,0.7383063511830635,0.7759474003550434,0.8458904109589042,0.654320987654321,0.9647058823529412,0.29818181818181816,82,3,289,193,567,3,31
fedavg_heagg,multimodal,none,0.5724480968858131,0.5764672979885616,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedavg_heagg,multimodal,none,0.9850158611681284,0.9878485664386535,0.021739130434782608,0.9524838012958964,0.9861751152073732,0.9184549356223176,214,3,227,19,463,5,31
fedavg_heagg,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9937888198757764,1.0,0.9878542510121457,244,0,236,3,483,6,31
fedavg_heagg,multimodal,none,0.31280575539568345,0.4261329200942944,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
