method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,1500,1500,0,0,3000,31
video_similarity,video,none,0.6844688888888889,0.7714161979015144,0.9,0.715,0.9317269076305221,0.464,696,51,1449,804,3000,31
audio_similarity,audio,none,0.6378284444444444,0.6926505954122815,0.8906666666666667,0.5256666666666666,0.9325842696629213,0.05533333333333333,83,6,1494,1417,3000,31
early_fusion_similarity,multimodal,none,0.6789462222222222,0.7639407620597165,0.89,0.674,0.9833333333333333,0.354,531,9,1491,969,3000,31
centralized_video,video,none,0.6856573333333333,0.7697713016548499,0.906,0.7156666666666667,0.9511854951185496,0.45466666666666666,682,35,1465,818,3000,31
centralized_multimodal,multimodal,none,0.6824164444444445,0.7672973955414406,0.906,0.7133333333333334,0.9610951008645533,0.44466666666666665,667,27,1473,833,3000,31
local_multimodal,multimodal,none,0.710708888888889,0.7853145156403102,0.878,0.7073333333333334,0.9600591715976331,0.43266666666666664,649,27,1473,851,3000,31
fedavg_plain,multimodal,plain,0.6827426666666666,0.7679578901185824,0.9066666666666666,0.715,0.9587482219061166,0.4493333333333333,674,29,1471,826,3000,31
fedprox_plain,multimodal,plain,0.6827417777777778,0.767945713777941,0.906,0.715,0.9587482219061166,0.4493333333333333,674,29,1471,826,3000,31
fedavg_secureagg,multimodal,secureagg,0.6827426666666666,0.7679578901185824,0.9066666666666666,0.715,0.9587482219061166,0.4493333333333333,674,29,1471,826,3000,31
fedavg_heagg,multimodal,heagg,0.6827426666666666,0.7679578901185824,0.9066666666666666,0.715,0.9587482219061166,0.4493333333333333,674,29,1471,826,3000,31
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,1500,1500,0,0,3000,37
video_similarity,video,none,0.6767702222222223,0.7654222786475158,0.914,0.712,0.9344262295081968,0.456,684,48,1452,816,3000,37
audio_similarity,audio,none,0.6305617777777779,0.672072357623344,0.8806666666666667,0.52,0.8333333333333334,0.05,75,15,1485,1425,3000,37
early_fusion_similarity,multimodal,none,0.6707115555555556,0.748487998828945,0.9013333333333333,0.6443333333333333,0.9577167019027484,0.302,453,20,1480,1047,3000,37
centralized_video,video,none,0.6774671111111111,0.7597570052011139,0.9186666666666666,0.7113333333333334,0.9295392953929539,0.4573333333333333,686,52,1448,814,3000,37
centralized_multimodal,multimodal,none,0.671788888888889,0.753482308114197,0.9193333333333333,0.7123333333333334,0.9405255878284924,0.4533333333333333,680,43,1457,820,3000,37
local_multimodal,multimodal,none,0.7123462222222221,0.7752446766327927,0.9466666666666667,0.7093333333333334,0.9511494252873564,0.44133333333333336,662,34,1466,838,3000,37
fedavg_plain,multimodal,plain,0.67212,0.7546436428984289,0.9213333333333333,0.7126666666666667,0.9334239130434783,0.458,687,49,1451,813,3000,37
fedprox_plain,multimodal,plain,0.6721151111111111,0.7546297373389056,0.9213333333333333,0.7126666666666667,0.9334239130434783,0.458,687,49,1451,813,3000,37
fedavg_secureagg,multimodal,secureagg,0.67212,0.7546436428984289,0.9213333333333333,0.7126666666666667,0.9334239130434783,0.458,687,49,1451,813,3000,37
fedavg_heagg,multimodal,heagg,0.67212,0.7546436428984289,0.9213333333333333,0.7126666666666667,0.9334239130434783,0.458,687,49,1451,813,3000,37
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,1500,1500,0,0,3000,41
video_similarity,video,none,0.6492048888888889,0.7418998604368517,0.9273333333333333,0.6933333333333334,0.9517133956386293,0.4073333333333333,611,31,1469,889,3000,41
audio_similarity,audio,none,0.6104528888888889,0.6689572350543589,0.9086666666666666,0.5273333333333333,0.9456521739130435,0.058,87,5,1495,1413,3000,41
early_fusion_similarity,multimodal,none,0.6428844444444445,0.7353876396026722,0.91,0.648,0.9889867841409692,0.29933333333333334,449,5,1495,1051,3000,41
centralized_video,video,none,0.6491555555555556,0.7257849508357763,0.9306666666666666,0.695,0.9465648854961832,0.41333333333333333,620,35,1465,880,3000,41
centralized_multimodal,multimodal,none,0.6466075555555555,0.7372132148762771,0.93,0.693,0.9559055118110236,0.4046666666666667,607,28,1472,893,3000,41
local_multimodal,multimodal,none,0.692703111111111,0.7673503387416879,0.9033333333333333,0.687,0.9590834697217676,0.39066666666666666,586,25,1475,914,3000,41
fedavg_plain,multimodal,plain,0.6468253333333334,0.7378582280660656,0.9313333333333333,0.6943333333333334,0.951937984496124,0.4093333333333333,614,31,1469,886,3000,41
fedprox_plain,multimodal,plain,0.6468235555555555,0.7378596159718918,0.9313333333333333,0.6943333333333334,0.951937984496124,0.4093333333333333,614,31,1469,886,3000,41
fedavg_secureagg,multimodal,secureagg,0.6468253333333334,0.7378582280660656,0.9313333333333333,0.6943333333333334,0.951937984496124,0.4093333333333333,614,31,1469,886,3000,41
fedavg_heagg,multimodal,heagg,0.6468253333333334,0.7378582280660656,0.9313333333333333,0.6943333333333334,0.951937984496124,0.4093333333333333,614,31,1469,886,3000,41
