round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.3208628611638066,plain,1.2463890016078949e-05,3.3647287636995316e-05,1680,1680,1.0,31
2,fedavg,plain,0.265017609203924,plain,3.982335329055786e-06,2.8817914426326752e-05,1680,1680,1.0,31
3,fedavg,plain,0.24226670267762018,plain,3.3173710107803345e-06,3.436161205172539e-05,1680,1680,1.0,31
4,fedavg,plain,0.22925502849613538,plain,3.5618431866168976e-06,2.7268193662166595e-05,1680,1680,1.0,31
5,fedavg,plain,0.22048433898228686,plain,3.353692591190338e-06,2.6346184313297272e-05,1680,1680,1.0,31
6,fedavg,plain,0.21397191012492445,plain,3.6098062992095947e-06,3.074808046221733e-05,1680,1680,1.0,31
7,fedavg,plain,0.2088284905747091,plain,3.648921847343445e-06,3.501586616039276e-05,1680,1680,1.0,31
8,fedavg,plain,0.20459413986278996,plain,3.831926733255386e-06,2.5339890271425247e-05,1680,1680,1.0,31
9,fedavg,plain,0.2010052910837318,plain,3.361143171787262e-06,2.50120647251606e-05,1680,1680,1.0,31
10,fedavg,plain,0.19789864433211404,plain,3.300607204437256e-06,2.054637297987938e-05,1680,1680,1.0,31
11,fedavg,plain,0.19516657795294734,plain,2.721790224313736e-06,1.9838102161884308e-05,1680,1680,1.0,31
12,fedavg,plain,0.192734523470624,plain,3.1800009310245514e-06,2.2042077034711838e-05,1680,1680,1.0,31
13,fedavg,plain,0.19054863945126285,plain,2.820044755935669e-06,1.974496990442276e-05,1680,1680,1.0,31
14,fedavg,plain,0.18856869404256074,plain,2.896878868341446e-06,2.240389585494995e-05,1680,1680,1.0,31
15,fedavg,plain,0.18676374973055415,plain,3.27499583363533e-06,2.492731437087059e-05,1680,1680,1.0,31
16,fedavg,plain,0.18510943556241372,plain,3.591645509004593e-06,2.2172927856445312e-05,1680,1680,1.0,31
17,fedavg,plain,0.18358615911234616,plain,2.5690533220767975e-06,2.404581755399704e-05,1680,1680,1.0,31
18,fedavg,plain,0.1821778963486313,plain,3.1311064958572388e-06,8.934410288929939e-05,1680,1680,1.0,31
19,fedavg,plain,0.18087134897592289,plain,3.3117830753326416e-06,2.3921020328998566e-05,1680,1680,1.0,31
20,fedavg,plain,0.17965534250724208,plain,3.214925527572632e-06,2.1655112504959106e-05,1680,1680,1.0,31
21,fedavg,plain,0.17852038631387573,plain,2.951826900243759e-06,2.4615786969661713e-05,1680,1680,1.0,31
22,fedavg,plain,0.17745834534269075,plain,3.4547410905361176e-06,2.3848842829465866e-05,1680,1680,1.0,31
23,fedavg,plain,0.17646219054264023,plain,3.888271749019623e-06,2.2751279175281525e-05,1680,1680,1.0,31
24,fedavg,plain,0.17552580590947636,plain,2.876855432987213e-06,2.121366560459137e-05,1680,1680,1.0,31
25,fedavg,plain,0.17464383702675318,plain,3.2866373658180237e-06,2.8162728995084763e-05,1680,1680,1.0,31
26,fedavg,plain,0.17381157054825397,plain,3.830995410680771e-06,2.256687730550766e-05,1680,1680,1.0,31
27,fedavg,plain,0.17302483712022138,plain,2.6370398700237274e-06,2.5719869881868362e-05,1680,1680,1.0,31
28,fedavg,plain,0.1722799323211008,plain,2.8568319976329803e-06,2.2675376385450363e-05,1680,1680,1.0,31
29,fedavg,plain,0.171573551637248,plain,3.0300579965114594e-06,2.193031832575798e-05,1680,1680,1.0,31
30,fedavg,plain,0.17090273650762836,plain,2.9532238841056824e-06,2.4180393666028976e-05,1680,1680,1.0,31
1,fedprox,plain,0.3218029261188096,plain,3.2479874789714813e-06,2.358667552471161e-05,1680,1680,1.0,31
2,fedprox,plain,0.26555064858617766,plain,3.135763108730316e-06,2.0874198526144028e-05,1680,1680,1.0,31
3,fedprox,plain,0.2426404168326232,plain,2.8391368687152863e-06,1.9996892660856247e-05,1680,1680,1.0,31
4,fedprox,plain,0.22955141388851802,plain,3.7816353142261505e-06,2.270657569169998e-05,1680,1680,1.0,31
5,fedprox,plain,0.22073678467156727,plain,3.1599774956703186e-06,2.196105197072029e-05,1680,1680,1.0,31
6,fedprox,plain,0.21419654536157404,plain,3.7401914596557617e-06,2.5832094252109528e-05,1680,1680,1.0,31
7,fedprox,plain,0.20903404206066684,plain,3.126915544271469e-06,2.2644642740488052e-05,1680,1680,1.0,31
8,fedprox,plain,0.2047857266780732,plain,3.0961818993091583e-06,2.0183157175779343e-05,1680,1680,1.0,31
9,fedprox,plain,0.20118610734591483,plain,3.043096512556076e-06,2.1988991647958755e-05,1680,1680,1.0,31
10,fedprox,plain,0.19807078597572453,plain,3.3457763493061066e-06,2.0178966224193573e-05,1680,1680,1.0,31
11,fedprox,plain,0.1953314815466284,plain,2.862885594367981e-06,2.1981075406074524e-05,1680,1680,1.0,31
12,fedprox,plain,0.19289321335138293,plain,2.752058207988739e-06,2.3360829800367355e-05,1680,1680,1.0,31
13,fedprox,plain,0.1907018735138035,plain,2.857297658920288e-06,1.9695144146680832e-05,1680,1680,1.0,31
14,fedprox,plain,0.1887170529664315,plain,3.4850090742111206e-06,2.8641894459724426e-05,1680,1680,1.0,31
15,fedprox,plain,0.1869076932299693,plain,3.3099204301834106e-06,2.3860950022935867e-05,1680,1680,1.0,31
16,fedprox,plain,0.18524933871569874,plain,3.0118972063064575e-06,1.9731000065803528e-05,1680,1680,1.0,31
17,fedprox,plain,0.18372233630579918,plain,3.514345735311508e-06,1.9968021661043167e-05,1680,1680,1.0,31
18,fedprox,plain,0.18231061733595233,plain,3.489665687084198e-06,2.1685846149921417e-05,1680,1680,1.0,31
19,fedprox,plain,0.18100084982078904,plain,4.021916538476944e-06,2.396106719970703e-05,1680,1680,1.0,31
20,fedprox,plain,0.17978183315202753,plain,3.4510158002376556e-06,2.42539681494236e-05,1680,1680,1.0,31
21,fedprox,plain,0.1786440558942955,plain,3.069639205932617e-06,2.2059306502342224e-05,1680,1680,1.0,31
22,fedprox,plain,0.17757936597967358,plain,2.5457702577114105e-06,1.951213926076889e-05,1680,1680,1.0,31
23,fedprox,plain,0.17658072009551515,plain,3.0677765607833862e-06,2.0134728401899338e-05,1680,1680,1.0,31
24,fedprox,plain,0.17564199001445857,plain,3.1921081244945526e-06,2.4206936359405518e-05,1680,1680,1.0,31
25,fedprox,plain,0.1747578106395168,plain,3.7350691854953766e-06,2.39410437643528e-05,1680,1680,1.0,31
26,fedprox,plain,0.17392345913941548,plain,2.868007868528366e-06,2.016732469201088e-05,1680,1680,1.0,31
27,fedprox,plain,0.1731347576255659,plain,3.6517158150672913e-06,2.239411696791649e-05,1680,1680,1.0,31
28,fedprox,plain,0.1723879939165652,plain,3.1101517379283905e-06,1.9562896341085434e-05,1680,1680,1.0,31
29,fedprox,plain,0.171679856387,plain,2.9569491744041443e-06,2.0476989448070526e-05,1680,1680,1.0,31
30,fedprox,plain,0.17100737991873657,plain,3.082677721977234e-06,2.669682726264e-05,1680,1680,1.0,31
1,fedavg,secureagg,0.3208628611638066,secureagg,3.8440339267253876e-06,2.631591632962227e-05,1680,3360,2.0,31
