seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,3.563674787680308e-06,2.71621315429608e-05,1.0
31,fedprox_plain,plain,0,0,3.21841798722744e-06,2.2208178415894507e-05,1.0
31,fedavg_secureagg,secureagg,0,0,3.3030596872170765e-06,2.2405417015155158e-05,2.0
31,fedavg_heagg,heagg,0,0,3.14041506499052e-05,2.8358291213711103e-05,16.0
37,fedavg_plain,plain,0,0,3.6649095515410104e-06,2.2163288667798044e-05,1.0
37,fedprox_plain,plain,0,0,2.9652224232753117e-06,1.9568949937820435e-05,1.0
37,fedavg_secureagg,secureagg,0,0,3.5246368497610094e-06,2.180351875722408e-05,2.0
37,fedavg_heagg,heagg,0,0,2.4791496495405834e-05,2.4150203292568524e-05,16.0
41,fedavg_plain,plain,0,0,3.3687179287274677e-06,2.173543907701969e-05,1.0
41,fedprox_plain,plain,0,0,3.316393122076988e-06,2.1647879232962926e-05,1.0
41,fedavg_secureagg,secureagg,0,0,3.1953677535057068e-06,2.085398882627487e-05,2.0
41,fedavg_heagg,heagg,0,0,2.8986794253190357e-05,2.515109566350778e-05,16.0
