method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion
centralized_video,1,0.006032595876604319,31,none,,,
centralized_multimodal,1,0.009537372272461653,31,none,,,
local_multimodal,1,0.01747792400419712,31,local,,,
fedavg_plain,30,0.09315586881712079,31,plain,3.563674787680308e-06,2.71621315429608e-05,1.0
fedprox_plain,30,0.08672254905104637,31,plain,3.21841798722744e-06,2.2208178415894507e-05,1.0
fedavg_secureagg,30,0.08962566778063774,31,secureagg,3.3030596872170765e-06,2.2405417015155158e-05,2.0
fedavg_heagg,30,0.08918490400537848,31,heagg,3.14041506499052e-05,2.8358291213711103e-05,16.0
centralized_video,1,0.005863565020263195,37,none,,,
centralized_multimodal,1,0.009302794933319092,37,none,,,
local_multimodal,1,0.019534084014594555,37,local,,,
fedavg_plain,30,0.08840496186167002,37,plain,3.6649095515410104e-06,2.2163288667798044e-05,1.0
fedprox_plain,30,0.08045370131731033,37,plain,2.9652224232753117e-06,1.9568949937820435e-05,1.0
fedavg_secureagg,30,0.08314381586387753,37,secureagg,3.5246368497610094e-06,2.180351875722408e-05,2.0
fedavg_heagg,30,0.07851748308166862,37,heagg,2.4791496495405834e-05,2.4150203292568524e-05,16.0
centralized_video,1,0.0060629770159721375,41,none,,,
centralized_multimodal,1,0.010342356748878956,41,none,,,
local_multimodal,1,0.019734909757971764,41,local,,,
fedavg_plain,30,0.0847469731234014,41,plain,3.3687179287274677e-06,2.173543907701969e-05,1.0
fedprox_plain,30,0.08515555085614324,41,plain,3.316393122076988e-06,2.1647879232962926e-05,1.0
fedavg_secureagg,30,0.07886735117062926,41,secureagg,3.1953677535057068e-06,2.085398882627487e-05,2.0
fedavg_heagg,30,0.08055302500724792,41,heagg,2.8986794253190357e-05,2.515109566350778e-05,16.0
