method,modality,privacy_mode,roc_auc_mean,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,fpr_at_95_recall_mean,roc_auc_std,pr_auc_std,accuracy_std,precision_std,recall_std,fpr_at_95_recall_std
audio_similarity,audio,none,0.6262810370370371,0.6778933960299948,0.5243333333333333,0.9038565923030993,0.054444444444444434,0.8933333333333334,0.014180931438410696,0.012874672708902985,0.0038441875315568985,0.061423448878747455,0.0040734006177385205,0.014189197769195142
centralized_multimodal,multimodal,none,0.6669376296296297,0.752664306177305,0.7062222222222223,0.9525087335013565,0.43422222222222223,0.9184444444444444,0.01839076312077918,0.015058762464097744,0.011461691427113745,0.010697186256158115,0.02596008331893263,0.012024666007527737
centralized_video,video,none,0.67076,0.7517710858972467,0.7073333333333333,0.9424298920025622,0.44177777777777777,0.9184444444444444,0.01915290969610516,0.02305495488914612,0.010898521816181263,0.011400136798929626,0.024669669486894082,0.012334834743447026
early_fusion_similarity,multimodal,none,0.6641807407407407,0.7492721334971112,0.6554444444444445,0.9766789397923503,0.3184444444444444,0.9004444444444445,0.018897132341509106,0.014292702714850928,0.016173824303255976,0.016663289766579104,0.03082086835126365,0.010029585863463801
fedavg_heagg,multimodal,heagg,0.6672293333333333,0.7534865870276923,0.7073333333333333,0.9480367064819063,0.4388888888888889,0.9197777777777777,0.0184513596728744,0.015083152775031314,0.011318617897566422,0.013105156712177778,0.025960083318932667,0.01240668875751807
fedavg_plain,multimodal,plain,0.6672293333333333,0.7534865870276923,0.7073333333333333,0.9480367064819063,0.4388888888888889,0.9197777777777777,0.0184513596728744,0.015083152775031314,0.011318617897566422,0.013105156712177778,0.025960083318932667,0.01240668875751807
fedavg_secureagg,multimodal,secureagg,0.6672293333333333,0.7534865870276923,0.7073333333333333,0.9480367064819063,0.4388888888888889,0.9197777777777777,0.0184513596728744,0.015083152775031314,0.011318617897566422,0.013105156712177778,0.025960083318932667,0.01240668875751807
fedprox_plain,multimodal,plain,0.6672268148148147,0.7534783556962461,0.7073333333333333,0.9480367064819063,0.4388888888888889,0.9195555555555556,0.018451321156262104,0.015076059832200178,0.011318617897566422,0.013105156712177778,0.025960083318932667,0.012759890862182694
local_multimodal,multimodal,none,0.7052527407407406,0.7759698436715969,0.7012222222222223,0.9567640222022523,0.42155555555555546,0.9093333333333332,0.010899087943115721,0.009004016511361703,0.01235733400469955,0.004886795721657711,0.02709926881615759,0.03472431104828115
random,multimodal,none,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
video_similarity,video,none,0.6701480000000001,0.7595794456619607,0.7067777777777778,0.939288844259116,0.4424444444444444,0.9137777777777778,0.01854124576101539,0.015601524518609737,0.01173945547352241,0.010844293079147515,0.03066908203048461,0.013668021613050396
