method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.4800716524854456,0.5265937481333232,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.9545454545454546,1.0,0.8888888888888888,16,0,26,2,44,1,31
fedavg_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_plain,multimodal,none,0.7385678704856788,0.7758839918302074,0.8458904109589042,0.6525573192239859,0.9431818181818182,0.3018181818181818,83,5,287,192,567,3,31
fedavg_plain,multimodal,none,0.5713667820069204,0.5762256160310386,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedavg_plain,multimodal,none,0.9849785407725321,0.9877096421852974,0.021739130434782608,0.9568034557235421,0.9819004524886877,0.9313304721030042,217,4,226,16,463,5,31
fedavg_plain,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9958592132505176,1.0,0.9919028340080972,245,0,236,2,483,6,31
fedavg_plain,multimodal,none,0.31270983213429254,0.42604563836911397,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedavg_plain,multimodal,none,0.4089068825910931,0.43654959917958597,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedavg_plain,multimodal,none,0.4837200633678129,0.6541342596785794,0.9863013698630136,0.6336206896551724,0.8865979381443299,0.3510204081632653,86,11,208,159,464,9,31
fedprox_plain,multimodal,none,0.4800716524854456,0.5265666955068291,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.9545454545454546,1.0,0.8888888888888888,16,0,26,2,44,1,31
fedprox_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedprox_plain,multimodal,none,0.7385678704856788,0.7758839918302074,0.8458904109589042,0.6525573192239859,0.9431818181818182,0.3018181818181818,83,5,287,192,567,3,31
fedprox_plain,multimodal,none,0.5713667820069204,0.5762256160310386,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedprox_plain,multimodal,none,0.9849785407725321,0.9877096421852974,0.021739130434782608,0.9568034557235421,0.9819004524886877,0.9313304721030042,217,4,226,16,463,5,31
fedprox_plain,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9958592132505176,1.0,0.9919028340080972,245,0,236,2,483,6,31
fedprox_plain,multimodal,none,0.31270983213429254,0.42604563836911397,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedprox_plain,multimodal,none,0.4089068825910931,0.43654959917958597,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedprox_plain,multimodal,none,0.4837014257757898,0.6541246910867571,0.9863013698630136,0.6336206896551724,0.8865979381443299,0.3510204081632653,86,11,208,159,464,9,31
fedavg_secureagg,multimodal,none,0.4800716524854456,0.5265937481333232,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,0.9545454545454546,1.0,0.8888888888888888,16,0,26,2,44,1,31
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_secureagg,multimodal,none,0.7385678704856788,0.7758839918302074,0.8458904109589042,0.6525573192239859,0.9431818181818182,0.3018181818181818,83,5,287,192,567,3,31
fedavg_secureagg,multimodal,none,0.5713667820069204,0.5762256160310386,0.9852941176470589,0.5147058823529411,1.0,0.029411764705882353,2,0,68,66,136,4,31
fedavg_secureagg,multimodal,none,0.9849785407725321,0.9877096421852974,0.021739130434782608,0.9568034557235421,0.9819004524886877,0.9313304721030042,217,4,226,16,463,5,31
fedavg_secureagg,multimodal,none,0.9999828449873053,0.9999836750685646,0.0,0.9958592132505176,1.0,0.9919028340080972,245,0,236,2,483,6,31
fedavg_secureagg,multimodal,none,0.31270983213429254,0.42604563836911397,0.9712230215827338,0.4913494809688581,1.0,0.02,3,0,139,147,289,7,31
fedavg_secureagg,multimodal,none,0.4089068825910931,0.43654959917958597,0.9384615384615385,0.5409836065573771,1.0,0.017543859649122806,1,0,65,56,122,8,31
fedavg_secureagg,multimodal,none,0.4837200633678129,0.6541342596785794,0.9863013698630136,0.6336206896551724,0.8865979381443299,0.3510204081632653,86,11,208,159,464,9,31
fedavg_heagg,multimodal,none,0.4800716524854456,0.5265937481333232,0.9363636363636364,0.5460992907801419,0.6486486486486487,0.11822660098522167,24,13,207,179,423,0,31
fedavg_heagg,multimodal,none,1.0,1.0,0.0,0.9545454545454546,1.0,0.8888888888888888,16,0,26,2,44,1,31
fedavg_heagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,4,0,5,0,9,2,31
fedavg_heagg,multimodal,none,0.7385678704856788,0.7758839918302074,0.8458904109589042,0.6525573192239859,0.9431818181818182,0.3018181818181818,83,5,287,192,567,3,31
