round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.3208628611638066,plain,1.3650860637426376e-05,2.9162969440221786e-05,1680,1680,1.0,31
2,fedavg,plain,0.265017609203924,plain,4.298053681850433e-06,2.7289148420095444e-05,1680,1680,1.0,31
3,fedavg,plain,0.24226670267762018,plain,3.039836883544922e-06,2.1724030375480652e-05,1680,1680,1.0,31
4,fedavg,plain,0.22925502849613538,plain,3.4100376069545746e-06,2.471916377544403e-05,1680,1680,1.0,31
5,fedavg,plain,0.22048433898228686,plain,2.95368954539299e-06,1.967884600162506e-05,1680,1680,1.0,31
6,fedavg,plain,0.21397191012492445,plain,2.9955990612506866e-06,2.153078094124794e-05,1680,1680,1.0,31
7,fedavg,plain,0.2088284905747091,plain,2.8051435947418213e-06,2.0890962332487106e-05,1680,1680,1.0,31
8,fedavg,plain,0.20459413986278996,plain,3.2209791243076324e-06,2.0524021238088608e-05,1680,1680,1.0,31
9,fedavg,plain,0.2010052910837318,plain,2.3990869522094727e-06,1.982972025871277e-05,1680,1680,1.0,31
10,fedavg,plain,0.19789864433211404,plain,2.8670765459537506e-06,2.125510945916176e-05,1680,1680,1.0,31
11,fedavg,plain,0.19516657795294734,plain,3.2777898013591766e-06,2.4226028472185135e-05,1680,1680,1.0,31
12,fedavg,plain,0.192734523470624,plain,2.828892320394516e-06,2.0085833966732025e-05,1680,1680,1.0,31
13,fedavg,plain,0.19054863945126285,plain,2.8209760785102844e-06,2.0206905901432037e-05,1680,1680,1.0,31
14,fedavg,plain,0.18856869404256074,plain,2.960674464702606e-06,1.9907020032405853e-05,1680,1680,1.0,31
15,fedavg,plain,0.18676374973055415,plain,2.4782493710517883e-06,1.7925631254911423e-05,1680,1680,1.0,31
16,fedavg,plain,0.18510943556241372,plain,2.7883797883987427e-06,1.9150320440530777e-05,1680,1680,1.0,31
17,fedavg,plain,0.18358615911234616,plain,2.568121999502182e-06,1.934915781021118e-05,1680,1680,1.0,31
18,fedavg,plain,0.1821778963486313,plain,2.9918737709522247e-06,1.8495135009288788e-05,1680,1680,1.0,31
19,fedavg,plain,0.18087134897592289,plain,2.8479844331741333e-06,2.0843930542469025e-05,1680,1680,1.0,31
20,fedavg,plain,0.17965534250724208,plain,2.8400681912899017e-06,1.792004331946373e-05,1680,1680,1.0,31
21,fedavg,plain,0.17852038631387573,plain,2.61794775724411e-06,1.777196303009987e-05,1680,1680,1.0,31
22,fedavg,plain,0.17745834534269075,plain,2.667773514986038e-06,1.8320977687835693e-05,1680,1680,1.0,31
23,fedavg,plain,0.17646219054264023,plain,2.8386712074279785e-06,1.9952189177274704e-05,1680,1680,1.0,31
24,fedavg,plain,0.17552580590947636,plain,2.8009526431560516e-06,1.85561366379261e-05,1680,1680,1.0,31
25,fedavg,plain,0.17464383702675318,plain,2.5331974029541016e-06,1.7726793885231018e-05,1680,1680,1.0,31
26,fedavg,plain,0.17381157054825397,plain,2.2640451788902283e-06,1.730024814605713e-05,1680,1680,1.0,31
