seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,3.115518484264612e-06,2.0057300571352243e-05,1.0
31,fedprox_plain,plain,0,0,2.859160304069519e-06,1.9420450553297996e-05,1.0
31,fedavg_secureagg,secureagg,0,0,3.1214673072099687e-06,1.9395025447010994e-05,2.0
31,fedavg_heagg,heagg,0,0,2.552272053435445e-05,2.3537129163742065e-05,16.0
37,fedavg_plain,plain,0,0,3.2624462619423867e-06,2.0174181554466485e-05,1.0
37,fedprox_plain,plain,0,0,3.0591851100325585e-06,1.8329755403101444e-05,1.0
37,fedavg_secureagg,secureagg,0,0,3.0445866286754607e-06,1.8795067444443702e-05,2.0
37,fedavg_heagg,heagg,0,0,2.4406088050454856e-05,2.326196990907192e-05,16.0
41,fedavg_plain,plain,0,0,3.1124567613005637e-06,2.019753446802497e-05,1.0
41,fedprox_plain,plain,0,0,2.7668778784573077e-06,1.842383062466979e-05,1.0
41,fedavg_secureagg,secureagg,0,0,3.0297902412712575e-06,1.914708409458399e-05,2.0
41,fedavg_heagg,heagg,0,0,2.446467988193035e-05,2.2864632774144412e-05,16.0
