method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.0,0.0,0.0,0,194,0,0,194,isc_cross_category_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,823,0,0,0,823,isc_labeled_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,677,0,0,0,677,isc_partial_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,1306,0,0,1306,isc_same_category_negative,31
video_similarity,multimodal,none,,,,0.9948453608247423,0.0,0.0,0,1,193,0,194,isc_cross_category_negative,31
video_similarity,multimodal,none,,,,0.5358444714459295,1.0,0.5358444714459295,441,0,0,382,823,isc_labeled_copy,31
video_similarity,multimodal,none,,,,0.3766617429837518,1.0,0.3766617429837518,255,0,0,422,677,isc_partial_copy,31
video_similarity,multimodal,none,,,,0.9617151607963247,0.0,0.0,0,50,1256,0,1306,isc_same_category_negative,31
audio_similarity,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
audio_similarity,multimodal,none,,,,0.08748481166464156,1.0,0.08748481166464156,72,0,0,751,823,isc_labeled_copy,31
audio_similarity,multimodal,none,,,,0.01624815361890694,1.0,0.01624815361890694,11,0,0,666,677,isc_partial_copy,31
audio_similarity,multimodal,none,,,,0.9954058192955589,0.0,0.0,0,6,1300,0,1306,isc_same_category_negative,31
early_fusion_similarity,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.4240583232077764,1.0,0.4240583232077764,349,0,0,474,823,isc_labeled_copy,31
early_fusion_similarity,multimodal,none,,,,0.2688330871491876,1.0,0.2688330871491876,182,0,0,495,677,isc_partial_copy,31
early_fusion_similarity,multimodal,none,,,,0.9931087289433385,0.0,0.0,0,9,1297,0,1306,isc_same_category_negative,31
fedavg_plain,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
fedavg_plain,multimodal,none,,,,0.534629404617254,1.0,0.534629404617254,440,0,0,383,823,isc_labeled_copy,31
fedavg_plain,multimodal,none,,,,0.3559822747415066,1.0,0.3559822747415066,241,0,0,436,677,isc_partial_copy,31
fedavg_plain,multimodal,none,,,,0.9747320061255743,0.0,0.0,0,33,1273,0,1306,isc_same_category_negative,31
fedprox_plain,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
fedprox_plain,multimodal,none,,,,0.534629404617254,1.0,0.534629404617254,440,0,0,383,823,isc_labeled_copy,31
fedprox_plain,multimodal,none,,,,0.3559822747415066,1.0,0.3559822747415066,241,0,0,436,677,isc_partial_copy,31
fedprox_plain,multimodal,none,,,,0.9747320061255743,0.0,0.0,0,33,1273,0,1306,isc_same_category_negative,31
fedavg_secureagg,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
fedavg_secureagg,multimodal,none,,,,0.534629404617254,1.0,0.534629404617254,440,0,0,383,823,isc_labeled_copy,31
fedavg_secureagg,multimodal,none,,,,0.3559822747415066,1.0,0.3559822747415066,241,0,0,436,677,isc_partial_copy,31
fedavg_secureagg,multimodal,none,,,,0.9747320061255743,0.0,0.0,0,33,1273,0,1306,isc_same_category_negative,31
fedavg_heagg,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
fedavg_heagg,multimodal,none,,,,0.534629404617254,1.0,0.534629404617254,440,0,0,383,823,isc_labeled_copy,31
fedavg_heagg,multimodal,none,,,,0.3559822747415066,1.0,0.3559822747415066,241,0,0,436,677,isc_partial_copy,31
fedavg_heagg,multimodal,none,,,,0.9747320061255743,0.0,0.0,0,33,1273,0,1306,isc_same_category_negative,31
fedavgft_plain,multimodal,none,,,,1.0,0.0,0.0,0,0,194,0,194,isc_cross_category_negative,31
fedavgft_plain,multimodal,none,,,,0.534629404617254,1.0,0.534629404617254,440,0,0,383,823,isc_labeled_copy,31
fedavgft_plain,multimodal,none,,,,0.35745937961595275,1.0,0.35745937961595275,242,0,0,435,677,isc_partial_copy,31
fedavgft_plain,multimodal,none,,,,0.9739663093415007,0.0,0.0,0,34,1272,0,1306,isc_same_category_negative,31
