method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,base_runtime_sec
centralized_video,1,0.005781541112810373,31,none,,,,
centralized_multimodal,1,0.009789664298295975,31,none,,,,
local_multimodal,1,0.018419452011585236,31,local,,,,
fedavg_plain,40,0.11104019498452544,31,plain,3.115518484264612e-06,2.0057300571352243e-05,1.0,
fedprox_plain,40,0.10830737696960568,31,plain,2.859160304069519e-06,1.9420450553297996e-05,1.0,
fedavg_secureagg,40,0.10444078408181667,31,secureagg,3.1214673072099687e-06,1.9395025447010994e-05,2.0,
fedavg_heagg,40,0.10373048298060894,31,heagg,2.552272053435445e-05,2.3537129163742065e-05,16.0,
fedavgft_plain,1,0.004285124130547047,31,plain,,,,0.10824100999161601
centralized_video,1,0.00494768563657999,37,none,,,,
centralized_multimodal,1,0.008886126801371574,37,none,,,,
local_multimodal,1,0.015458781272172928,37,local,,,,
fedavg_plain,40,0.10582086769863963,37,plain,3.2624462619423867e-06,2.0174181554466485e-05,1.0,
fedprox_plain,40,0.10302577307447791,37,plain,3.0591851100325585e-06,1.8329755403101444e-05,1.0,
fedavg_secureagg,40,0.10234798211604357,37,secureagg,3.0445866286754607e-06,1.8795067444443702e-05,2.0,
fedavg_heagg,40,0.10247092135250568,37,heagg,2.4406088050454856e-05,2.326196990907192e-05,16.0,
fedavgft_plain,1,0.0037274742498993874,37,plain,,,,0.10016848798841238
centralized_video,1,0.005261864047497511,41,none,,,,
centralized_multimodal,1,0.009574918076395988,41,none,,,,
local_multimodal,1,0.020002775825560093,41,local,,,,
fedavg_plain,40,0.11166016198694706,41,plain,3.1124567613005637e-06,2.019753446802497e-05,1.0,
fedprox_plain,40,0.1072888309136033,41,plain,2.7668778784573077e-06,1.842383062466979e-05,1.0,
fedavg_secureagg,40,0.10508969193324447,41,secureagg,3.0297902412712575e-06,1.914708409458399e-05,2.0,
fedavg_heagg,40,0.10314005194231868,41,heagg,2.446467988193035e-05,2.2864632774144412e-05,16.0,
fedavgft_plain,1,0.0036571938544511795,41,plain,,,,0.10099066887050867
