method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.8764449501578019,0.8754430251463851,0.5069179389312977,0.7657979293109604,0.8762160348876216,0.6202802184754215,2612,369,3823,1599,8403,0,31
fedavg_plain,multimodal,none,0.8998073791651773,0.8949966359711787,0.4448051948051948,0.8125984251968504,0.8586206896551725,0.7614678899082569,249,41,267,78,635,1,31
fedavg_plain,multimodal,none,0.9600520252694166,0.9597384666035764,0.18840579710144928,0.9115646258503401,0.9577464788732394,0.8717948717948718,68,3,66,10,147,2,31
fedavg_plain,multimodal,none,0.9075958565683466,0.909941560895505,0.4247720364741641,0.8001332445036642,0.8989591266818989,0.675376692733168,3541,398,4866,1702,10507,3,31
fedavg_plain,multimodal,none,0.8319250476899788,0.8279058355996387,0.6086607858861267,0.7348305752561072,0.8159509202453987,0.6181254841208366,798,180,1067,493,2538,4,31
fedavg_plain,multimodal,none,0.9593171988387629,0.9582836685659404,0.19731800766283525,0.8861671469740634,0.9191522762951334,0.8460982658959537,3513,309,3867,639,8328,5,31
fedavg_plain,multimodal,none,0.9464607853271704,0.9450681020574675,0.25225571126895757,0.8693438370640791,0.871517027863777,0.8661538461538462,4504,664,4545,696,10409,6,31
fedavg_plain,multimodal,none,0.8772225097068332,0.8680515964241831,0.47997416020671835,0.7677178153446034,0.8662764520486268,0.6295811518324608,1924,297,2799,1132,6152,7,31
fedavg_plain,multimodal,none,0.7906136176940126,0.7698387298203249,0.6685472496473907,0.701401365432986,0.7680722891566265,0.5604395604395604,765,231,1187,600,2783,8,31
fedavg_plain,multimodal,none,0.9125750634022156,0.9153119749974701,0.401911969727146,0.8227371756783521,0.871412429378531,0.7595036438841836,3856,569,4452,1221,10098,9,31
fedprox_plain,multimodal,none,0.8764486323532877,0.8754684938445018,0.507395038167939,0.7657979293109604,0.8762160348876216,0.6202802184754215,2612,369,3823,1599,8403,0,31
fedprox_plain,multimodal,none,0.8998173080741888,0.8950126573491651,0.4448051948051948,0.8125984251968504,0.8586206896551725,0.7614678899082569,249,41,267,78,635,1,31
fedprox_plain,multimodal,none,0.9600520252694166,0.9597384666035764,0.18840579710144928,0.9115646258503401,0.9577464788732394,0.8717948717948718,68,3,66,10,147,2,31
fedprox_plain,multimodal,none,0.907595892801344,0.9099456424710475,0.42496200607902734,0.8001332445036642,0.8989591266818989,0.675376692733168,3541,398,4866,1702,10507,3,31
fedprox_plain,multimodal,none,0.8319300170137222,0.8279244126654999,0.6086607858861267,0.7348305752561072,0.8159509202453987,0.6181254841208366,798,180,1067,493,2538,4,31
fedprox_plain,multimodal,none,0.9593173718615964,0.9582849631891096,0.19803639846743296,0.8861671469740634,0.9191522762951334,0.8460982658959537,3513,309,3867,639,8328,5,31
fedprox_plain,multimodal,none,0.9464588655728989,0.9450627661835665,0.25225571126895757,0.8692477663560381,0.8714921617960132,0.8659615384615384,4503,664,4545,697,10409,6,31
fedprox_plain,multimodal,none,0.8772325505296481,0.8680717230640699,0.4796511627906977,0.7677178153446034,0.8662764520486268,0.6295811518324608,1924,297,2799,1132,6152,7,31
fedprox_plain,multimodal,none,0.790623433923857,0.7698731880060372,0.6685472496473907,0.701401365432986,0.7680722891566265,0.5604395604395604,765,231,1187,600,2783,8,31
fedprox_plain,multimodal,none,0.9125825560614693,0.9153264904560254,0.4017128062139016,0.8228362051891464,0.8716094032549728,0.7595036438841836,3856,568,4453,1221,10098,9,31
fedavg_secureagg,multimodal,none,0.8764449501578019,0.8754430251463851,0.5069179389312977,0.7657979293109604,0.8762160348876216,0.6202802184754215,2612,369,3823,1599,8403,0,31
fedavg_secureagg,multimodal,none,0.8998073791651773,0.8949966359711787,0.4448051948051948,0.8125984251968504,0.8586206896551725,0.7614678899082569,249,41,267,78,635,1,31
fedavg_secureagg,multimodal,none,0.9600520252694166,0.9597384666035764,0.18840579710144928,0.9115646258503401,0.9577464788732394,0.8717948717948718,68,3,66,10,147,2,31
fedavg_secureagg,multimodal,none,0.9075958565683466,0.909941560895505,0.4247720364741641,0.8001332445036642,0.8989591266818989,0.675376692733168,3541,398,4866,1702,10507,3,31
fedavg_secureagg,multimodal,none,0.8319250476899788,0.8279058355996387,0.6086607858861267,0.7348305752561072,0.8159509202453987,0.6181254841208366,798,180,1067,493,2538,4,31
fedavg_secureagg,multimodal,none,0.9593171988387629,0.9582836685659404,0.19731800766283525,0.8861671469740634,0.9191522762951334,0.8460982658959537,3513,309,3867,639,8328,5,31
fedavg_secureagg,multimodal,none,0.9464607853271704,0.9450681020574675,0.25225571126895757,0.8693438370640791,0.871517027863777,0.8661538461538462,4504,664,4545,696,10409,6,31
fedavg_secureagg,multimodal,none,0.8772225097068332,0.8680515964241831,0.47997416020671835,0.7677178153446034,0.8662764520486268,0.6295811518324608,1924,297,2799,1132,6152,7,31
fedavg_secureagg,multimodal,none,0.7906136176940126,0.7698387298203249,0.6685472496473907,0.701401365432986,0.7680722891566265,0.5604395604395604,765,231,1187,600,2783,8,31
fedavg_secureagg,multimodal,none,0.9125750634022156,0.9153119749974701,0.401911969727146,0.8227371756783521,0.871412429378531,0.7595036438841836,3856,569,4452,1221,10098,9,31
fedavg_heagg,multimodal,none,0.8764449501578019,0.8754430251463851,0.5069179389312977,0.7657979293109604,0.8762160348876216,0.6202802184754215,2612,369,3823,1599,8403,0,31
fedavg_heagg,multimodal,none,0.8998073791651773,0.8949966359711787,0.4448051948051948,0.8125984251968504,0.8586206896551725,0.7614678899082569,249,41,267,78,635,1,31
fedavg_heagg,multimodal,none,0.9600520252694166,0.9597384666035764,0.18840579710144928,0.9115646258503401,0.9577464788732394,0.8717948717948718,68,3,66,10,147,2,31
fedavg_heagg,multimodal,none,0.907595892801344,0.9099416027234726,0.4247720364741641,0.8001332445036642,0.8989591266818989,0.675376692733168,3541,398,4866,1702,10507,3,31
fedavg_heagg,multimodal,none,0.8319250476899788,0.8279058355996387,0.6086607858861267,0.7348305752561072,0.8159509202453987,0.6181254841208366,798,180,1067,493,2538,4,31
fedavg_heagg,multimodal,none,0.9593171988387629,0.9582836685659404,0.19731800766283525,0.8861671469740634,0.9191522762951334,0.8460982658959537,3513,309,3867,639,8328,5,31
fedavg_heagg,multimodal,none,0.9464607853271704,0.9450681020574675,0.25225571126895757,0.8693438370640791,0.871517027863777,0.8661538461538462,4504,664,4545,696,10409,6,31
fedavg_heagg,multimodal,none,0.8772225097068332,0.8680515964241831,0.47997416020671835,0.7677178153446034,0.8662764520486268,0.6295811518324608,1924,297,2799,1132,6152,7,31
fedavg_heagg,multimodal,none,0.7906136176940126,0.7698387298203249,0.6685472496473907,0.701401365432986,0.7680722891566265,0.5604395604395604,765,231,1187,600,2783,8,31
fedavg_heagg,multimodal,none,0.9125750634022156,0.9153119749974701,0.401911969727146,0.8227371756783521,0.871412429378531,0.7595036438841836,3856,569,4452,1221,10098,9,31
fedavg_plain,multimodal,none,0.8316336493702604,0.8227977323274343,0.5900890064950686,0.7340783465513098,0.8014206300185299,0.6230492196878752,2595,643,3514,1570,8322,0,37
fedavg_plain,multimodal,none,0.9458751242432457,0.9466371175396355,0.2434017595307918,0.8767908309455588,0.9020771513353115,0.8515406162464986,304,33,308,53,698,1,37
fedavg_plain,multimodal,none,0.9603825136612023,0.9707418119391317,0.32786885245901637,0.8646616541353384,0.8461538461538461,0.9166666666666666,66,12,49,6,133,2,37
fedavg_plain,multimodal,none,0.8915664228477077,0.8955709624384689,0.477897932081199,0.8002655538694993,0.8565638369736546,0.7214109615019912,3804,637,4634,1469,10544,3,37
fedavg_plain,multimodal,none,0.8410378188706024,0.8313992102448662,0.5900073475385745,0.734304932735426,0.8304157549234136,0.5771863117870722,759,155,1206,556,2676,4,37
fedavg_plain,multimodal,none,0.9480249164733152,0.943457811960149,0.23246445497630333,0.8742400762903803,0.8771802325581395,0.8685536099784121,3621,507,3713,548,8389,5,37
fedavg_plain,multimodal,none,0.9663558297242154,0.9665823726228745,0.1644479248238058,0.9017848434604506,0.9213849287169043,0.8793002915451895,4524,386,4722,621,10253,6,37
fedavg_plain,multimodal,none,0.8316351643459977,0.8205822196240713,0.5895992050347797,0.7288499669530734,0.8126684636118598,0.5964391691394659,1809,417,2602,1224,6052,7,37
fedavg_plain,multimodal,none,0.8459864194377971,0.8348116183939971,0.5403050108932462,0.7267125770206596,0.841304347826087,0.5600578871201157,774,146,1231,608,2759,8,37
