method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,30000,30000,0,0,60000,31
video_similarity,video,none,0.8873832166666666,0.8895627550607407,0.4913,0.7750833333333333,0.7184761602202632,0.9046333333333333,27139,10634,19366,2861,60000,31
audio_similarity,audio,none,0.7280813622222222,0.7119036042458797,0.7712666666666667,0.6649833333333334,0.6417991691734708,0.7467333333333334,22402,12503,17497,7598,60000,31
early_fusion_similarity,multimodal,none,0.8968588766666667,0.8955203637577217,0.4443666666666667,0.8100833333333334,0.7801367181618334,0.8635333333333334,25906,7301,22699,4094,60000,31
centralized_video,video,none,0.8891767288888888,0.8895084840612344,0.47796666666666665,0.7941833333333334,0.8644942799322678,0.6977333333333333,20932,3281,26719,9068,60000,31
centralized_audio,audio,none,0.7280815933333333,0.7119036623166557,0.7712666666666667,0.6656333333333333,0.6771353201197775,0.6331666666666667,18995,9057,20943,11005,60000,31
centralized_multimodal,multimodal,none,0.9070620755555555,0.9080678819743057,0.4193,0.8081333333333334,0.8886973341182407,0.7045,21135,2647,27353,8865,60000,31
local_multimodal,multimodal,none,0.90440517,0.9064383676525715,0.43646666666666667,0.8039833333333334,0.8925573587017348,0.6911666666666667,20735,2496,27504,9265,60000,31
fedavg_plain,multimodal,plain,0.906699641111111,0.9074156412223239,0.4175333333333333,0.8128166666666666,0.8770238238720823,0.7276666666666667,21830,3061,26939,8170,60000,31
fedprox_plain,multimodal,plain,0.9067027977777778,0.9074222529856433,0.4177,0.8128166666666666,0.8770541202941058,0.7276333333333334,21829,3060,26940,8171,60000,31
fedavg_secureagg,multimodal,secureagg,0.906699641111111,0.9074156412223239,0.4175333333333333,0.8128166666666666,0.8770238238720823,0.7276666666666667,21830,3061,26939,8170,60000,31
fedavg_heagg,multimodal,heagg,0.90669964,0.9074156393492075,0.4175333333333333,0.8128166666666666,0.8770238238720823,0.7276666666666667,21830,3061,26939,8170,60000,31
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,30000,30000,0,0,60000,37
video_similarity,video,none,0.8826153955555557,0.8823677026768061,0.48956666666666665,0.7704833333333333,0.7115078847908249,0.9099,27297,11068,18932,2703,60000,37
audio_similarity,audio,none,0.706533388888889,0.69161959308998,0.8029,0.6463666666666666,0.6259826705686579,0.7272666666666666,21818,13036,16964,8182,60000,37
early_fusion_similarity,multimodal,none,0.8821589699999999,0.8811336434996706,0.4836666666666667,0.7628166666666667,0.6993199686528301,0.9221,27663,11894,18106,2337,60000,37
centralized_video,video,none,0.8863369411111112,0.8859555310248048,0.47276666666666667,0.7930833333333334,0.8550660259257764,0.7058,21174,3589,26411,8826,60000,37
centralized_audio,audio,none,0.70653291,0.691619472718831,0.8029,0.6493666666666666,0.6645369758390247,0.6032666666666666,18098,9136,20864,11902,60000,37
centralized_multimodal,multimodal,none,0.9005878655555557,0.9011591860033357,0.4333666666666667,0.8013666666666667,0.8803533866217922,0.6975333333333333,20926,2844,27156,9074,60000,37
local_multimodal,multimodal,none,0.9002902711111112,0.9015140269176185,0.43943333333333334,0.7973833333333333,0.8856945225022697,0.6829,20487,2644,27356,9513,60000,37
fedavg_plain,multimodal,plain,0.8999765011111112,0.9003680485836021,0.43633333333333335,0.8063666666666667,0.8684358213741682,0.7221333333333333,21664,3282,26718,8336,60000,37
fedprox_plain,multimodal,plain,0.8999823344444443,0.9003765760587592,0.4362666666666667,0.8063666666666667,0.8684358213741682,0.7221333333333333,21664,3282,26718,8336,60000,37
fedavg_secureagg,multimodal,secureagg,0.8999765011111112,0.9003680485836021,0.43633333333333335,0.8063666666666667,0.8684358213741682,0.7221333333333333,21664,3282,26718,8336,60000,37
fedavg_heagg,multimodal,heagg,0.8999764922222222,0.9003680402864871,0.43633333333333335,0.8063666666666667,0.8684358213741682,0.7221333333333333,21664,3282,26718,8336,60000,37
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,30000,30000,0,0,60000,41
video_similarity,video,none,0.8557829333333333,0.8548499972377456,0.5644,0.7452833333333333,0.6888683555350222,0.8946333333333333,26839,12122,17878,3161,60000,41
audio_similarity,audio,none,0.7328363277777779,0.7213632403077901,0.7729333333333334,0.6584166666666667,0.621289845085879,0.8114666666666667,24344,14839,15161,5656,60000,41
early_fusion_similarity,multimodal,none,0.8758670111111111,0.8754731468835232,0.5096,0.7606166666666667,0.7007368610233896,0.9097666666666666,27293,11656,18344,2707,60000,41
centralized_video,video,none,0.8584191544444444,0.8557012573965879,0.5438666666666667,0.7649,0.8233116354759967,0.6745666666666666,20237,4343,25657,9763,60000,41
