round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
1,fedavg,plain,0.40738221651526596,plain,1.4297198504209518e-05,7.212208583950996e-05,1680,1680,1.0,31
2,fedavg,plain,0.3610000462758334,plain,1.1259224265813828e-05,6.755860522389412e-05,1680,1680,1.0,31
3,fedavg,plain,0.3399951473444283,plain,1.1437572538852692e-05,6.862310692667961e-05,1680,1680,1.0,31
4,fedavg,plain,0.327685121466112,plain,1.1183321475982666e-05,6.856489926576614e-05,1680,1680,1.0,31
5,fedavg,plain,0.3195427149440912,plain,1.0783784091472626e-05,6.657978519797325e-05,1680,1680,1.0,31
6,fedavg,plain,0.31376161216273935,plain,3.1079165637493134e-05,0.00025410205125808716,1680,1680,1.0,31
7,fedavg,plain,0.30945609131431057,plain,1.3465993106365204e-05,7.763784378767014e-05,1680,1680,1.0,31
8,fedavg,plain,0.3061350420932395,plain,1.154700294137001e-05,7.332023233175278e-05,1680,1680,1.0,31
9,fedavg,plain,0.30350320380704854,plain,1.2112315744161606e-05,7.302500307559967e-05,1680,1680,1.0,31
10,fedavg,plain,0.3013724124351725,plain,1.2425705790519714e-05,7.389625534415245e-05,1680,1680,1.0,31
11,fedavg,plain,0.29961722068853636,plain,1.1799857020378113e-05,7.005315274000168e-05,1680,1680,1.0,31
12,fedavg,plain,0.2981508556930231,plain,1.1438969522714615e-05,6.979517638683319e-05,1680,1680,1.0,31
13,fedavg,plain,0.29691139648195014,plain,1.1582858860492706e-05,6.810901686549187e-05,1680,1680,1.0,31
14,fedavg,plain,0.2958534503398694,plain,1.1878088116645813e-05,6.95493072271347e-05,1680,1680,1.0,31
15,fedavg,plain,0.29494294784464287,plain,1.1936761438846588e-05,7.096817716956139e-05,1680,1680,1.0,31
16,fedavg,plain,0.29415378278828413,plain,1.1452939361333847e-05,6.943708285689354e-05,1680,1680,1.0,31
17,fedavg,plain,0.2934655821654869,plain,1.2116972357034683e-05,7.154513150453568e-05,1680,1680,1.0,31
18,fedavg,plain,0.2928621892602611,plain,1.1624768376350403e-05,6.609084084630013e-05,1680,1680,1.0,31
19,fedavg,plain,0.2923306085481737,plain,1.2435019016265869e-05,6.840797141194344e-05,1680,1680,1.0,31
20,fedavg,plain,0.291860256677295,plain,1.3952609151601791e-05,6.987294182181358e-05,1680,1680,1.0,31
21,fedavg,plain,0.2914424206037992,plain,1.345016062259674e-05,9.281979873776436e-05,1680,1680,1.0,31
22,fedavg,plain,0.29106985865190477,plain,1.3079959899187088e-05,7.371092215180397e-05,1680,1680,1.0,31
23,fedavg,plain,0.2907365019582394,plain,1.1363066732883453e-05,7.716938853263855e-05,1680,1680,1.0,31
24,fedavg,plain,0.2904372276097348,plain,1.213839277625084e-05,6.860215216875076e-05,1680,1680,1.0,31
25,fedavg,plain,0.2901676837963928,plain,1.4083925634622574e-05,7.592234760522842e-05,1680,1680,1.0,31
26,fedavg,plain,0.28992415326779275,plain,1.4399643987417221e-05,7.436191663146019e-05,1680,1680,1.0,31
27,fedavg,plain,0.2897034453974986,plain,1.3957265764474869e-05,7.020076736807823e-05,1680,1680,1.0,31
28,fedavg,plain,0.28950280990181537,plain,1.2590084224939346e-05,7.189391180872917e-05,1680,1680,1.0,31
29,fedavg,plain,0.2893198671586062,plain,1.251092180609703e-05,6.828363984823227e-05,1680,1680,1.0,31
30,fedavg,plain,0.2891525514047918,plain,1.3887882232666016e-05,6.860261783003807e-05,1680,1680,1.0,31
31,fedavg,plain,0.28899906403846715,plain,1.3130716979503632e-05,7.221288979053497e-05,1680,1680,1.0,31
32,fedavg,plain,0.28885783493302153,plain,1.2514647096395493e-05,6.899284198880196e-05,1680,1680,1.0,31
33,fedavg,plain,0.2887274901665999,plain,1.154094934463501e-05,6.945012137293816e-05,1680,1680,1.0,31
34,fedavg,plain,0.28860682493529105,plain,1.1455733329057693e-05,6.786640733480453e-05,1680,1680,1.0,31
