seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,1.2811273336410522e-05,7.563440594822168e-05,1.0
31,fedprox_plain,plain,0,0,1.479014754295349e-05,7.660089759156107e-05,1.0
31,fedavg_secureagg,secureagg,0,0,1.8044293392449616e-05,9.212362347170711e-05,2.0
31,fedavg_heagg,heagg,0,0,9.330349275842309e-05,9.940486634150148e-05,16.0
37,fedavg_plain,plain,0,0,1.2891669757664204e-05,7.023836951702833e-05,1.0
37,fedprox_plain,plain,0,0,1.1324358638375998e-05,8.116222452372312e-05,1.0
37,fedavg_secureagg,secureagg,0,0,1.3111322186887264e-05,7.47589161619544e-05,2.0
37,fedavg_heagg,heagg,0,0,7.762564346194267e-05,7.68043682910502e-05,16.0
41,fedavg_plain,plain,0,0,1.2521992903202773e-05,7.704938761889934e-05,1.0
41,fedprox_plain,plain,0,0,1.179029932245612e-05,6.742232944816351e-05,1.0
41,fedavg_secureagg,secureagg,0,0,1.2460153084248304e-05,6.809195037931204e-05,2.0
41,fedavg_heagg,heagg,0,0,7.758137071505189e-05,7.558566285297275e-05,16.0
