method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.0,0.0,0.0,0,4269,0,0,4269,vcsl_cross_category_negative,31
random,multimodal,none,,,,1.0,1.0,1.0,16206,0,0,0,16206,vcsl_labeled_copy,31
random,multimodal,none,,,,1.0,1.0,1.0,13794,0,0,0,13794,vcsl_partial_copy,31
random,multimodal,none,,,,0.0,0.0,0.0,0,25731,0,0,25731,vcsl_same_category_negative,31
video_similarity,multimodal,none,,,,0.8210353712813305,0.0,0.0,0,764,3505,0,4269,vcsl_cross_category_negative,31
video_similarity,multimodal,none,,,,0.9437862520054301,1.0,0.9437862520054301,15295,0,0,911,16206,vcsl_labeled_copy,31
video_similarity,multimodal,none,,,,0.8586341887777295,1.0,0.8586341887777295,11844,0,0,1950,13794,vcsl_partial_copy,31
video_similarity,multimodal,none,,,,0.6164159962690917,0.0,0.0,0,9870,15861,0,25731,vcsl_same_category_negative,31
audio_similarity,multimodal,none,,,,0.7589599437807449,0.0,0.0,0,1029,3240,0,4269,vcsl_cross_category_negative,31
audio_similarity,multimodal,none,,,,0.7422559545847217,1.0,0.7422559545847217,12029,0,0,4177,16206,vcsl_labeled_copy,31
audio_similarity,multimodal,none,,,,0.751993620414673,1.0,0.751993620414673,10373,0,0,3421,13794,vcsl_partial_copy,31
audio_similarity,multimodal,none,,,,0.5540787377093778,0.0,0.0,0,11474,14257,0,25731,vcsl_same_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.9236355118294682,0.0,0.0,0,326,3943,0,4269,vcsl_cross_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.8984943847957546,1.0,0.8984943847957546,14561,0,0,1645,16206,vcsl_labeled_copy,31
early_fusion_similarity,multimodal,none,,,,0.8224590401623895,1.0,0.8224590401623895,11345,0,0,2449,13794,vcsl_partial_copy,31
early_fusion_similarity,multimodal,none,,,,0.7289261979713186,0.0,0.0,0,6975,18756,0,25731,vcsl_same_category_negative,31
fedavg_plain,multimodal,none,,,,0.9765753103771375,0.0,0.0,0,100,4169,0,4269,vcsl_cross_category_negative,31
fedavg_plain,multimodal,none,,,,0.7659508823892386,1.0,0.7659508823892386,12413,0,0,3793,16206,vcsl_labeled_copy,31
fedavg_plain,multimodal,none,,,,0.6826881252718573,1.0,0.6826881252718573,9417,0,0,4377,13794,vcsl_partial_copy,31
fedavg_plain,multimodal,none,,,,0.8849247988807275,0.0,0.0,0,2961,22770,0,25731,vcsl_same_category_negative,31
fedprox_plain,multimodal,none,,,,0.9765753103771375,0.0,0.0,0,100,4169,0,4269,vcsl_cross_category_negative,31
fedprox_plain,multimodal,none,,,,0.7659508823892386,1.0,0.7659508823892386,12413,0,0,3793,16206,vcsl_labeled_copy,31
fedprox_plain,multimodal,none,,,,0.682615629984051,1.0,0.682615629984051,9416,0,0,4378,13794,vcsl_partial_copy,31
fedprox_plain,multimodal,none,,,,0.8849636625082585,0.0,0.0,0,2960,22771,0,25731,vcsl_same_category_negative,31
fedavg_secureagg,multimodal,none,,,,0.9765753103771375,0.0,0.0,0,100,4169,0,4269,vcsl_cross_category_negative,31
fedavg_secureagg,multimodal,none,,,,0.7659508823892386,1.0,0.7659508823892386,12413,0,0,3793,16206,vcsl_labeled_copy,31
fedavg_secureagg,multimodal,none,,,,0.6826881252718573,1.0,0.6826881252718573,9417,0,0,4377,13794,vcsl_partial_copy,31
fedavg_secureagg,multimodal,none,,,,0.8849247988807275,0.0,0.0,0,2961,22770,0,25731,vcsl_same_category_negative,31
fedavg_heagg,multimodal,none,,,,0.9765753103771375,0.0,0.0,0,100,4169,0,4269,vcsl_cross_category_negative,31
fedavg_heagg,multimodal,none,,,,0.7659508823892386,1.0,0.7659508823892386,12413,0,0,3793,16206,vcsl_labeled_copy,31
fedavg_heagg,multimodal,none,,,,0.6826881252718573,1.0,0.6826881252718573,9417,0,0,4377,13794,vcsl_partial_copy,31
fedavg_heagg,multimodal,none,,,,0.8849247988807275,0.0,0.0,0,2961,22770,0,25731,vcsl_same_category_negative,31
random,multimodal,none,,,,0.0,0.0,0.0,0,4190,0,0,4190,vcsl_cross_category_negative,37
random,multimodal,none,,,,1.0,1.0,1.0,16221,0,0,0,16221,vcsl_labeled_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,13779,0,0,0,13779,vcsl_partial_copy,37
random,multimodal,none,,,,0.0,0.0,0.0,0,25810,0,0,25810,vcsl_same_category_negative,37
video_similarity,multimodal,none,,,,0.8286396181384248,0.0,0.0,0,718,3472,0,4190,vcsl_cross_category_negative,37
video_similarity,multimodal,none,,,,0.94741384624869,1.0,0.94741384624869,15368,0,0,853,16221,vcsl_labeled_copy,37
video_similarity,multimodal,none,,,,0.8657377168154438,1.0,0.8657377168154438,11929,0,0,1850,13779,vcsl_partial_copy,37
video_similarity,multimodal,none,,,,0.5989926385122045,0.0,0.0,0,10350,15460,0,25810,vcsl_same_category_negative,37
audio_similarity,multimodal,none,,,,0.7417661097852029,0.0,0.0,0,1082,3108,0,4190,vcsl_cross_category_negative,37
audio_similarity,multimodal,none,,,,0.7352197768325011,1.0,0.7352197768325011,11926,0,0,4295,16221,vcsl_labeled_copy,37
audio_similarity,multimodal,none,,,,0.7179040568981784,1.0,0.7179040568981784,9892,0,0,3887,13779,vcsl_partial_copy,37
audio_similarity,multimodal,none,,,,0.5368461836497481,0.0,0.0,0,11954,13856,0,25810,vcsl_same_category_negative,37
early_fusion_similarity,multimodal,none,,,,0.8412887828162291,0.0,0.0,0,665,3525,0,4190,vcsl_cross_category_negative,37
early_fusion_similarity,multimodal,none,,,,0.9479070340916096,1.0,0.9479070340916096,15376,0,0,845,16221,vcsl_labeled_copy,37
early_fusion_similarity,multimodal,none,,,,0.8917192829668336,1.0,0.8917192829668336,12287,0,0,1492,13779,vcsl_partial_copy,37
early_fusion_similarity,multimodal,none,,,,0.5649360712901976,0.0,0.0,0,11229,14581,0,25810,vcsl_same_category_negative,37
fedavg_plain,multimodal,none,,,,0.9758949880668257,0.0,0.0,0,101,4089,0,4190,vcsl_cross_category_negative,37
fedavg_plain,multimodal,none,,,,0.763886320202207,1.0,0.763886320202207,12391,0,0,3830,16221,vcsl_labeled_copy,37
fedavg_plain,multimodal,none,,,,0.6729806226866971,1.0,0.6729806226866971,9273,0,0,4506,13779,vcsl_partial_copy,37
fedavg_plain,multimodal,none,,,,0.8767531964354901,0.0,0.0,0,3181,22629,0,25810,vcsl_same_category_negative,37
fedprox_plain,multimodal,none,,,,0.9758949880668257,0.0,0.0,0,101,4089,0,4190,vcsl_cross_category_negative,37
fedprox_plain,multimodal,none,,,,0.763886320202207,1.0,0.763886320202207,12391,0,0,3830,16221,vcsl_labeled_copy,37
fedprox_plain,multimodal,none,,,,0.6729806226866971,1.0,0.6729806226866971,9273,0,0,4506,13779,vcsl_partial_copy,37
fedprox_plain,multimodal,none,,,,0.8767531964354901,0.0,0.0,0,3181,22629,0,25810,vcsl_same_category_negative,37
fedavg_secureagg,multimodal,none,,,,0.9758949880668257,0.0,0.0,0,101,4089,0,4190,vcsl_cross_category_negative,37
fedavg_secureagg,multimodal,none,,,,0.763886320202207,1.0,0.763886320202207,12391,0,0,3830,16221,vcsl_labeled_copy,37
fedavg_secureagg,multimodal,none,,,,0.6729806226866971,1.0,0.6729806226866971,9273,0,0,4506,13779,vcsl_partial_copy,37
fedavg_secureagg,multimodal,none,,,,0.8767531964354901,0.0,0.0,0,3181,22629,0,25810,vcsl_same_category_negative,37
fedavg_heagg,multimodal,none,,,,0.9758949880668257,0.0,0.0,0,101,4089,0,4190,vcsl_cross_category_negative,37
fedavg_heagg,multimodal,none,,,,0.763886320202207,1.0,0.763886320202207,12391,0,0,3830,16221,vcsl_labeled_copy,37
