method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion
centralized_video,1,0.12477816781029105,31,none,,,
centralized_audio,1,0.11950523173436522,31,none,,,
centralized_multimodal,1,1.726069079246372,31,none,,,
local_multimodal,1,1.5676707699894905,31,local,,,
fedavg_plain,40,6.99080055905506,31,plain,1.2811273336410522e-05,7.563440594822168e-05,1.0
fedprox_plain,40,8.627871786244214,31,plain,1.479014754295349e-05,7.660089759156107e-05,1.0
fedavg_secureagg,40,9.06167830619961,31,secureagg,1.8044293392449616e-05,9.212362347170711e-05,2.0
fedavg_heagg,40,9.029481424950063,31,heagg,9.330349275842309e-05,9.940486634150148e-05,16.0
centralized_video,1,0.14103143196552992,37,none,,,
centralized_audio,1,0.1374166770838201,37,none,,,
centralized_multimodal,1,2.0458151008933783,37,none,,,
local_multimodal,1,2.1565568768419325,37,local,,,
fedavg_plain,40,6.481186001095921,37,plain,1.2891669757664204e-05,7.023836951702833e-05,1.0
fedprox_plain,40,7.420064921025187,37,plain,1.1324358638375998e-05,8.116222452372312e-05,1.0
fedavg_secureagg,40,8.116028220858425,37,secureagg,1.3111322186887264e-05,7.47589161619544e-05,2.0
fedavg_heagg,40,7.639533597975969,37,heagg,7.762564346194267e-05,7.68043682910502e-05,16.0
centralized_video,1,0.11286354018375278,41,none,,,
centralized_audio,1,0.10359490988776088,41,none,,,
centralized_multimodal,1,0.6759434100240469,41,none,,,
local_multimodal,1,1.04314723610878,41,local,,,
fedavg_plain,40,7.3614137610420585,41,plain,1.2521992903202773e-05,7.704938761889934e-05,1.0
fedprox_plain,40,7.063790549058467,41,plain,1.179029932245612e-05,6.742232944816351e-05,1.0
fedavg_secureagg,40,8.058114880695939,41,secureagg,1.2460153084248304e-05,6.809195037931204e-05,2.0
fedavg_heagg,40,7.799380767159164,41,heagg,7.758137071505189e-05,7.558566285297275e-05,16.0
