method,modality,privacy_mode,roc_auc_mean,pr_auc_mean,accuracy_mean,precision_mean,recall_mean,fpr_at_95_recall_mean,roc_auc_std,pr_auc_std,accuracy_std,precision_std,recall_std,fpr_at_95_recall_std
audio_similarity,audio,none,0.722483692962963,0.7082954792145499,0.6565888888888889,0.6296905616093359,0.7618222222222223,0.7823666666666668,0.014016475106109868,0.015196547704517196,0.00944196209207327,0.010745670551883794,0.04408135576324677,0.017801903768355113
centralized_audio,audio,none,0.7224835203703703,0.708295435794291,0.6607833333333333,0.6739870054890984,0.6226333333333333,0.7823666666666668,0.014016694026370775,0.01519659142294592,0.009924310779315845,0.008334463317655246,0.016793550349266054,0.017801903768355113
centralized_multimodal,multimodal,none,0.8963115940740742,0.8970254468669925,0.7973611111111111,0.8749183321081023,0.6939444444444445,0.4490111111111111,0.01341012032900758,0.013589323695834935,0.013237597269953633,0.01715489262663944,0.01273509295578921,0.03990379170696178
centralized_video,video,none,0.8779776081481482,0.8770550908275423,0.7840555555555556,0.8476239804446802,0.6927,0.4982,0.01699752723532593,0.01857809248732177,0.016598312609463726,0.021576389452592302,0.016213608824413864,0.039633865990253064
early_fusion_similarity,multimodal,none,0.8849616192592592,0.8840423847136384,0.7778388888888889,0.7267311826126844,0.8984666666666667,0.4792111111111111,0.010772916830109244,0.010335294271943274,0.02794616517785849,0.046255976008144094,0.030875250786205934,0.032844115544887593
fedavg_heagg,multimodal,heagg,0.8957514403703705,0.8961279274999515,0.8016611111111112,0.863450345680099,0.7166444444444444,0.44915555555555553,0.013563585418342322,0.013901516700602651,0.014109633562189314,0.016636241274233434,0.014564238292373402,0.03962122513857292
fedavg_plain,multimodal,plain,0.8957514440740741,0.8961279091504707,0.8016611111111112,0.863450345680099,0.7166444444444444,0.44915555555555553,0.013563586629730435,0.013901555150659713,0.014109633562189314,0.016636241274233434,0.014564238292373402,0.03962122513857292
fedavg_secureagg,multimodal,secureagg,0.8957514440740741,0.8961279091504707,0.8016611111111112,0.863450345680099,0.7166444444444444,0.44915555555555553,0.013563586629730435,0.013901555150659713,0.014109633562189314,0.016636241274233434,0.014564238292373402,0.03962122513857292
fedprox_plain,multimodal,plain,0.8957565640740741,0.8961374217410639,0.8016444444444444,0.8634542044500985,0.7166,0.44915555555555553,0.013562206220650828,0.013898056937672537,0.014137738438242169,0.01665904526306044,0.01460833095645545,0.03950952534000617
local_multimodal,multimodal,none,0.8945235644444445,0.8962933699976818,0.7931777777777778,0.8801388746159574,0.6787555555555556,0.4618111111111111,0.013707127881856058,0.013532914996523952,0.013412311232319151,0.015939783414078937,0.01492143623312649,0.041355267477652086
random,multimodal,none,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
video_similarity,video,none,0.8752605151851852,0.875593484991764,0.7636166666666666,0.7062841335153701,0.9030555555555555,0.5150888888888888,0.017035702968576965,0.01832106459386924,0.016042859263028383,0.015479703085353598,0.007754664068469723,0.04271346825499394
