method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9952334966466142,0.9958804856771022,0.01812688821752266,0.03672642336691103,0.07068071775590623,0.9627976190476191,0.9388888888888889,0.9912023460410557,338,22,309,3,672,0,31
fedavg_plain,multimodal,none,0.9953142419175028,0.996019379537982,0.009615384615384616,0.02816097924572687,0.049859437253997614,0.9722891566265061,0.9851116625310173,0.9589371980676329,397,6,410,17,830,1,31
fedavg_plain,multimodal,none,0.998072560780439,0.9982692868663507,0.013812154696132596,0.022187957376196842,0.059411328880689854,0.9907773386034255,0.9850746268656716,0.9974811083123426,396,6,356,1,759,2,31
fedavg_plain,multimodal,none,0.9972021273914249,0.9971388994111718,0.004889975550122249,0.0400823504107731,0.09043829620581088,0.9485570890840652,0.9121140142517815,0.9896907216494846,384,37,372,4,797,3,31
fedavg_plain,multimodal,none,0.9576457645764577,0.976876876876877,0.7623762376237624,0.04401876100545513,0.0855783894874155,0.9712918660287081,1.0,0.9444444444444444,102,0,101,6,209,4,31
fedavg_plain,multimodal,none,0.9919813720502486,0.9932774956127038,0.015810276679841896,0.031176616135593648,0.054123338304947276,0.9683481701285855,0.9504761904761905,0.9881188118811881,499,26,480,6,1011,5,31
fedavg_plain,multimodal,none,0.9945854733875733,0.9936828540210579,0.031180400890868598,0.039339664944636706,0.06357970223361527,0.9560047562425684,0.9156908665105387,0.9974489795918368,391,36,413,1,841,6,31
fedavg_plain,multimodal,none,0.9888407367280607,0.989650933051548,0.05868544600938967,0.05970077496998764,0.09697824540884711,0.9216799091940976,0.8725868725868726,0.9934065934065934,452,66,360,3,881,7,31
fedprox_plain,multimodal,none,0.9952334966466143,0.9958804856771022,0.01812688821752266,0.03675305442961014,0.07079987748113198,0.9627976190476191,0.9388888888888889,0.9912023460410557,338,22,309,3,672,0,31
fedprox_plain,multimodal,none,0.9953142419175028,0.996019379537982,0.009615384615384616,0.02816594627611133,0.04991303915023926,0.9722891566265061,0.9851116625310173,0.9589371980676329,397,6,410,17,830,1,31
fedprox_plain,multimodal,none,0.998072560780439,0.9982692868663507,0.013812154696132596,0.022197398087319572,0.05948442875570749,0.9907773386034255,0.9850746268656716,0.9974811083123426,396,6,356,1,759,2,31
fedprox_plain,multimodal,none,0.9971895243616566,0.9971291747172566,0.004889975550122249,0.04011992830069433,0.09056139141892941,0.9485570890840652,0.9121140142517815,0.9896907216494846,384,37,372,4,797,3,31
fedprox_plain,multimodal,none,0.9576457645764577,0.976876876876877,0.7623762376237624,0.044028693000188864,0.085640520927563,0.9712918660287081,1.0,0.9444444444444444,102,0,101,6,209,4,31
fedprox_plain,multimodal,none,0.9919735451806051,0.9932704461108551,0.015810276679841896,0.031199580967605736,0.054179361142097766,0.9683481701285855,0.9504761904761905,0.9881188118811881,499,26,480,6,1011,5,31
fedprox_plain,multimodal,none,0.9946138811872187,0.9937189780595619,0.031180400890868598,0.03936562588217255,0.0636686391546023,0.9560047562425684,0.9156908665105387,0.9974489795918368,391,36,413,1,841,6,31
fedprox_plain,multimodal,none,0.9888510550482381,0.9896600786283518,0.05868544600938967,0.05973336912783842,0.0971156445504587,0.9216799091940976,0.8725868725868726,0.9934065934065934,452,66,360,3,881,7,31
fedavg_secureagg_sim,multimodal,none,0.9952334966466142,0.9958804856771022,0.01812688821752266,0.03672642336691071,0.07068071775590533,0.9627976190476191,0.9388888888888889,0.9912023460410557,338,22,309,3,672,0,31
fedavg_secureagg_sim,multimodal,none,0.9953142419175028,0.996019379537982,0.009615384615384616,0.028160979245726716,0.04985943725399727,0.9722891566265061,0.9851116625310173,0.9589371980676329,397,6,410,17,830,1,31
fedavg_secureagg_sim,multimodal,none,0.998072560780439,0.9982692868663507,0.013812154696132596,0.022187957376196665,0.059411328880689396,0.9907773386034255,0.9850746268656716,0.9974811083123426,396,6,356,1,759,2,31
fedavg_secureagg_sim,multimodal,none,0.9972021273914249,0.9971388994111718,0.004889975550122249,0.04008235041077277,0.09043829620580986,0.9485570890840652,0.9121140142517815,0.9896907216494846,384,37,372,4,797,3,31
fedavg_secureagg_sim,multimodal,none,0.9576457645764577,0.976876876876877,0.7623762376237624,0.044018761005454904,0.08557838948741511,0.9712918660287081,1.0,0.9444444444444444,102,0,101,6,209,4,31
fedavg_secureagg_sim,multimodal,none,0.9919813720502486,0.9932774956127038,0.015810276679841896,0.031176616135593485,0.05412333830494678,0.9683481701285855,0.9504761904761905,0.9881188118811881,499,26,480,6,1011,5,31
fedavg_secureagg_sim,multimodal,none,0.9945854733875733,0.9936828540210579,0.031180400890868598,0.03933966494463646,0.0635797022336144,0.9560047562425684,0.9156908665105387,0.9974489795918368,391,36,413,1,841,6,31
fedavg_secureagg_sim,multimodal,none,0.9888407367280607,0.989650933051548,0.05868544600938967,0.05970077496998724,0.09697824540884625,0.9216799091940976,0.8725868725868726,0.9934065934065934,452,66,360,3,881,7,31
fedavg_quantized_transport_proxy,multimodal,none,0.9952334966466142,0.9958804856771022,0.01812688821752266,0.036726417025294465,0.07068069766742804,0.9627976190476191,0.9388888888888889,0.9912023460410557,338,22,309,3,672,0,31
fedavg_quantized_transport_proxy,multimodal,none,0.9953142419175028,0.996019379537982,0.009615384615384616,0.028160985967489373,0.04985943779234705,0.9722891566265061,0.9851116625310173,0.9589371980676329,397,6,410,17,830,1,31
fedavg_quantized_transport_proxy,multimodal,none,0.998072560780439,0.9982692868663507,0.013812154696132596,0.022187964340245697,0.05941133090981927,0.9907773386034255,0.9850746268656716,0.9974811083123426,396,6,356,1,759,2,31
fedavg_quantized_transport_proxy,multimodal,none,0.9972021273914249,0.9971388994111718,0.004889975550122249,0.04008233736256435,0.09043827032703931,0.9485570890840652,0.9121140142517815,0.9896907216494846,384,37,372,4,797,3,31
fedavg_quantized_transport_proxy,multimodal,none,0.9576457645764577,0.976876876876877,0.7623762376237624,0.044018766718003796,0.08557838833253444,0.9712918660287081,1.0,0.9444444444444444,102,0,101,6,209,4,31
fedavg_quantized_transport_proxy,multimodal,none,0.9919813720502486,0.9932774956127038,0.015810276679841896,0.031176612535987816,0.05412333852512745,0.9683481701285855,0.9504761904761905,0.9881188118811881,499,26,480,6,1011,5,31
fedavg_quantized_transport_proxy,multimodal,none,0.9945854733875733,0.9936828540210579,0.031180400890868598,0.039339657060254656,0.06357969392125572,0.9560047562425684,0.9156908665105387,0.9974489795918368,391,36,413,1,841,6,31
fedavg_quantized_transport_proxy,multimodal,none,0.9888407367280607,0.989650933051548,0.05868544600938967,0.05970076211564815,0.09697820158600644,0.9216799091940976,0.8725868725868726,0.9934065934065934,452,66,360,3,881,7,31
fedavgft_plain,multimodal,none,0.9951271805866874,0.9957634262985773,0.01812688821752266,0.03604399241755545,0.07779985189940705,0.9642857142857143,0.9415041782729805,0.9912023460410557,338,21,310,3,672,0,31
fedavgft_plain,multimodal,none,0.9953374674842066,0.996044719022484,0.009615384615384616,0.027370578563985865,0.047909051256545654,0.9783132530120482,0.9852941176470589,0.9710144927536232,402,6,410,12,830,1,31
fedavgft_plain,multimodal,none,0.9981073521020918,0.9983036263773488,0.013812154696132596,0.02124434393769747,0.05664939973867138,0.9907773386034255,0.9850746268656716,0.9974811083123426,396,6,356,1,759,2,31
fedavgft_plain,multimodal,none,0.9972840470849192,0.9971896202002608,0.004889975550122249,0.03878012670316013,0.08957086320498792,0.9548306148055207,0.9230769230769231,0.9896907216494846,384,32,377,4,797,3,31
fedavgft_plain,multimodal,none,0.9576457645764577,0.976876876876877,0.7623762376237624,0.04324318790777208,0.08333515242244471,0.9712918660287081,1.0,0.9444444444444444,102,0,101,6,209,4,31
fedavgft_plain,multimodal,none,0.9919735451806051,0.9932704461108551,0.015810276679841896,0.03087781828092022,0.05404178652602878,0.9683481701285855,0.9504761904761905,0.9881188118811881,499,26,480,6,1011,5,31
fedavgft_plain,multimodal,none,0.9946138811872187,0.9937189780595619,0.031180400890868598,0.03901420930230616,0.06480175356472882,0.9560047562425684,0.9156908665105387,0.9974489795918368,391,36,413,1,841,6,31
fedavgft_plain,multimodal,none,0.9886034153639787,0.989436558252791,0.05868544600938967,0.05783057230872248,0.09200047394828996,0.9296254256526674,0.8845401174168297,0.9934065934065934,452,59,367,3,881,7,31
fedavg_plain,multimodal,none,0.9968995215311004,0.9968805150930665,0.02181818181818182,0.040509898784881836,0.0835067283845538,0.9571428571428572,0.9223300970873787,1.0,285,24,251,0,560,0,37
fedavg_plain,multimodal,none,0.9964886145988509,0.9966388845959884,0.013123359580052493,0.02567798168460029,0.04660826719790925,0.9707057256990679,0.978021978021978,0.9621621621621622,356,8,373,14,751,1,37
fedavg_plain,multimodal,none,0.9975376667006006,0.9979205329264484,0.005319148936170213,0.02445813436230445,0.052883264765428414,0.9811083123425692,0.9809069212410502,0.9832535885167464,411,8,368,7,794,2,37
fedavg_plain,multimodal,none,0.994671456368807,0.9944517906016002,0.03244274809160305,0.054987837078845886,0.09683070202444091,0.9197292069632496,0.8600337268128162,1.0,510,83,441,0,1034,3,37
fedavg_plain,multimodal,none,0.997728874618216,0.9981926959990028,0.0,0.020399242693725454,0.05964534450605453,0.995575221238938,1.0,0.9911504424778761,112,0,113,1,226,4,37
fedavg_plain,multimodal,none,0.9973909734099381,0.997366118850603,0.010706638115631691,0.032126344269585834,0.0685434905523134,0.9550321199143469,0.9241516966067864,0.9914346895074947,463,38,429,4,934,5,37
