method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,dropout_rate,base_runtime_sec
centralized_audio,1,0.010844399999768939,31,none,,,,,
centralized_audio_evidence,1,0.02023370000097202,31,none,,,,,
local_audio_evidence,1,0.0235294999947655,31,local,,,,,
fedavg_plain,30,0.17484300000069197,31,plain,2.7233339399875454e-06,3.5256666645485284e-05,1.0,0.0,
fedprox_plain,30,0.15970729999389732,31,plain,2.4633331728788715e-06,2.6096666260855272e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.16405639999720734,31,secureagg_sim,0.0004517333339511727,1.125999939783166e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.1507657999973162,31,quantized_transport_proxy,9.25833337532822e-05,2.9149999560710662e-05,16.0,0.0,
fedavgft_plain,1,0.00622049999947194,31,plain,,,,,0.14403820000006817
centralized_audio,1,0.009399100003065541,37,none,,,,,
centralized_audio_evidence,1,0.018120399996405467,37,none,,,,,
local_audio_evidence,1,0.022113299994089175,37,local,,,,,
fedavg_plain,30,0.1354674000031082,37,plain,2.160000440198928e-06,2.2083333169575782e-05,1.0,0.0,
fedprox_plain,30,0.14112480000039795,37,plain,2.1000002258612462e-06,2.2783334134146572e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.15594969999801833,37,secureagg_sim,0.0004486466663365718,1.165000042722871e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.13763160000235075,37,quantized_transport_proxy,8.242333375771219e-05,2.7053333421160158e-05,16.0,0.0,
fedavgft_plain,1,0.005942300005699508,37,plain,,,,,0.14331530000345083
centralized_audio,1,0.010031200006778818,41,none,,,,,
centralized_audio_evidence,1,0.01948879999690689,41,none,,,,,
local_audio_evidence,1,0.02475169999524951,41,local,,,,,
fedavg_plain,30,0.14889460000267718,41,plain,2.269999822601676e-06,2.30466668047787e-05,1.0,0.0,
fedprox_plain,30,0.14492170000448823,41,plain,8.356666755086433e-06,2.447333366338474e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.1566605999978492,41,secureagg_sim,0.0004552766666165553,1.3450000066465388e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.1561056999998982,41,quantized_transport_proxy,9.653000039785789e-05,3.302666761252719e-05,16.0,0.0,
fedavgft_plain,1,0.008831899998767767,41,plain,,,,,0.20806239999365062
