method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,31
audio_similarity,audio,none,0.975322,0.9797291158791069,0.16033333333333333,0.3187455721773564,0.378318777423757,0.5396666666666666,0.5206525511975009,1.0,3000,2762,238,0,6000,31
centralized_audio,audio,none,0.975322,0.9797291158791069,0.16033333333333333,0.09239906352725927,0.1612702981954489,0.8731666666666666,0.8143779837124403,0.9666666666666667,2900,661,2339,100,6000,31
centralized_audio_evidence,audio,none,0.9933524444444444,0.9946311683525879,0.017333333333333333,0.044505301613882095,0.08361026630761179,0.9451666666666667,0.9107966779452477,0.987,2961,290,2710,39,6000,31
local_multimodal,audio,none,0.992622,0.9939301904102429,0.027333333333333334,0.04630494009502731,0.08339739760496843,0.9435,0.9077536009806926,0.9873333333333333,2962,301,2699,38,6000,31
fedavg_plain,audio,plain,0.9934247777777776,0.9946397006270966,0.017666666666666667,0.038463657766549184,0.07029540802675965,0.9551666666666667,0.9279222814164838,0.987,2961,230,2770,39,6000,31
fedprox_plain,audio,plain,0.9934233333333334,0.9946391800949329,0.017666666666666667,0.03849150400893347,0.07051269228768743,0.9548333333333333,0.9273410585656123,0.987,2961,232,2768,39,6000,31
fedavg_secureagg_sim,audio,secureagg_sim,0.9934247777777776,0.9946397006270966,0.017666666666666667,0.03846365776654894,0.07029540802675867,0.9551666666666667,0.9279222814164838,0.987,2961,230,2770,39,6000,31
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.9934247777777776,0.9946397006270966,0.017666666666666667,0.03846365757912387,0.07029541492913542,0.9551666666666667,0.9279222814164838,0.987,2961,230,2770,39,6000,31
fedavgft_plain,audio,plain,0.9935974444444444,0.9948051652707393,0.015666666666666666,0.03744012167659735,0.06851836760926956,0.9566666666666667,0.9310887350534928,0.9863333333333333,2959,219,2781,41,6000,31
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,37
audio_similarity,audio,none,0.9787365555555556,0.9820382727653261,0.14233333333333334,0.3355033777096422,0.3936107844013468,0.5218333333333334,0.5111603339580848,1.0,3000,2869,131,0,6000,37
centralized_audio,audio,none,0.9787365555555556,0.9820382727653261,0.14233333333333334,0.0899047510708735,0.16461962375083905,0.8796666666666667,0.8241320432555492,0.9653333333333334,2896,618,2382,104,6000,37
centralized_audio_evidence,audio,none,0.9953940000000001,0.995792391881026,0.01633333333333333,0.04216267433028295,0.08221040326466753,0.9453333333333334,0.9095646842427958,0.989,2967,295,2705,33,6000,37
local_multimodal,audio,none,0.9951664444444445,0.9956062831513512,0.018333333333333333,0.04430850274357225,0.08614016980300382,0.943,0.9049360146252285,0.99,2970,312,2688,30,6000,37
fedavg_plain,audio,plain,0.995434,0.9957816902340733,0.017,0.036358828676656546,0.0651969873293245,0.9543333333333334,0.9267376330619912,0.9866666666666667,2960,234,2766,40,6000,37
fedprox_plain,audio,plain,0.9954381111111111,0.9957861930573411,0.017,0.036385482082676085,0.0653064721371177,0.9541666666666667,0.9264475743348983,0.9866666666666667,2960,235,2765,40,6000,37
fedavg_secureagg_sim,audio,secureagg_sim,0.995434,0.9957816902340733,0.017,0.03635882867665641,0.0651969873293237,0.9543333333333334,0.9267376330619912,0.9866666666666667,2960,234,2766,40,6000,37
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.995434,0.9957816902340733,0.017,0.03635882058575631,0.06519697564920134,0.9543333333333334,0.9267376330619912,0.9866666666666667,2960,234,2766,40,6000,37
fedavgft_plain,audio,plain,0.9956529999999999,0.9959983083732578,0.015333333333333332,0.03543354425390739,0.06642053761344728,0.9563333333333334,0.9307740717432348,0.986,2958,220,2780,42,6000,37
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,41
audio_similarity,audio,none,0.9769763333333333,0.9802177118255585,0.15333333333333332,0.3260059032127063,0.3844083421934934,0.5356666666666666,0.5184929139301763,1.0,3000,2786,214,0,6000,41
centralized_audio,audio,none,0.9769763333333333,0.9802177118255585,0.15333333333333332,0.09015901437870263,0.15418201674438262,0.8735,0.8159007612066536,0.9646666666666667,2894,653,2347,106,6000,41
centralized_audio_evidence,audio,none,0.9954527777777779,0.9958006710991392,0.020666666666666667,0.0424938798290859,0.08011226320449504,0.9423333333333334,0.9048200122025626,0.9886666666666667,2966,312,2688,34,6000,41
local_multimodal,audio,none,0.9954820000000001,0.9958809341246574,0.019666666666666666,0.04339235803881922,0.08535556218356061,0.9466666666666667,0.91180086047941,0.989,2967,287,2713,33,6000,41
fedavg_plain,audio,plain,0.9955225555555555,0.9958061740832199,0.021666666666666667,0.0365802015288762,0.06591713908098869,0.9546666666666667,0.9257178526841449,0.9886666666666667,2966,238,2762,34,6000,41
fedprox_plain,audio,plain,0.9955234444444445,0.9958082537993868,0.021666666666666667,0.036608332988192265,0.0660210726866513,0.9545,0.9254290171606864,0.9886666666666667,2966,239,2761,34,6000,41
fedavg_secureagg_sim,audio,secureagg_sim,0.9955225555555555,0.9958061740832199,0.021666666666666667,0.03658020152887599,0.06591713908098766,0.9546666666666667,0.9257178526841449,0.9886666666666667,2966,238,2762,34,6000,41
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.9955225555555555,0.9958061740832199,0.021666666666666667,0.036580203294725236,0.06591712957934058,0.9546666666666667,0.9257178526841449,0.9886666666666667,2966,238,2762,34,6000,41
fedavgft_plain,audio,plain,0.9957898888888889,0.9960782145639594,0.017,0.0355076160399414,0.06564210563569915,0.958,0.9315326633165829,0.9886666666666667,2966,218,2782,34,6000,41
