mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
plain,3.5000048228539526e-06,2.9000002541579306e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,1,fedavg,plain,0.3234046186488072,0.0,31
plain,3.1000017770566046e-06,2.6899993827100843e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,2,fedavg,plain,0.26436272930839966,0.0,31
plain,2.4999972083605826e-06,2.2799998987466097e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,3,fedavg,plain,0.23707493669805163,0.0,31
plain,2.6000052457675338e-06,3.599999763537198e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,4,fedavg,plain,0.22038802035876343,0.0,31
plain,2.6999987312592566e-06,2.3499997041653842e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,5,fedavg,plain,0.2086013157942575,0.0,31
plain,2.6999987312592566e-06,2.4599998141638935e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,6,fedavg,plain,0.19954150572503487,0.0,31
plain,2.4000037228688598e-06,2.1699997887481004e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,7,fedavg,plain,0.19219700870519907,0.0,31
plain,2.1999949240125716e-06,2.1100000594742596e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,8,fedavg,plain,0.18602934188821943,0.0,31
plain,2.3999964469112456e-06,2.8599999495781958e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,9,fedavg,plain,0.18072220342558554,0.0,31
plain,2.4999972083605826e-06,2.4599998141638935e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,10,fedavg,plain,0.17607506367686884,0.0,31
plain,2.1999949240125716e-06,2.3799999326001853e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,11,fedavg,plain,0.17195276735906712,0.0,31
plain,2.5000044843181968e-06,2.2899999748915434e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,12,fedavg,plain,0.16825955210558674,0.0,31
plain,3.1999952625483274e-06,2.9299997549969703e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,13,fedavg,plain,0.16492471589337876,0.0,31
