method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,568,0,0,0,568,fma_crop_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,244,0,0,244,fma_cross_genre_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,636,0,0,0,636,fma_dropout_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,610,0,0,0,610,fma_lowpass_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,2756,0,0,2756,fma_same_genre_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,582,0,0,0,582,fma_speed_copy,31
audio_similarity,multimodal,none,,,,0.00029743260660272447,0.007259505988085027,1.0,1.0,1.0,568,0,0,0,568,fma_crop_copy,31
audio_similarity,multimodal,none,,,,0.5928258840993722,0.7503576590541349,0.09016393442622951,0.0,0.0,0,222,22,0,244,fma_cross_genre_negative,31
audio_similarity,multimodal,none,,,,0.0005231001263494584,0.020064804377322765,1.0,1.0,1.0,636,0,0,0,636,fma_dropout_copy,31
audio_similarity,multimodal,none,,,,0.007343449226228342,0.06496370353303013,1.0,1.0,1.0,610,0,0,0,610,fma_lowpass_copy,31
audio_similarity,multimodal,none,,,,3.728703754292198e-06,0.0008000370981514626,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
audio_similarity,multimodal,none,,,,0.6394548106336982,0.7825117431913279,0.0783744557329463,0.0,0.0,0,2540,216,0,2756,fma_same_genre_negative,31
audio_similarity,multimodal,none,,,,0.0008643808787698331,0.0219609483751293,1.0,1.0,1.0,582,0,0,0,582,fma_speed_copy,31
fedavg_plain,multimodal,none,,,,0.005113072549801897,0.023815990440985216,0.9894366197183099,1.0,0.9894366197183099,562,0,0,6,568,fma_crop_copy,31
fedavg_plain,multimodal,none,,,,0.04374175176506285,0.10788683010864718,0.9467213114754098,0.0,0.0,0,13,231,0,244,fma_cross_genre_negative,31
fedavg_plain,multimodal,none,,,,0.07306097308029198,0.25683393614768063,0.9889937106918238,1.0,0.9889937106918238,629,0,0,7,636,fma_dropout_copy,31
fedavg_plain,multimodal,none,,,,0.030174819524967315,0.05779039627939557,0.9672131147540983,1.0,0.9672131147540983,590,0,0,20,610,fma_lowpass_copy,31
fedavg_plain,multimodal,none,,,,1.0737375354605932e-05,0.0032606896091784687,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
fedavg_plain,multimodal,none,,,,0.05263811218059671,0.12854478245346856,0.9212626995645864,0.0,0.0,0,217,2539,0,2756,fma_same_genre_negative,31
fedavg_plain,multimodal,none,,,,0.012464248499308926,0.06723490952072753,0.9896907216494846,1.0,0.9896907216494846,576,0,0,6,582,fma_speed_copy,31
