method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed,group
default invariant,multimodal,none,0.9390843911111111,0.9349407211597379,0.2710666666666667,0.10366061511967688,0.07043428450731623,0.8585333333333334,0.8206534700691629,0.9176,6882,1504,5996,618,15000,31,ablation
all fields,multimodal,none,0.9283514311111111,0.9269443362522689,0.32266666666666666,0.11827777478569648,0.08601815058324547,0.8377333333333333,0.7896181111365196,0.9208,6906,1840,5660,594,15000,31,ablation
linear all fields,multimodal,none,0.92798816,0.9265399085199257,0.3288,0.1190581367318587,0.0867572424363969,0.833,0.781916694886556,0.9236,6927,1932,5568,573,15000,31,ablation
score only,multimodal,none,0.9379486222222223,0.9342048858501952,0.27586666666666665,0.1079214592058115,0.08148106398105873,0.8515333333333334,0.8050445447182691,0.9277333333333333,6958,1685,5815,542,15000,31,ablation
visual+temporal,multimodal,none,0.9289176355555556,0.9235871576690442,0.3021333333333333,0.11937654362224524,0.09799574268150976,0.8354,0.7816593886462883,0.9308,6981,1950,5550,519,15000,31,ablation
audio only,multimodal,none,0.9141885155555557,0.9091670930622546,0.3844,0.12134554217514006,0.05515992335839347,0.8352,0.803476581361661,0.8874666666666666,6656,1628,5872,844,15000,31,ablation
all fields minus context,multimodal,none,0.9306177955555557,0.9286742147955295,0.3154666666666667,0.11653580936292698,0.08728994479415403,0.8402,0.7913669064748201,0.924,6930,1827,5673,570,15000,31,ablation
remove reliability,multimodal,none,0.9290338844444445,0.9278668984398635,0.32066666666666666,0.1138163939686756,0.07562112234844728,0.8427333333333333,0.804165187551769,0.9061333333333333,6796,1655,5845,704,15000,31,ablation
remove poly2 interactions,multimodal,none,0.92798816,0.9265399085199257,0.3288,0.1190581367318587,0.0867572424363969,0.833,0.781916694886556,0.9236,6927,1932,5568,573,15000,31,ablation
default invariant,multimodal,none,0.9142108622222223,0.9101292107415735,0.3758666666666667,0.12350683208032985,0.0558020480265425,0.8236666666666667,0.8732892511148701,0.7572,5679,824,6676,1821,15000,37,ablation
all fields,multimodal,none,0.8717445511111112,0.8831677428542892,0.6086666666666667,0.15437110123544098,0.08429120350984717,0.7908,0.852114949951566,0.7037333333333333,5278,916,6584,2222,15000,37,ablation
linear all fields,multimodal,none,0.8752774577777778,0.8852814078837653,0.5821333333333333,0.15030132811611696,0.07181197167705664,0.7938,0.8442430870176535,0.7205333333333334,5404,997,6503,2096,15000,37,ablation
score only,multimodal,none,0.9138257955555555,0.9104889741505647,0.37653333333333333,0.1228766658550876,0.051840573416296006,0.8258666666666666,0.8688499849079384,0.7676,5757,869,6631,1743,15000,37,ablation
visual+temporal,multimodal,none,0.9016432177777778,0.8939647907255359,0.3950666666666667,0.13112142154840015,0.0535691026012276,0.8124666666666667,0.8453942520265291,0.7648,5736,1049,6451,1764,15000,37,ablation
audio only,multimodal,none,0.8530168533333333,0.8588861896452494,0.5994666666666667,0.1620070285381225,0.06343808738551669,0.7652666666666667,0.8216653193209378,0.6776,5082,1103,6397,2418,15000,37,ablation
all fields minus context,multimodal,none,0.8952639111111111,0.8970145053918572,0.4684,0.138281202396309,0.06769517575410344,0.8064666666666667,0.854980694980695,0.7381333333333333,5536,939,6561,1964,15000,37,ablation
remove reliability,multimodal,none,0.8736093333333332,0.886708878381204,0.6349333333333333,0.1497087583297826,0.07869247912637384,0.7956666666666666,0.8622774056526711,0.7037333333333333,5278,843,6657,2222,15000,37,ablation
remove poly2 interactions,multimodal,none,0.8752774577777778,0.8852814078837653,0.5821333333333333,0.15030132811611696,0.07181197167705664,0.7938,0.8442430870176535,0.7205333333333334,5404,997,6503,2096,15000,37,ablation
default invariant,multimodal,none,0.8890365866666665,0.8898727461378543,0.4688,0.1368303978230781,0.03912414391851813,0.8051333333333334,0.8306603092038722,0.7665333333333333,5749,1172,6328,1751,15000,41,ablation
all fields,multimodal,none,0.84190416,0.8556845423060827,0.6768,0.17326681235910557,0.09832141509819838,0.7662,0.8082445576655859,0.698,5235,1242,6258,2265,15000,41,ablation
linear all fields,multimodal,none,0.8432689777777778,0.8563243692601166,0.6681333333333334,0.1706252255924623,0.08738630138160898,0.7670666666666667,0.8004800480048004,0.7114666666666667,5336,1330,6170,2164,15000,41,ablation
score only,multimodal,none,0.8899893866666666,0.8900364419596474,0.46813333333333335,0.13781193255461416,0.051849841047761885,0.8068,0.8321304849884527,0.7686666666666667,5765,1163,6337,1735,15000,41,ablation
visual+temporal,multimodal,none,0.86826272,0.8637402766914984,0.5129333333333334,0.15327209431553612,0.06540122562397192,0.7832666666666667,0.8082112287828231,0.7428,5571,1322,6178,1929,15000,41,ablation
audio only,multimodal,none,0.8398486222222222,0.8457264282550849,0.6306666666666667,0.16705595571818013,0.05238830121052798,0.7587333333333334,0.7918483982553768,0.702,5265,1384,6116,2235,15000,41,ablation
all fields minus context,multimodal,none,0.8679342577777779,0.8733102900714647,0.5645333333333333,0.15488283279716186,0.0739365631376845,0.7842666666666667,0.8204087766756838,0.7278666666666667,5459,1195,6305,2041,15000,41,ablation
remove reliability,multimodal,none,0.8425004622222223,0.8588028677586186,0.7146666666666667,0.16992508483236884,0.0919451820575293,0.7703333333333333,0.8199463468518227,0.6928,5196,1141,6359,2304,15000,41,ablation
remove poly2 interactions,multimodal,none,0.8432689777777778,0.8563243692601166,0.6681333333333334,0.1706252255924623,0.08738630138160898,0.7670666666666667,0.8004800480048004,0.7114666666666667,5336,1330,6170,2164,15000,41,ablation
