method,group,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,seed_mean,seed_std
audio_similarity,fixed evidence,0.7276062103703703,0.01836329184527421,0.7127512603529119,0.01815328090406694,0.7700444444444444,0.025214222911623452,0.21844391267539667,0.0035386416987532145,0.0698561189596598,0.013840852324037171,0.6513111111111111,0.010417364421075107,0.6139016303366179,0.006696438277613522,0.815288888888889,0.017737509950927658,6114.666666666667,133.03132463195763,3845.0,43.86342439892262,3655.0,43.86342439892262,1385.3333333333333,133.03132463195774,15000.0,0.0,36.333333333333336,5.033222956847165
fedadam,fedopt,0.9067424651851853,0.028961621278616467,0.9025067128892821,0.028087716119771244,0.38995555555555556,0.1020727699750054,0.13893121913920267,0.014933032536091897,0.1004572610287634,0.01133191413426634,0.8167555555555556,0.02215644710119712,0.797355888036893,0.03877021714369687,0.8543555555555556,0.08029526991280603,6407.666666666667,602.2145243460451,1656.3333333333333,488.52055569170614,5843.666666666667,488.52055569170614,1092.3333333333333,602.2145243460451,15000.0,0.0,36.333333333333336,5.033222956847165
fedyogi,fedopt,0.9107891555555555,0.025322262927812044,0.9077318256551025,0.02363912009860171,0.38164444444444445,0.09501722261039097,0.1383898482592466,0.013314888436707854,0.10714800863822682,0.002609989539753501,0.8227777777777777,0.01656560470551135,0.8092569908343155,0.036494272992340364,0.8497777777777777,0.08294622979398786,6373.333333333333,622.0967234549088,1531.6666666666667,484.08814624336065,5968.333333333333,484.08814624336065,1126.6666666666667,622.0967234549088,15000.0,0.0,36.333333333333336,5.033222956847165
hist_gradient_boosting_invariant,fusion head,0.9065133837037037,0.02757064456884094,0.9050803142744437,0.025168917972006155,0.40022222222222226,0.10800908055104198,0.1290841438363105,0.01606403801484299,0.06547087578999636,0.016864709615124998,0.8193555555555555,0.02400752968302819,0.8186095032616945,0.03346333397560086,0.8248888888888889,0.09374398548608236,6186.666666666667,703.0798911456176,1396.3333333333333,443.59591221440866,6103.666666666667,443.5959122144086,1313.3333333333333,703.0798911456175,15000.0,0.0,36.333333333333336,5.033222956847165
isotonic_calibrated_score,calibration,0.8992828622222223,0.012466163305444202,0.891948964294697,0.011624213483891014,0.41857777777777777,0.05449996262316079,0.12997923684036447,0.009706429897813345,0.03549420164180611,0.013863011270060012,0.8154222222222223,0.01373468170295486,0.7934535042379994,0.020366035960601585,0.8537777777777777,0.025078129766643104,6403.333333333333,188.08597324982355,1672.0,231.7584949899356,5828.0,231.7584949899356,1096.6666666666667,188.08597324982352,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_poly2_all_fields,fusion head,0.8806667140740742,0.04390884210034163,0.8885988738042135,0.03593901008458149,0.5360444444444444,0.1879044832217018,0.14863856279341434,0.02793913135826585,0.08954358973043035,0.0076507025944584865,0.7982444444444444,0.036343077184785307,0.8166592062512238,0.03208688904495584,0.7741777777777777,0.12701092399795705,5806.333333333333,952.5819299846776,1332.6666666666667,468.62493887258427,6167.333333333333,468.62493887258427,1693.6666666666667,952.5819299846776,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_poly2_invariant,fusion head,0.9141106133333333,0.025024052825374524,0.9116475593463885,0.022572319996127736,0.37191111111111114,0.09892599553500885,0.12133261500769495,0.0166914360094306,0.05512015881745896,0.01566620424967944,0.8291111111111111,0.027113123786857908,0.8415343434626351,0.02795200936191294,0.8137777777777777,0.0900337056226619,6103.333333333333,675.2527921699644,1166.6666666666667,340.03137110174606,6333.333333333333,340.03137110174606,1396.6666666666667,675.2527921699646,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_score_only,calibration,0.9139212681481482,0.023979760320534366,0.9115767673201357,0.022104305675884513,0.3735111111111111,0.09616895626005384,0.12287001920517109,0.014945237782897162,0.061723826148372206,0.01711027049918419,0.8280666666666666,0.022447667535353842,0.8353416715382201,0.03202369964170943,0.8213333333333334,0.09214664640910396,6160.0,691.0998480682803,1239.0,413.27472702791783,6261.0,413.27472702791783,1340.0,691.0998480682803,15000.0,0.0,36.333333333333336,5.033222956847165
mean_score_fusion,fixed evidence,0.8995705422222221,0.012438214117811822,0.8966584033969945,0.01150592357404404,0.4166666666666667,0.055244587467411205,0.1751244725364324,0.0023106828551474616,0.19311561121148813,0.012426801370270121,0.7891333333333334,0.01971000873780741,0.7272543867797275,0.01997365143232685,0.926,0.007555424835470499,6945.0,56.66568626602876,2608.0,240.3247802454004,4892.0,240.3247802454004,555.0,56.66568626602876,15000.0,0.0,36.333333333333336,5.033222956847165
platt_calibrated_score,calibration,0.8995705422222221,0.012438214117811822,0.8966584033969945,0.01150592357404404,0.4166666666666667,0.055244587467411205,0.12946617155160164,0.009575040324058894,0.032037258348566904,0.014085147971609705,0.815288888888889,0.01393466235022635,0.7973699561268711,0.023720509080249187,0.8467555555555556,0.027055936570440597,6350.666666666667,202.91952427830427,1621.3333333333333,271.42279442473756,5878.666666666667,271.4227944247377,1149.3333333333333,202.9195242783043,15000.0,0.0,36.333333333333336,5.033222956847165
