method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed,group
video_similarity,multimodal,none,0.9262455822222222,0.9215060385918309,0.3168,0.16894733612434265,0.22372454293166705,0.796,0.7219112355057977,0.9629333333333333,7222,2782,4718,278,15000,31,fixed evidence
audio_similarity,multimodal,none,0.7247319644444445,0.7092259682566763,0.7690666666666667,0.21866750572104596,0.06580527600287239,0.6488666666666667,0.6132467795922507,0.8061333333333334,6046,3813,3687,1454,15000,31,fixed evidence
mean_score_fusion,multimodal,none,0.9135005155555556,0.9096955598790126,0.3548,0.1724637058218358,0.20723581444974593,0.8108,0.7490916862577474,0.9346666666666666,7010,2348,5152,490,15000,31,fixed evidence
platt_calibrated_score,multimodal,none,0.9135005155555556,0.9096955598790126,0.3548,0.11914004237979423,0.022968030688994525,0.8293333333333334,0.8071375279781149,0.8654666666666667,6491,1551,5949,1009,15000,31,calibration
isotonic_calibrated_score,multimodal,none,0.9132010844444445,0.904948866286512,0.35733333333333334,0.11942625068559587,0.023416797337624133,0.8292666666666667,0.8016367411750336,0.8750666666666667,6563,1624,5876,937,15000,31,calibration
logistic_poly2_invariant,multimodal,none,0.9390843911111111,0.9349407211597379,0.2710666666666667,0.10366061511967688,0.07043428450731623,0.8585333333333334,0.8206534700691629,0.9176,6882,1504,5996,618,15000,31,fusion head
logistic_poly2_all_fields,multimodal,none,0.9283514311111111,0.9269443362522689,0.32266666666666666,0.11827777478569648,0.08601815058324547,0.8377333333333333,0.7896181111365196,0.9208,6906,1840,5660,594,15000,31,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.9344744533333332,0.9310233809046061,0.2872,0.113381834870008,0.08468623149188624,0.8422,0.7895746361277219,0.9330666666666667,6998,1865,5635,502,15000,31,fusion head
fedadam,multimodal,none,0.9354743644444445,0.931367956813181,0.2885333333333333,0.12723621736677584,0.111785353539546,0.8345333333333333,0.7734902986701547,0.9461333333333334,7096,2078,5422,404,15000,31,fedopt
fedyogi,multimodal,none,0.9360645155555557,0.9320429263580103,0.2856,0.12599297837350978,0.10998953363577847,0.8376666666666667,0.7780827934555836,0.9448,7086,2021,5479,414,15000,31,fedopt
logistic_score_only,multimodal,none,0.9379486222222223,0.9342048858501952,0.27586666666666665,0.1079214592058115,0.08148106398105873,0.8515333333333334,0.8050445447182691,0.9277333333333333,6958,1685,5815,542,15000,31,calibration
video_similarity,multimodal,none,0.8965200177777777,0.8901225220533677,0.4381333333333333,0.17848585958610969,0.19817348444176264,0.7694666666666666,0.7001782884310618,0.9425333333333333,7069,3027,4473,431,15000,37,fixed evidence
audio_similarity,multimodal,none,0.7108495288888889,0.6966191908595876,0.7957333333333333,0.22186545588780954,0.05849265711791104,0.6423333333333333,0.6075566750629723,0.804,6030,3895,3605,1470,15000,37,fixed evidence
mean_score_fusion,multimodal,none,0.8956347555555555,0.8923558329265662,0.4341333333333333,0.1766265987973497,0.18826690907659271,0.7843333333333333,0.722761934607751,0.9225333333333333,6919,2654,4846,581,15000,37,fixed evidence
platt_calibrated_score,multimodal,none,0.8956347555555555,0.8923558329265662,0.4341333333333333,0.1312072937866299,0.02487985671367479,0.8150666666666667,0.814647137150466,0.8157333333333333,6118,1392,6108,1382,15000,37,calibration
isotonic_calibrated_score,multimodal,none,0.8955045599999999,0.8883428429882279,0.43666666666666665,0.13198607492461695,0.0324342604648724,0.8152,0.808455114822547,0.8261333333333334,6196,1468,6032,1304,15000,37,calibration
logistic_poly2_invariant,multimodal,none,0.9142108622222223,0.9101292107415735,0.3758666666666667,0.12350683208032985,0.0558020480265425,0.8236666666666667,0.8732892511148701,0.7572,5679,824,6676,1821,15000,37,fusion head
logistic_poly2_all_fields,multimodal,none,0.8717445511111112,0.8831677428542892,0.6086666666666667,0.15437110123544098,0.08429120350984717,0.7908,0.852114949951566,0.7037333333333333,5278,916,6584,2222,15000,37,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.9057152,0.9034530483331856,0.4110666666666667,0.1283836062537123,0.053125313839993256,0.8215333333333333,0.8552069524230372,0.7741333333333333,5806,983,6517,1694,15000,37,fusion head
fedadam,multimodal,none,0.9071965688888889,0.9008898041361869,0.38866666666666666,0.13380531303938026,0.08912152913356901,0.8238,0.8420904352725737,0.7970666666666667,5978,1121,6379,1522,15000,37,fedopt
fedyogi,multimodal,none,0.9108827022222221,0.9063250327200161,0.3837333333333333,0.13671272183424668,0.10485756391941917,0.8257333333333333,0.8493993135011442,0.7918666666666667,5939,1053,6447,1561,15000,37,fedopt
logistic_score_only,multimodal,none,0.9138257955555555,0.9104889741505647,0.37653333333333333,0.1228766658550876,0.051840573416296006,0.8258666666666666,0.8688499849079384,0.7676,5757,869,6631,1743,15000,37,calibration
video_similarity,multimodal,none,0.8633497777777777,0.8619717038838551,0.5434666666666667,0.18148370502651323,0.15665542165912108,0.7608,0.7078198045048874,0.8882666666666666,6662,2750,4750,838,15000,41,fixed evidence
audio_similarity,multimodal,none,0.7472371377777778,0.7324086219424716,0.7453333333333333,0.21479877641733458,0.085270423758196,0.6627333333333333,0.620901436354631,0.8357333333333333,6268,3827,3673,1232,15000,41,fixed evidence
mean_score_fusion,multimodal,none,0.8895763555555556,0.8879238173854049,0.4610666666666667,0.1762831129901117,0.18384411010812576,0.7722666666666667,0.7099095394736842,0.9208,6906,2822,4678,594,15000,41,fixed evidence
platt_calibrated_score,multimodal,none,0.8895763555555556,0.8879238173854049,0.4610666666666667,0.13805117848838078,0.04826388764303139,0.8014666666666667,0.7703252032520326,0.8590666666666666,6443,1921,5579,1057,15000,41,calibration
isotonic_calibrated_score,multimodal,none,0.8891429422222223,0.8825551836093509,0.46173333333333333,0.13852538491088054,0.05063154712292181,0.8018,0.7702686567164179,0.8601333333333333,6451,1924,5576,1049,15000,41,calibration
logistic_poly2_invariant,multimodal,none,0.8890365866666665,0.8898727461378543,0.4688,0.1368303978230781,0.03912414391851813,0.8051333333333334,0.8306603092038722,0.7665333333333333,5749,1172,6328,1751,15000,41,fusion head
logistic_poly2_all_fields,multimodal,none,0.84190416,0.8556845423060827,0.6768,0.17326681235910557,0.09832141509819838,0.7662,0.8082445576655859,0.698,5235,1242,6258,2265,15000,41,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.8793504977777777,0.8807645135855393,0.5024,0.14548699038521123,0.058601082038109584,0.7943333333333333,0.8110469212343243,0.7674666666666666,5756,1341,6159,1744,15000,41,fusion head
fedadam,multimodal,none,0.8775564622222223,0.8752623777184784,0.49266666666666664,0.15575212701145186,0.10046490041317521,0.7919333333333334,0.7764869301679505,0.8198666666666666,6149,1770,5730,1351,15000,41,fedopt
fedyogi,multimodal,none,0.8854202488888889,0.8848275178872809,0.4756,0.15246384456998335,0.10659692835948283,0.8049333333333333,0.8002888655462185,0.8126666666666666,6095,1521,5979,1405,15000,41,fedopt
logistic_score_only,multimodal,none,0.8899893866666666,0.8900364419596474,0.46813333333333335,0.13781193255461416,0.051849841047761885,0.8068,0.8321304849884527,0.7686666666666667,5765,1163,6337,1735,15000,41,calibration
