method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9902402402402403,0.9842347993416314,0.013888888888888888,0.04153863193614585,0.1447138188434882,0.9794520547945206,0.961038961038961,1.0,74,3,69,0,146,0,31
fedavg_plain,multimodal,none,0.9799725860493451,0.9857101841150223,0.10714285714285714,0.060809996262416045,0.08465739594112907,0.924433249370277,1.0,0.8507462686567164,171,0,196,30,397,1,31
fedavg_plain,multimodal,none,0.9494420775005071,0.9292261063001095,0.1320754716981132,0.0883740690680663,0.13144625565711163,0.8980891719745223,0.9361702127659575,0.8516129032258064,132,9,150,23,314,3,31
fedavg_plain,multimodal,none,0.99829291803314,0.9985448945003554,0.0,0.03633155324152601,0.12903452703255075,0.984338747099768,0.989247311827957,0.9787234042553191,828,9,869,18,1724,6,31
fedavg_plain,multimodal,none,0.9980311979403301,0.9981839872420177,0.005376344086021506,0.021575773137410836,0.08823401223947205,0.9874686716791979,0.9905660377358491,0.9859154929577465,210,2,184,3,399,8,31
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.02012091264419746,0.10868075688634966,1.0,1.0,1.0,11,0,9,0,20,9,31
fedprox_plain,multimodal,none,0.9902402402402403,0.9842347993416314,0.013888888888888888,0.04155083484628333,0.1447615780948472,0.9794520547945206,0.961038961038961,1.0,74,3,69,0,146,0,31
fedprox_plain,multimodal,none,0.9799725860493451,0.9857101841150223,0.10714285714285714,0.06081389985770468,0.08467042261822084,0.924433249370277,1.0,0.8507462686567164,171,0,196,30,397,1,31
fedprox_plain,multimodal,none,0.9495232298640698,0.9293078856075163,0.1320754716981132,0.088364922168848,0.1314467226274901,0.8980891719745223,0.9361702127659575,0.8516129032258064,132,9,150,23,314,3,31
fedprox_plain,multimodal,none,0.99829291803314,0.9985446211775793,0.0,0.03634027580474007,0.1290592174517058,0.984338747099768,0.989247311827957,0.9787234042553191,828,9,869,18,1724,6,31
fedprox_plain,multimodal,none,0.9980311979403302,0.9981839872420177,0.005376344086021506,0.021585203642692053,0.08825612702267273,0.9874686716791979,0.9905660377358491,0.9859154929577465,210,2,184,3,399,8,31
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.020133808477370833,0.10871282656581469,1.0,1.0,1.0,11,0,9,0,20,9,31
fedavg_secureagg_sim,multimodal,none,0.9902402402402403,0.9842347993416314,0.013888888888888888,0.041538631936145556,0.1447138188434881,0.9794520547945206,0.961038961038961,1.0,74,3,69,0,146,0,31
fedavg_secureagg_sim,multimodal,none,0.9799725860493451,0.9857101841150223,0.10714285714285714,0.06080999626241628,0.08465739594112932,0.924433249370277,1.0,0.8507462686567164,171,0,196,30,397,1,31
fedavg_secureagg_sim,multimodal,none,0.9494420775005071,0.9292261063001095,0.1320754716981132,0.08837406906806655,0.13144625565711215,0.8980891719745223,0.9361702127659575,0.8516129032258064,132,9,150,23,314,3,31
fedavg_secureagg_sim,multimodal,none,0.99829291803314,0.9985448945003554,0.0,0.036331553241525684,0.12903452703255053,0.984338747099768,0.989247311827957,0.9787234042553191,828,9,869,18,1724,6,31
fedavg_secureagg_sim,multimodal,none,0.9980311979403301,0.9981839872420177,0.005376344086021506,0.021575773137410777,0.08823401223947204,0.9874686716791979,0.9905660377358491,0.9859154929577465,210,2,184,3,399,8,31
fedavg_secureagg_sim,multimodal,none,1.0,1.0,0.0,0.020120912644197325,0.10868075688634957,1.0,1.0,1.0,11,0,9,0,20,9,31
fedavg_quantized_transport_proxy,multimodal,none,0.9902402402402403,0.9842347993416314,0.013888888888888888,0.0415386551081695,0.1447138777488811,0.9794520547945206,0.961038961038961,1.0,74,3,69,0,146,0,31
fedavg_quantized_transport_proxy,multimodal,none,0.9799725860493451,0.9857101841150223,0.10714285714285714,0.0608099897689866,0.08465738872291653,0.924433249370277,1.0,0.8507462686567164,171,0,196,30,397,1,31
fedavg_quantized_transport_proxy,multimodal,none,0.9494420775005071,0.9292261063001095,0.1320754716981132,0.08837404254469623,0.13144622187165714,0.8980891719745223,0.9361702127659575,0.8516129032258064,132,9,150,23,314,3,31
fedavg_quantized_transport_proxy,multimodal,none,0.99829291803314,0.9985448945003554,0.0,0.036331567270727345,0.12903456161934207,0.984338747099768,0.989247311827957,0.9787234042553191,828,9,869,18,1724,6,31
fedavg_quantized_transport_proxy,multimodal,none,0.9980311979403301,0.9981839872420177,0.005376344086021506,0.021575782751325687,0.08823402431026975,0.9874686716791979,0.9905660377358491,0.9859154929577465,210,2,184,3,399,8,31
fedavg_quantized_transport_proxy,multimodal,none,1.0,1.0,0.0,0.020120927711775448,0.1086807863302738,1.0,1.0,1.0,11,0,9,0,20,9,31
fedavgft_plain,multimodal,none,0.9896771771771772,0.9823895040180751,0.013888888888888888,0.05346952698711539,0.16860605681822505,0.9794520547945206,0.961038961038961,1.0,74,3,69,0,146,0,31
fedavgft_plain,multimodal,none,0.9799218194740582,0.9856646497230379,0.10714285714285714,0.062003386807496216,0.07044741674531262,0.9193954659949622,1.0,0.8407960199004975,169,0,196,32,397,1,31
fedavgft_plain,multimodal,none,0.9498884155001014,0.9295094592962838,0.1320754716981132,0.08767407763145486,0.1298407531734467,0.8980891719745223,0.9361702127659575,0.8516129032258064,132,9,150,23,314,3,31
fedavgft_plain,multimodal,none,0.9983386915243649,0.9985629319438888,0.0,0.024427258184738718,0.092653156609185,0.9837587006960556,0.9904076738609112,0.9763593380614657,826,8,870,20,1724,6,31
fedavgft_plain,multimodal,none,0.998485536877177,0.998642588291409,0.005376344086021506,0.060533517561032535,0.19930789608723481,0.9874686716791979,0.985981308411215,0.9906103286384976,211,3,183,2,399,8,31
fedavgft_plain,multimodal,none,1.0,1.0,0.0,0.024910363380427913,0.12342270600835772,1.0,1.0,1.0,11,0,9,0,20,9,31
fedavg_plain,multimodal,none,0.6554633376774813,0.7665807662083495,0.9795081967213115,0.23940811141756263,0.21668727838293936,0.7287784679089027,0.9576271186440678,0.47280334728033474,113,5,239,126,483,0,37
fedavg_plain,multimodal,none,1.0,1.0000000000000002,0.0,0.01435829716979492,0.05873992988374024,1.0,1.0,1.0,20,0,26,0,46,1,37
fedavg_plain,multimodal,none,0.9990044798407168,0.9991996798719488,0.0,0.03708890613446176,0.08015798514869503,0.9333333333333333,1.0,0.8775510204081632,43,0,41,6,90,2,37
fedavg_plain,multimodal,none,0.855330448465775,0.8808200961471946,0.6129032258064516,0.21190109239581115,0.20596212347109094,0.7530364372469636,0.8647058823529412,0.5975609756097561,147,23,225,99,494,3,37
fedavg_plain,multimodal,none,0.44107142857142856,0.4942728733525896,0.95,0.4741927979343476,0.471567903859168,0.5,1.0,0.023809523809523808,1,0,40,41,82,4,37
fedavg_plain,multimodal,none,0.9959783206346713,0.9961914228169558,0.011389521640091117,0.021172450760244103,0.03052129400919524,0.977116704805492,0.9882352941176471,0.9655172413793104,420,5,434,15,874,5,37
fedavg_plain,multimodal,none,0.9640975609756098,0.9341522582485721,0.072,0.04259714763023672,0.05737502718037714,0.9516129032258065,0.9236641221374046,0.983739837398374,121,10,115,2,248,6,37
fedavg_plain,multimodal,none,0.6672308583136608,0.7883335663232798,0.965034965034965,0.273664477387576,0.27346688299917404,0.69,1.0,0.40764331210191085,64,0,143,93,300,7,37
fedavg_plain,multimodal,none,0.40977443609022557,0.5692532619248812,1.0,0.4388038984149484,0.43441275382647887,0.5375,1.0,0.11904761904761904,5,0,38,37,80,8,37
fedavg_plain,multimodal,none,0.6800104657247515,0.7627664421970248,0.9871794871794872,0.2655655570006562,0.2701351364819179,0.7128712871287128,1.0,0.40816326530612246,60,0,156,87,303,9,37
fedprox_plain,multimodal,none,0.6554804856300158,0.7666566751419202,0.9795081967213115,0.2394016203272901,0.21666333554640566,0.7287784679089027,0.9576271186440678,0.47280334728033474,113,5,239,126,483,0,37
fedprox_plain,multimodal,none,1.0,1.0000000000000002,0.0,0.014416255990265246,0.05888980512851187,1.0,1.0,1.0,20,0,26,0,46,1,37
fedprox_plain,multimodal,none,0.9990044798407168,0.9991996798719488,0.0,0.03713146561069983,0.0802828624157424,0.9333333333333333,1.0,0.8775510204081632,43,0,41,6,90,2,37
fedprox_plain,multimodal,none,0.8553468397587201,0.8808297700964103,0.6129032258064516,0.2118558217781239,0.2059267240210305,0.7530364372469636,0.8647058823529412,0.5975609756097561,147,23,225,99,494,3,37
fedprox_plain,multimodal,none,0.44107142857142856,0.4942728733525896,0.95,0.4741548363180036,0.4715292669104192,0.5,1.0,0.023809523809523808,1,0,40,41,82,4,37
fedprox_plain,multimodal,none,0.9959835571963449,0.9961953649106046,0.011389521640091117,0.02117660954187339,0.030545648656489788,0.977116704805492,0.9882352941176471,0.9655172413793104,420,5,434,15,874,5,37
fedprox_plain,multimodal,none,0.9640975609756098,0.9341522582485721,0.072,0.042600905915826486,0.057389013090173954,0.9516129032258065,0.9236641221374046,0.983739837398374,121,10,115,2,248,6,37
fedprox_plain,multimodal,none,0.6672308583136608,0.7883423393363127,0.965034965034965,0.2736560772449771,0.2734538790234729,0.69,1.0,0.40764331210191085,64,0,143,93,300,7,37
fedprox_plain,multimodal,none,0.40977443609022557,0.5692532619248812,1.0,0.43876880030400056,0.43437252752767785,0.5375,1.0,0.11904761904761904,5,0,38,37,80,8,37
fedprox_plain,multimodal,none,0.6800104657247515,0.7627664421970248,0.9871794871794872,0.26555864291408576,0.2701362673091409,0.7128712871287128,1.0,0.40816326530612246,60,0,156,87,303,9,37
fedavg_secureagg_sim,multimodal,none,0.6554633376774813,0.7665807662083495,0.9795081967213115,0.23940811141756302,0.2166872783829402,0.7287784679089027,0.9576271186440678,0.47280334728033474,113,5,239,126,483,0,37
fedavg_secureagg_sim,multimodal,none,1.0,1.0000000000000002,0.0,0.014358297169795352,0.05873992988374105,1.0,1.0,1.0,20,0,26,0,46,1,37
fedavg_secureagg_sim,multimodal,none,0.9990044798407168,0.9991996798719488,0.0,0.03708890613446224,0.08015798514869577,0.9333333333333333,1.0,0.8775510204081632,43,0,41,6,90,2,37
fedavg_secureagg_sim,multimodal,none,0.855330448465775,0.8808200961471946,0.6129032258064516,0.21190109239581126,0.2059621234710912,0.7530364372469636,0.8647058823529412,0.5975609756097561,147,23,225,99,494,3,37
fedavg_secureagg_sim,multimodal,none,0.44107142857142856,0.4942728733525896,0.95,0.47419279793434804,0.47156790385916847,0.5,1.0,0.023809523809523808,1,0,40,41,82,4,37
fedavg_secureagg_sim,multimodal,none,0.9959783206346713,0.9961914228169558,0.011389521640091117,0.021172450760244137,0.030521294009194934,0.977116704805492,0.9882352941176471,0.9655172413793104,420,5,434,15,874,5,37
fedavg_secureagg_sim,multimodal,none,0.9640975609756098,0.9341522582485721,0.072,0.04259714763023672,0.057375027180376785,0.9516129032258065,0.9236641221374046,0.983739837398374,121,10,115,2,248,6,37
fedavg_secureagg_sim,multimodal,none,0.6672308583136608,0.7883335663232798,0.965034965034965,0.2736644773875766,0.27346688299917493,0.69,1.0,0.40764331210191085,64,0,143,93,300,7,37
fedavg_secureagg_sim,multimodal,none,0.40977443609022557,0.5692532619248812,1.0,0.43880389841494855,0.43441275382647926,0.5375,1.0,0.11904761904761904,5,0,38,37,80,8,37
fedavg_secureagg_sim,multimodal,none,0.6800104657247515,0.7627664421970248,0.9871794871794872,0.26556555700065654,0.2701351364819186,0.7128712871287128,1.0,0.40816326530612246,60,0,156,87,303,9,37
fedavg_quantized_transport_proxy,multimodal,none,0.6554633376774813,0.7665807662083495,0.9795081967213115,0.23940811616571048,0.21668728598433779,0.7287784679089027,0.9576271186440678,0.47280334728033474,113,5,239,126,483,0,37
fedavg_quantized_transport_proxy,multimodal,none,1.0,1.0000000000000002,0.0,0.01435830978970043,0.058739942268121896,1.0,1.0,1.0,20,0,26,0,46,1,37
fedavg_quantized_transport_proxy,multimodal,none,0.9990044798407168,0.9991996798719488,0.0,0.037088916710141494,0.08015799242635029,0.9333333333333333,1.0,0.8775510204081632,43,0,41,6,90,2,37
fedavg_quantized_transport_proxy,multimodal,none,0.855330448465775,0.8808200961471946,0.6129032258064516,0.21190107995691354,0.20596213122150003,0.7530364372469636,0.8647058823529412,0.5975609756097561,147,23,225,99,494,3,37
fedavg_quantized_transport_proxy,multimodal,none,0.44107142857142856,0.4942728733525896,0.95,0.47419281469118385,0.47156792268579,0.5,1.0,0.023809523809523808,1,0,40,41,82,4,37
fedavg_quantized_transport_proxy,multimodal,none,0.9959783206346713,0.9961914228169558,0.011389521640091117,0.021172450055667945,0.03052128817054247,0.977116704805492,0.9882352941176471,0.9655172413793104,420,5,434,15,874,5,37
fedavg_quantized_transport_proxy,multimodal,none,0.9640975609756098,0.9341522582485721,0.072,0.04259714608615253,0.0573750215650696,0.9516129032258065,0.9236641221374046,0.983739837398374,121,10,115,2,248,6,37
fedavg_quantized_transport_proxy,multimodal,none,0.6672308583136608,0.7883335663232798,0.965034965034965,0.2736644870544684,0.2734668977579949,0.69,1.0,0.40764331210191085,64,0,143,93,300,7,37
fedavg_quantized_transport_proxy,multimodal,none,0.40977443609022557,0.5692532619248812,1.0,0.43880390883720094,0.43441276636914966,0.5375,1.0,0.11904761904761904,5,0,38,37,80,8,37
fedavg_quantized_transport_proxy,multimodal,none,0.6800104657247515,0.7627664421970248,0.9871794871794872,0.2655655629689975,0.27013514315096976,0.7128712871287128,1.0,0.40816326530612246,60,0,156,87,303,9,37
fedavgft_plain,multimodal,none,0.6553947458673435,0.7666394734410646,0.9877049180327869,0.24182802400092232,0.22287278414280737,0.7246376811594203,0.9568965517241379,0.46443514644351463,111,5,239,128,483,0,37
fedavgft_plain,multimodal,none,1.0,1.0000000000000002,0.0,0.010677537310375662,0.05791720593730679,1.0,1.0,1.0,20,0,26,0,46,1,37
fedavgft_plain,multimodal,none,0.9990044798407167,0.9991996798719488,0.0,0.028650614732585535,0.07746634774682074,0.9444444444444444,1.0,0.8979591836734694,44,0,41,5,90,2,37
fedavgft_plain,multimodal,none,0.8565597954366639,0.8816519328858431,0.6088709677419355,0.21134370872416425,0.20763527439385462,0.7530364372469636,0.8647058823529412,0.5975609756097561,147,23,225,99,494,3,37
fedavgft_plain,multimodal,none,0.44285714285714284,0.49462539463322697,0.95,0.4575568285379019,0.4521698523401542,0.5,1.0,0.023809523809523808,1,0,40,41,82,4,37
fedavgft_plain,multimodal,none,0.9959783206346712,0.9961857034360528,0.011389521640091117,0.021273424926143945,0.03033779538266313,0.977116704805492,0.9882352941176471,0.9655172413793104,420,5,434,15,874,5,37
fedavgft_plain,multimodal,none,0.9644227642276423,0.93460611234623,0.072,0.042515035241976015,0.052436291350692506,0.9475806451612904,0.9230769230769231,0.975609756097561,120,10,115,3,248,6,37
fedavgft_plain,multimodal,none,0.6673644826511069,0.7884723566282749,0.965034965034965,0.27411159387930134,0.27415250493394855,0.69,1.0,0.40764331210191085,64,0,143,93,300,7,37
fedavgft_plain,multimodal,none,0.40977443609022557,0.5692532619248812,1.0,0.44049063193891874,0.4364124595263328,0.5375,1.0,0.11904761904761904,5,0,38,37,80,8,37
fedavgft_plain,multimodal,none,0.6801848944706088,0.7628273619223812,0.9871794871794872,0.26770298651874314,0.2734984483649823,0.7128712871287128,1.0,0.40816326530612246,60,0,156,87,303,9,37
fedavg_plain,multimodal,none,0.5475846546627251,0.7048419529657683,0.9918032786885246,0.2958017451373811,0.2811606313927401,0.6618852459016393,1.0,0.3237704918032787,79,0,244,165,488,0,41
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.11124453272717867,0.18336567635829737,0.84,1.0,0.6923076923076923,9,0,12,4,25,1,41
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.002080141156310585,0.032883907977063,1.0,1.0,1.0,1,0,3,0,4,2,41
fedavg_plain,multimodal,none,0.6881892230576441,0.784667534520537,0.9122807017543859,0.35500758283899025,0.3639853641309813,0.5787401574803149,0.9230769230769231,0.2571428571428571,36,3,111,104,254,3,41
fedavg_plain,multimodal,none,0.4985294117647059,0.6101279829511179,0.9117647058823529,0.4945517112176388,0.4967065893308422,0.47297297297297297,1.0,0.025,1,0,34,39,74,4,41
fedavg_plain,multimodal,none,0.9973189607517966,0.9978160816194953,0.003703703703703704,0.014042127770721669,0.04059440779546897,0.9869888475836431,0.9924528301886792,0.9813432835820896,263,2,268,5,538,5,41
fedavg_plain,multimodal,none,0.999886886358495,0.9998778700537372,0.0,0.012247670917968669,0.05973006023872157,0.9858407079646018,1.0,0.9700374531835206,259,0,298,8,565,6,41
fedavg_plain,multimodal,none,0.4375,0.6164423707846922,0.9821428571428571,0.35385490486795235,0.35352065839479585,0.6233766233766234,1.0,0.2689075630252101,32,0,112,87,231,7,41
fedavg_plain,multimodal,none,0.7891723060905778,0.8778870388582012,0.9607843137254902,0.1704155520403095,0.17742957514136215,0.8232558139534883,1.0,0.6637168141592921,75,0,102,38,215,8,41
fedavg_plain,multimodal,none,0.7397024361000599,0.8368038742161131,0.9871382636655949,0.16220431123862217,0.15444843008555062,0.8283828382838284,0.9948186528497409,0.6508474576271186,192,1,310,103,606,9,41
fedprox_plain,multimodal,none,0.5475678581026606,0.7048362667079449,0.9918032786885246,0.29579767822592135,0.2811526086789272,0.6618852459016393,1.0,0.3237704918032787,79,0,244,165,488,0,41
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.11129223573795514,0.18347268687720333,0.84,1.0,0.6923076923076923,9,0,12,4,25,1,41
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.002081966908605621,0.03290703768551039,1.0,1.0,1.0,1,0,3,0,4,2,41
fedprox_plain,multimodal,none,0.6881892230576441,0.784667534520537,0.9122807017543859,0.35498948773567246,0.3639696795663921,0.5787401574803149,0.9230769230769231,0.2571428571428571,36,3,111,104,254,3,41
fedprox_plain,multimodal,none,0.4985294117647059,0.6101279829511179,0.9117647058823529,0.4945190647589525,0.49667587025637194,0.47297297297297297,1.0,0.025,1,0,34,39,74,4,41
fedprox_plain,multimodal,none,0.9973189607517966,0.9978160816194953,0.003703703703703704,0.014051212640687738,0.040634686214817216,0.9869888475836431,0.9924528301886792,0.9813432835820896,263,2,268,5,538,5,41
fedprox_plain,multimodal,none,0.999886886358495,0.9998778700537372,0.0,0.012267816127577597,0.05980913248386325,0.9858407079646018,1.0,0.9700374531835206,259,0,298,8,565,6,41
fedprox_plain,multimodal,none,0.4375,0.6164423707846922,0.9821428571428571,0.3538380135685291,0.35350562158624976,0.6233766233766234,1.0,0.2689075630252101,32,0,112,87,231,7,41
fedprox_plain,multimodal,none,0.7891723060905778,0.8778870388582012,0.9607843137254902,0.17041860019730917,0.17743548048201213,0.8232558139534883,1.0,0.6637168141592921,75,0,102,38,215,8,41
fedprox_plain,multimodal,none,0.7397024361000599,0.8368038742161131,0.9871382636655949,0.16220491551513208,0.15445678922571346,0.8283828382838284,0.9948186528497409,0.6508474576271186,192,1,310,103,606,9,41
fedavg_secureagg_sim,multimodal,none,0.5475846546627251,0.7048419529657683,0.9918032786885246,0.295801745137382,0.28116063139274167,0.6618852459016393,1.0,0.3237704918032787,79,0,244,165,488,0,41
fedavg_secureagg_sim,multimodal,none,1.0,1.0,0.0,0.11124453272717989,0.18336567635829848,0.84,1.0,0.6923076923076923,9,0,12,4,25,1,41
fedavg_secureagg_sim,multimodal,none,1.0,1.0,0.0,0.002080141156310482,0.032883907977062254,1.0,1.0,1.0,1,0,3,0,4,2,41
fedavg_secureagg_sim,multimodal,none,0.6881892230576441,0.784667534520537,0.9122807017543859,0.35500758283899125,0.36398536413098254,0.5787401574803149,0.9230769230769231,0.2571428571428571,36,3,111,104,254,3,41
fedavg_secureagg_sim,multimodal,none,0.4985294117647059,0.6101279829511179,0.9117647058823529,0.4945517112176395,0.496706589330843,0.47297297297297297,1.0,0.025,1,0,34,39,74,4,41
fedavg_secureagg_sim,multimodal,none,0.9973189607517966,0.9978160816194953,0.003703703703703704,0.014042127770721738,0.040594407795468856,0.9869888475836431,0.9924528301886792,0.9813432835820896,263,2,268,5,538,5,41
fedavg_secureagg_sim,multimodal,none,0.999886886358495,0.9998778700537372,0.0,0.012247670917968896,0.05973006023872196,0.9858407079646018,1.0,0.9700374531835206,259,0,298,8,565,6,41
fedavg_secureagg_sim,multimodal,none,0.4375,0.6164423707846922,0.9821428571428571,0.35385490486795285,0.35352065839479696,0.6233766233766234,1.0,0.2689075630252101,32,0,112,87,231,7,41
fedavg_secureagg_sim,multimodal,none,0.7891723060905778,0.8778870388582012,0.9607843137254902,0.17041555204030986,0.177429575141363,0.8232558139534883,1.0,0.6637168141592921,75,0,102,38,215,8,41
