method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,1500,1500,0,0,3000,31
video_similarity,video,none,0.9855959999999999,0.9884606818128848,0.014666666666666666,0.08044505948399056,0.21719696025073848,0.964,0.989451476793249,0.938,1407,15,1485,93,3000,31
audio_similarity,audio,none,0.9202346666666666,0.9295386130322706,0.4053333333333333,0.18020593908954807,0.21972675951723933,0.7306666666666667,0.990084985835694,0.466,699,7,1493,801,3000,31
early_fusion_similarity,multimodal,none,0.9860435555555556,0.9871421240026292,0.016666666666666666,0.11147001631992083,0.2615020599486149,0.897,0.9933719966859983,0.7993333333333333,1199,8,1492,301,3000,31
centralized_video,video,none,0.9855715555555556,0.9874609573913756,0.016666666666666666,0.048659313362345,0.13320586340836998,0.9656666666666667,0.9833910034602076,0.9473333333333334,1421,24,1476,79,3000,31
centralized_multimodal,multimodal,none,0.9860346666666665,0.9884353206167215,0.014666666666666666,0.045202866103380854,0.11622775016776325,0.9663333333333334,0.9854267869535045,0.9466666666666667,1420,21,1479,80,3000,31
local_multimodal,multimodal,none,0.9815826666666667,0.9856313500469607,0.03266666666666666,0.044990303983349716,0.06506196502428556,0.9633333333333334,0.9873772791023843,0.9386666666666666,1408,18,1482,92,3000,31
fedavg_plain,multimodal,plain,0.9859226666666668,0.9884254875903778,0.014666666666666666,0.043200805329777,0.10647221726601323,0.9676666666666667,0.9841269841269841,0.9506666666666667,1426,23,1477,74,3000,31
fedprox_plain,multimodal,plain,0.9859253333333334,0.9884286926168756,0.014666666666666666,0.04320731120081261,0.1064961453186189,0.9676666666666667,0.9841269841269841,0.9506666666666667,1426,23,1477,74,3000,31
fedavg_secureagg_sim,multimodal,secureagg_sim,0.9859226666666668,0.9884254875903778,0.014666666666666666,0.043200805329776854,0.10647221726601323,0.9676666666666667,0.9841269841269841,0.9506666666666667,1426,23,1477,74,3000,31
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.9859226666666668,0.9884254875903778,0.014666666666666666,0.04320081226328781,0.10647224020950968,0.9676666666666667,0.9841269841269841,0.9506666666666667,1426,23,1477,74,3000,31
fedavgft_plain,multimodal,plain,0.9843257777777776,0.9876171968787799,0.016,0.04223840992130725,0.0958401845686279,0.9666666666666667,0.9840940525587828,0.9486666666666667,1423,23,1477,77,3000,31
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,1500,1500,0,0,3000,37
video_similarity,video,none,0.8229377777777778,0.8795080213177429,0.8606666666666667,0.14740412269461095,0.1038757264593618,0.8183333333333334,0.9604628736740598,0.664,996,41,1459,504,3000,37
audio_similarity,audio,none,0.7688568888888889,0.8191676395576788,0.8146666666666667,0.2358913988495647,0.19233617942020273,0.6323333333333333,1.0,0.26466666666666666,397,0,1500,1103,3000,37
early_fusion_similarity,multimodal,none,0.8217573333333333,0.8801258752420449,0.838,0.1640820313283411,0.15537444191168606,0.814,0.9835728952772074,0.6386666666666667,958,16,1484,542,3000,37
centralized_video,video,none,0.8202193333333333,0.8651545996416458,0.8613333333333333,0.1550408716657451,0.1118230866365009,0.8173333333333334,0.9524714828897338,0.668,1002,50,1450,498,3000,37
centralized_multimodal,multimodal,none,0.8184431111111111,0.8761454994625202,0.8633333333333333,0.16404815490922547,0.14178779451025325,0.8136666666666666,0.9617271835132483,0.6533333333333333,980,39,1461,520,3000,37
local_multimodal,multimodal,none,0.8088848888888889,0.8702640213371199,0.8646666666666667,0.16373433472259194,0.1442144823793345,0.815,0.9710867397806581,0.6493333333333333,974,29,1471,526,3000,37
fedavg_plain,multimodal,plain,0.8183764444444445,0.8756697659281814,0.8606666666666667,0.16331146118272055,0.14154250193091533,0.817,0.9585342333654774,0.6626666666666666,994,43,1457,506,3000,37
fedprox_plain,multimodal,plain,0.8183817777777778,0.8756762191327658,0.8606666666666667,0.16330313741418978,0.14118820324580755,0.817,0.9585342333654774,0.6626666666666666,994,43,1457,506,3000,37
fedavg_secureagg_sim,multimodal,secureagg_sim,0.8183764444444445,0.8756697659281814,0.8606666666666667,0.16331146118272077,0.14154250193091591,0.817,0.9585342333654774,0.6626666666666666,994,43,1457,506,3000,37
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.8183764444444445,0.8756697659281814,0.8606666666666667,0.16331146238220398,0.1415425127843311,0.817,0.9585342333654774,0.6626666666666666,994,43,1457,506,3000,37
fedavgft_plain,multimodal,plain,0.8133991111111111,0.8734750193014456,0.8666666666666667,0.16317318181468116,0.1400050829298618,0.8163333333333334,0.9584541062801932,0.6613333333333333,992,43,1457,508,3000,37
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,1500,1500,0,0,3000,41
video_similarity,video,none,0.7925548888888889,0.866579582639381,0.9266666666666666,0.1576568253798565,0.13755589575169394,0.8163333333333334,0.9947862356621481,0.636,954,5,1495,546,3000,41
audio_similarity,audio,none,0.711862,0.789696440361143,0.9446666666666667,0.24810947327848623,0.20063746424119988,0.6233333333333333,0.9973118279569892,0.24733333333333332,371,1,1499,1129,3000,41
early_fusion_similarity,multimodal,none,0.7809068888888889,0.8607097484609637,0.94,0.1887827322589214,0.19928824711149815,0.7626666666666667,0.9987341772151899,0.526,789,1,1499,711,3000,41
centralized_video,video,none,0.7955844444444444,0.8651772425228412,0.9146666666666666,0.15943092104774514,0.14104385195378716,0.814,0.9896049896049897,0.6346666666666667,952,10,1490,548,3000,41
centralized_multimodal,multimodal,none,0.7871566666666666,0.8640001482003559,0.936,0.1716108827609923,0.16945142481838088,0.808,0.9946466809421841,0.6193333333333333,929,5,1495,571,3000,41
local_multimodal,multimodal,none,0.8376157777777777,0.8888261839777664,0.8293333333333334,0.17827224187437385,0.187764583062276,0.795,0.9977502812148481,0.5913333333333334,887,2,1498,613,3000,41
fedavg_plain,multimodal,plain,0.7868944444444446,0.8639309315256618,0.9353333333333333,0.16835322543804154,0.16028730248830317,0.8136666666666666,0.993704092339979,0.6313333333333333,947,6,1494,553,3000,41
fedprox_plain,multimodal,plain,0.7868966666666668,0.8639300214666622,0.9353333333333333,0.1683550896346831,0.16029472353050933,0.8136666666666666,0.993704092339979,0.6313333333333333,947,6,1494,553,3000,41
fedavg_secureagg_sim,multimodal,secureagg_sim,0.7868944444444446,0.8639309315256618,0.9353333333333333,0.16835322543804196,0.16028730248830436,0.8136666666666666,0.993704092339979,0.6313333333333333,947,6,1494,553,3000,41
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.7868944444444446,0.8639309315256618,0.9353333333333333,0.1683532290439188,0.16028731038379287,0.8136666666666666,0.993704092339979,0.6313333333333333,947,6,1494,553,3000,41
fedavgft_plain,multimodal,plain,0.7996135555555555,0.8692936559099349,0.9086666666666666,0.168072740823036,0.16128307863733038,0.8133333333333334,0.9936974789915967,0.6306666666666667,946,6,1494,554,3000,41
