seed,method,privacy_mode,raw_media_shared,raw_embeddings_on_ledger,mean_encryption_time_sec,mean_aggregation_time_sec,ciphertext_expansion
31,fedavg_plain,plain,0,0,2.5099994672928006e-06,3.2079999982670415e-05,1.0
31,fedprox_plain,plain,0,0,2.0850013243034484e-06,2.69274998572655e-05,1.0
31,fedavg_secureagg_sim,secureagg_sim,0,0,0.001007567498527351,1.3920000492362306e-05,2.0
31,fedavg_quantized_transport_proxy,quantized_transport_proxy,0,0,0.0001520374999017804,2.6389999402454122e-05,16.0
37,fedavg_plain,plain,0,0,2.197500543843489e-06,2.7587500335357616e-05,1.0
37,fedprox_plain,plain,0,0,2.314999983354937e-06,2.676249969226774e-05,1.0
37,fedavg_secureagg_sim,secureagg_sim,0,0,0.0012719225000182633,1.637500026845373e-05,2.0
37,fedavg_quantized_transport_proxy,quantized_transport_proxy,0,0,0.00011803750021499582,3.058750044147018e-05,16.0
41,fedavg_plain,plain,0,0,2.417499490547925e-06,2.36775005760137e-05,1.0
41,fedprox_plain,plain,0,0,2.1549996745307e-06,2.596750000520842e-05,1.0
41,fedavg_secureagg_sim,secureagg_sim,0,0,0.0008775349997449666,1.2694999531959183e-05,2.0
41,fedavg_quantized_transport_proxy,quantized_transport_proxy,0,0,9.581749982316979e-05,2.435000005789334e-05,16.0
