method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,313,0,0,313,isc_cross_category_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,1119,0,0,0,1119,isc_labeled_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,381,0,0,0,381,isc_partial_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,1187,0,0,1187,isc_same_category_negative,31
audio_similarity,multimodal,none,,,,0.05514401600229997,0.2245244253850784,1.0,0.0,0.0,0,0,313,0,313,isc_cross_category_negative,31
audio_similarity,multimodal,none,,,,0.2756722478116588,0.4832366600282195,0.548704200178731,1.0,0.548704200178731,614,0,0,505,1119,isc_labeled_copy,31
audio_similarity,multimodal,none,,,,0.4309360803235457,0.6276709358353173,0.2230971128608924,1.0,0.2230971128608924,85,0,0,296,381,isc_partial_copy,31
audio_similarity,multimodal,none,,,,0.04270753863134557,0.19582096190511072,0.9941027801179444,0.0,0.0,0,7,1180,0,1187,isc_same_category_negative,31
video_similarity,multimodal,none,,,,0.07368086365200754,0.26324474892577754,1.0,0.0,0.0,0,0,313,0,313,isc_cross_category_negative,31
video_similarity,multimodal,none,,,,0.06437929343120632,0.20951420745555766,0.9562109025915997,1.0,0.9562109025915997,1070,0,0,49,1119,isc_labeled_copy,31
video_similarity,multimodal,none,,,,0.11842536843471257,0.3140611322432688,0.884514435695538,1.0,0.884514435695538,337,0,0,44,381,isc_partial_copy,31
video_similarity,multimodal,none,,,,0.08518329688774046,0.2764127609649712,0.987363100252738,0.0,0.0,0,15,1172,0,1187,isc_same_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.06465343258216323,0.24654387454595728,1.0,0.0,0.0,0,0,313,0,313,isc_cross_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.1350799882527046,0.334474985833405,0.8695263628239499,1.0,0.8695263628239499,973,0,0,146,1119,isc_labeled_copy,31
early_fusion_similarity,multimodal,none,,,,0.23255222818926805,0.4617733121985566,0.5931758530183727,1.0,0.5931758530183727,226,0,0,155,381,isc_partial_copy,31
early_fusion_similarity,multimodal,none,,,,0.06269302339229808,0.23860095771925272,0.9932603201347936,0.0,0.0,0,8,1179,0,1187,isc_same_category_negative,31
fedavg_plain,multimodal,none,,,,0.03591641631561539,0.17768522723106972,0.9968051118210862,0.0,0.0,0,1,312,0,313,isc_cross_category_negative,31
fedavg_plain,multimodal,none,,,,0.02413768936378066,0.06641083270119622,0.967828418230563,1.0,0.967828418230563,1083,0,0,36,1119,isc_labeled_copy,31
fedavg_plain,multimodal,none,,,,0.07489201456726853,0.19081558110181007,0.9002624671916011,1.0,0.9002624671916011,343,0,0,38,381,isc_partial_copy,31
fedavg_plain,multimodal,none,,,,0.052920510306944835,0.20596422591830355,0.9814658803706824,0.0,0.0,0,22,1165,0,1187,isc_same_category_negative,31
fedprox_plain,multimodal,none,,,,0.035929163849679695,0.1777175767403477,0.9968051118210862,0.0,0.0,0,1,312,0,313,isc_cross_category_negative,31
fedprox_plain,multimodal,none,,,,0.02413513626761937,0.06641333525629443,0.967828418230563,1.0,0.967828418230563,1083,0,0,36,1119,isc_labeled_copy,31
fedprox_plain,multimodal,none,,,,0.07491491899437143,0.19088637765378394,0.9002624671916011,1.0,0.9002624671916011,343,0,0,38,381,isc_partial_copy,31
fedprox_plain,multimodal,none,,,,0.052928646754141946,0.20598485117471146,0.9814658803706824,0.0,0.0,0,22,1165,0,1187,isc_same_category_negative,31
fedavg_secureagg_sim,multimodal,none,,,,0.03591641631561495,0.17768522723106867,0.9968051118210862,0.0,0.0,0,1,312,0,313,isc_cross_category_negative,31
fedavg_secureagg_sim,multimodal,none,,,,0.024137689363781113,0.0664108327011979,0.967828418230563,1.0,0.967828418230563,1083,0,0,36,1119,isc_labeled_copy,31
fedavg_secureagg_sim,multimodal,none,,,,0.07489201456726902,0.1908155811018113,0.9002624671916011,1.0,0.9002624671916011,343,0,0,38,381,isc_partial_copy,31
fedavg_secureagg_sim,multimodal,none,,,,0.052920510306943974,0.20596422591830166,0.9814658803706824,0.0,0.0,0,22,1165,0,1187,isc_same_category_negative,31
fedavg_quantized_transport_proxy,multimodal,none,,,,0.03591644431394563,0.17768529261653013,0.9968051118210862,0.0,0.0,0,1,312,0,313,isc_cross_category_negative,31
