method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,dropout_rate,base_runtime_sec
centralized_video,1,0.005152100005943794,31,none,,,,,
centralized_multimodal,1,0.008607699994172435,31,none,,,,,
local_multimodal,1,0.015894999996817205,31,local,,,,,
fedavg_plain,40,0.1037378000037279,31,plain,1.4625000403611921e-06,1.746500020090025e-05,1.0,0.0,
fedprox_plain,40,0.10359220000100322,31,plain,1.340000017080456e-06,1.7077500888262876e-05,1.0,0.0,
fedavg_secureagg_sim,40,0.1182967999993707,31,secureagg_sim,0.0005000199997084564,9.264999425795395e-06,2.0,0.0,
fedavg_quantized_transport_proxy,40,0.10888820000400301,31,quantized_transport_proxy,8.243750016845297e-05,2.340749906579731e-05,16.0,0.0,
fedavgft_plain,1,0.0032921000019996427,31,plain,,,,,0.09912579999945592
centralized_video,1,0.005289199994876981,37,none,,,,,
centralized_multimodal,1,0.008852799997839611,37,none,,,,,
local_multimodal,1,0.014642399997683242,37,local,,,,,
fedavg_plain,40,0.10222490000160178,37,plain,1.4249995729187504e-06,1.747250043990789e-05,1.0,0.0,
fedprox_plain,40,0.10573850000218954,37,plain,1.4325001757242718e-06,1.7350000052829274e-05,1.0,0.0,
fedavg_secureagg_sim,40,0.1227249999938067,37,secureagg_sim,0.0005239150001216331,8.997499935503584e-06,2.0,0.0,
fedavg_quantized_transport_proxy,40,0.09885630000644596,37,quantized_transport_proxy,7.088749935064697e-05,2.0775000302819534e-05,16.0,0.0,
fedavgft_plain,1,0.0031106999958865345,37,plain,,,,,0.09265559999766992
centralized_video,1,0.005882400000700727,41,none,,,,,
centralized_multimodal,1,0.008055099999182858,41,none,,,,,
local_multimodal,1,0.0155016999997315,41,local,,,,,
fedavg_plain,40,0.10919840000133263,41,plain,1.5199997505987994e-06,1.7862499771581496e-05,1.0,0.0,
fedprox_plain,40,0.10750769999867771,41,plain,1.4675000784336588e-06,1.7780000598577315e-05,1.0,0.0,
fedavg_secureagg_sim,40,0.12145030000101542,41,secureagg_sim,0.0004993949996787705,9.102500553126446e-06,2.0,0.0,
fedavg_quantized_transport_proxy,40,0.0973560999991605,41,quantized_transport_proxy,6.777250000595813e-05,1.9447499471425545e-05,16.0,0.0,
fedavgft_plain,1,0.0032688999999663793,41,plain,,,,,0.09582100000261562
