method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,0.9432661717921528,0.9548836244691951,0.2926829268292683,0.0998119141840433,0.09306446626479538,0.8505747126436781,0.9024390243902439,0.8043478260869565,37,4,37,9,87,0,31
fedavg_plain,multimodal,none,0.9686895551257254,0.9713142577215295,0.18181818181818182,0.0690773546752882,0.07374918201085603,0.9230769230769231,0.9347826086956522,0.9148936170212766,86,6,82,8,182,1,31
fedavg_plain,multimodal,none,0.9494812252964426,0.9429525932480337,0.19318181818181818,0.09732347857580975,0.09632125424545893,0.8722222222222222,0.948051948051948,0.7934782608695652,73,4,84,19,180,3,31
fedavg_plain,multimodal,none,0.940222358638565,0.9361371994962787,0.23941068139963168,0.1067873901858516,0.09119472736368255,0.8559556786703602,0.8076923076923077,0.9333333333333333,504,120,423,36,1083,6,31
fedavg_plain,multimodal,none,0.9619349230004968,0.9574102703015241,0.12121212121212122,0.08093916543160566,0.0900119387407411,0.8976377952755905,0.8809523809523809,0.9098360655737705,111,15,117,11,254,8,31
fedavg_plain,multimodal,none,0.9583333333333334,0.9484126984126984,0.125,0.10158457666911147,0.2062850554462144,0.8571428571428571,0.75,1.0,6,2,6,0,14,9,31
fedprox_plain,multimodal,none,0.9432661717921528,0.9548836244691951,0.2926829268292683,0.09983457279800298,0.0931244329946501,0.8505747126436781,0.9024390243902439,0.8043478260869565,37,4,37,9,87,0,31
fedprox_plain,multimodal,none,0.9686895551257254,0.9713142577215295,0.18181818181818182,0.06909164493135364,0.07380159083584904,0.9230769230769231,0.9347826086956522,0.9148936170212766,86,6,82,8,182,1,31
fedprox_plain,multimodal,none,0.9494812252964426,0.9429525932480337,0.19318181818181818,0.09733965251019383,0.09637424875904019,0.8722222222222222,0.948051948051948,0.7934782608695652,73,4,84,19,180,3,31
fedprox_plain,multimodal,none,0.9402360002728327,0.9361630206024413,0.23941068139963168,0.10678289637396633,0.0911647456190033,0.8568790397045245,0.8089887640449438,0.9333333333333333,504,119,424,36,1083,6,31
fedprox_plain,multimodal,none,0.9619349230004968,0.9574102703015241,0.12121212121212122,0.08093587733851276,0.09002441432188046,0.8976377952755905,0.8809523809523809,0.9098360655737705,111,15,117,11,254,8,31
fedprox_plain,multimodal,none,0.9583333333333334,0.9484126984126984,0.125,0.10156170656020704,0.20629558574044257,0.8571428571428571,0.75,1.0,6,2,6,0,14,9,31
fedavg_secureagg_sim,multimodal,none,0.9432661717921528,0.9548836244691951,0.2926829268292683,0.09981191418404341,0.09306446626479574,0.8505747126436781,0.9024390243902439,0.8043478260869565,37,4,37,9,87,0,31
fedavg_secureagg_sim,multimodal,none,0.9686895551257254,0.9713142577215295,0.18181818181818182,0.06907735467528822,0.07374918201085597,0.9230769230769231,0.9347826086956522,0.9148936170212766,86,6,82,8,182,1,31
fedavg_secureagg_sim,multimodal,none,0.9494812252964426,0.9429525932480337,0.19318181818181818,0.09732347857581021,0.0963212542454597,0.8722222222222222,0.948051948051948,0.7934782608695652,73,4,84,19,180,3,31
fedavg_secureagg_sim,multimodal,none,0.940222358638565,0.9361371994962787,0.23941068139963168,0.10678739018585108,0.09119472736368081,0.8559556786703602,0.8076923076923077,0.9333333333333333,504,120,423,36,1083,6,31
fedavg_secureagg_sim,multimodal,none,0.9619349230004968,0.9574102703015241,0.12121212121212122,0.0809391654316054,0.09001193874074012,0.8976377952755905,0.8809523809523809,0.9098360655737705,111,15,117,11,254,8,31
fedavg_secureagg_sim,multimodal,none,0.9583333333333334,0.9484126984126984,0.125,0.1015845766691106,0.20628505544621287,0.8571428571428571,0.75,1.0,6,2,6,0,14,9,31
fedavg_quantized_transport_proxy,multimodal,none,0.9432661717921528,0.9548836244691951,0.2926829268292683,0.0998119157261553,0.09306445448678823,0.8505747126436781,0.9024390243902439,0.8043478260869565,37,4,37,9,87,0,31
fedavg_quantized_transport_proxy,multimodal,none,0.9686895551257254,0.9713142577215295,0.18181818181818182,0.06907735263549342,0.07374916318615347,0.9230769230769231,0.9347826086956522,0.9148936170212766,86,6,82,8,182,1,31
fedavg_quantized_transport_proxy,multimodal,none,0.9494812252964426,0.9429525932480337,0.19318181818181818,0.09732348506585765,0.09632127101460036,0.8722222222222222,0.948051948051948,0.7934782608695652,73,4,84,19,180,3,31
fedavg_quantized_transport_proxy,multimodal,none,0.940222358638565,0.9361371994962787,0.23941068139963168,0.10678737524472047,0.09119468012902156,0.8559556786703602,0.8076923076923077,0.9333333333333333,504,120,423,36,1083,6,31
fedavg_quantized_transport_proxy,multimodal,none,0.9619349230004968,0.9574102703015241,0.12121212121212122,0.08093914944178293,0.09001188652696618,0.8976377952755905,0.8809523809523809,0.9098360655737705,111,15,117,11,254,8,31
fedavg_quantized_transport_proxy,multimodal,none,0.9583333333333334,0.9484126984126984,0.125,0.10158454534712479,0.20628500086161453,0.8571428571428571,0.75,1.0,6,2,6,0,14,9,31
