method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,900,900,0,0,1800,31
video_similarity,video,none,0.9307444444444445,0.9257755701206818,0.32666666666666666,0.14769172638467312,0.18934702826285682,0.8244444444444444,0.7718808193668529,0.9211111111111111,829,245,655,71,1800,31
audio_similarity,audio,none,0.7237320987654321,0.7114519897402506,0.7611111111111111,0.21777848545342338,0.06873415566852215,0.6483333333333333,0.611157368859284,0.8155555555555556,734,467,433,166,1800,31
early_fusion_similarity,multimodal,none,0.9214148148148148,0.9198885720890366,0.3411111111111111,0.16418062044451723,0.20503665206937624,0.7827777777777778,0.7084357084357085,0.9611111111111111,865,356,544,35,1800,31
centralized_video,video,none,0.9309543209876543,0.9246553290319391,0.30666666666666664,0.11205979653376122,0.07778243936501353,0.8477777777777777,0.8142570281124498,0.9011111111111111,811,185,715,89,1800,31
centralized_audio,audio,none,0.7237271604938271,0.7114507300553659,0.7611111111111111,0.21323248595327746,0.04292025241690139,0.6538888888888889,0.6733416770963705,0.5977777777777777,538,261,639,362,1800,31
centralized_multimodal,multimodal,none,0.9430444444444444,0.9402608393894627,0.25666666666666665,0.09894320695713096,0.06441603184788124,0.8727777777777778,0.8406091370558376,0.92,828,157,743,72,1800,31
local_multimodal,multimodal,none,0.9415197530864197,0.9387558289322065,0.2544444444444444,0.09661616189536491,0.04487898947711144,0.8705555555555555,0.857449088960343,0.8888888888888888,800,133,767,100,1800,31
fedavg_plain,multimodal,plain,0.9428493827160493,0.9401373546301431,0.2577777777777778,0.09800300938490702,0.062273637573683156,0.87,0.84400826446281,0.9077777777777778,817,151,749,83,1800,31
fedprox_plain,multimodal,plain,0.9428456790123456,0.940136119506143,0.2577777777777778,0.09800382120644344,0.06225624892446319,0.8705555555555555,0.8448810754912099,0.9077777777777778,817,150,750,83,1800,31
fedavg_secureagg_sim,multimodal,secureagg_sim,0.9428493827160493,0.9401373546301431,0.2577777777777778,0.09800300938490675,0.06227363757368161,0.87,0.84400826446281,0.9077777777777778,817,151,749,83,1800,31
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.9428493827160493,0.9401373546301431,0.2577777777777778,0.09800299841266366,0.06227359063835506,0.87,0.84400826446281,0.9077777777777778,817,151,749,83,1800,31
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,900,900,0,0,1800,37
video_similarity,video,none,0.9060135802469136,0.9038507677197551,0.43444444444444447,0.17138925161319166,0.19791645013902912,0.7761111111111111,0.7076023391812866,0.9411111111111111,847,350,550,53,1800,37
audio_similarity,audio,none,0.7281135802469135,0.7254728380318247,0.7755555555555556,0.21873225506485608,0.08460964187007097,0.6277777777777778,0.58984375,0.8388888888888889,755,525,375,145,1800,37
early_fusion_similarity,multimodal,none,0.9090395061728395,0.9090648631124962,0.38666666666666666,0.16566204634593718,0.19185692894462436,0.8233333333333334,0.814935064935065,0.8366666666666667,753,171,729,147,1800,37
centralized_video,video,none,0.9042876543209877,0.8998119729284143,0.3977777777777778,0.1280897476777989,0.048147560946970924,0.8188888888888889,0.854320987654321,0.7688888888888888,692,118,782,208,1800,37
centralized_audio,audio,none,0.7281098765432099,0.7254718780943061,0.7755555555555556,0.2114078014828841,0.036120160819166094,0.6616666666666666,0.6892067620286085,0.5888888888888889,530,239,661,370,1800,37
centralized_multimodal,multimodal,none,0.9240407407407407,0.9246541499865228,0.36444444444444446,0.11565985688909264,0.048422757471925724,0.8338888888888889,0.8897535667963683,0.7622222222222222,686,85,815,214,1800,37
local_multimodal,multimodal,none,0.9232259259259259,0.9236093198773834,0.3566666666666667,0.11821597035866092,0.0610290705271097,0.8338888888888889,0.9001331557922769,0.7511111111111111,676,75,825,224,1800,37
fedavg_plain,multimodal,plain,0.9243432098765433,0.9249900201394979,0.36333333333333334,0.1168915912970621,0.05718903725234975,0.83,0.896,0.7466666666666667,672,78,822,228,1800,37
fedprox_plain,multimodal,plain,0.9243444444444443,0.9249893578970199,0.36333333333333334,0.11689636598438821,0.058269082199686545,0.8305555555555556,0.897196261682243,0.7466666666666667,672,77,823,228,1800,37
fedavg_secureagg_sim,multimodal,secureagg_sim,0.9243432098765433,0.9249900201394979,0.36333333333333334,0.1168915912970624,0.05718903725235111,0.83,0.896,0.7466666666666667,672,78,822,228,1800,37
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.9243432098765433,0.9249900201394979,0.36333333333333334,0.11689159080150482,0.057189065013634126,0.83,0.896,0.7466666666666667,672,78,822,228,1800,37
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,900,900,0,0,1800,41
video_similarity,video,none,0.8619370370370371,0.8627176372985167,0.5266666666666666,0.1792048531945062,0.15200631839482323,0.7466666666666667,0.695079086115993,0.8788888888888889,791,347,553,109,1800,41
audio_similarity,audio,none,0.7442283950617284,0.7289296379265582,0.7522222222222222,0.2100911699277993,0.06804085387609587,0.6727777777777778,0.6594871794871795,0.7144444444444444,643,332,568,257,1800,41
early_fusion_similarity,multimodal,none,0.8837135802469137,0.8863034562382104,0.4922222222222222,0.17908394758271168,0.1829487188419536,0.74,0.673354735152488,0.9322222222222222,839,407,493,61,1800,41
centralized_video,video,none,0.8613271604938273,0.8564510721520943,0.5566666666666666,0.1516387094281863,0.022945903700093966,0.78,0.7787610619469026,0.7822222222222223,704,200,700,196,1800,41
centralized_audio,audio,none,0.7442283950617284,0.7289296379265582,0.7522222222222222,0.20725744904493812,0.04257811180557329,0.6788888888888889,0.70125,0.6233333333333333,561,239,661,339,1800,41
centralized_multimodal,multimodal,none,0.8870135802469135,0.890053088733933,0.48777777777777775,0.13844575012132634,0.04056960806470114,0.8022222222222222,0.8185011709601874,0.7766666666666666,699,155,745,201,1800,41
local_multimodal,multimodal,none,0.8855160493827161,0.8900684847838205,0.49333333333333335,0.13868494493223454,0.03339979744754937,0.8011111111111111,0.818075117370892,0.7744444444444445,697,155,745,203,1800,41
fedavg_plain,multimodal,plain,0.8875061728395062,0.8905474537204685,0.4866666666666667,0.13798745921868907,0.03791363765464821,0.8016666666666666,0.8259303721488596,0.7644444444444445,688,145,755,212,1800,41
fedprox_plain,multimodal,plain,0.8875135802469135,0.8905571482547227,0.4866666666666667,0.13798044489136085,0.0375627948184288,0.8016666666666666,0.8259303721488596,0.7644444444444445,688,145,755,212,1800,41
fedavg_secureagg_sim,multimodal,secureagg_sim,0.8875061728395062,0.8905474537204685,0.4866666666666667,0.1379874592186891,0.0379136376546487,0.8016666666666666,0.8259303721488596,0.7644444444444445,688,145,755,212,1800,41
fedavg_quantized_transport_proxy,multimodal,quantized_transport_proxy,0.8875061728395062,0.8905474537204685,0.4866666666666667,0.13798745333117438,0.03791361110479971,0.8016666666666666,0.8259303721488596,0.7644444444444445,688,145,755,212,1800,41
