mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
plain,2.6999987312592566e-06,2.390000008745119e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,1,fedavg,plain,0.45419182188696866,0.0,31
plain,2.5000008463393897e-06,2.2799998987466097e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,2,fedavg,plain,0.40176434457822185,0.0,31
plain,1.8999999156221747e-06,1.9099999917671084e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,3,fedavg,plain,0.3777635368492174,0.0,31
plain,1.6999983927235007e-06,2.010000025620684e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,4,fedavg,plain,0.3636560828946142,0.0,31
plain,1.7999991541728377e-06,1.8200000340584666e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,5,fedavg,plain,0.35425161275752604,0.0,31
plain,1.7000020307023078e-06,1.6499998309882358e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,6,fedavg,plain,0.3474888557150911,0.0,31
plain,1.5000005078036338e-06,1.720000000204891e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,7,fedavg,plain,0.34237557616729986,0.0,31
plain,1.3999997463542968e-06,1.6699999832781032e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,8,fedavg,plain,0.3383690851502036,0.0,31
plain,1.400003384333104e-06,1.6099998902063817e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,9,fedavg,plain,0.3351444689567702,0.0,31
plain,1.7000020307023078e-06,1.6900001355679706e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,10,fedavg,plain,0.3324938596441781,0.0,31
plain,1.3999997463542968e-06,2.3199998395284638e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,11,fedavg,plain,0.3302774591124571,0.0,31
plain,1.8999999156221747e-06,2.2000000171829015e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,12,fedavg,plain,0.32839754415833877,0.0,31
