method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,208,0,0,208,vcsl_cross_category_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,689,0,0,0,689,vcsl_labeled_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,211,0,0,0,211,vcsl_partial_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,692,0,0,692,vcsl_same_category_negative,31
video_similarity,multimodal,none,,,,0.09659822512391177,0.27864587310815697,0.9326923076923077,0.0,0.0,0,14,194,0,208,vcsl_cross_category_negative,31
video_similarity,multimodal,none,,,,0.09799929313333958,0.28998575934241494,0.9477503628447025,1.0,0.9477503628447025,653,0,0,36,689,vcsl_labeled_copy,31
video_similarity,multimodal,none,,,,0.15198094232838885,0.3727469378787867,0.8341232227488151,1.0,0.8341232227488151,176,0,0,35,211,vcsl_partial_copy,31
video_similarity,multimodal,none,,,,0.21121847524057366,0.4393171558422976,0.6661849710982659,0.0,0.0,0,231,461,0,692,vcsl_same_category_negative,31
audio_similarity,multimodal,none,,,,0.2076153128223049,0.4271787434664721,0.7115384615384616,0.0,0.0,0,60,148,0,208,vcsl_cross_category_negative,31
audio_similarity,multimodal,none,,,,0.15662971522057806,0.37065306856085695,0.8127721335268505,1.0,0.8127721335268505,560,0,0,129,689,vcsl_labeled_copy,31
audio_similarity,multimodal,none,,,,0.1540780600936945,0.364371658225758,0.8246445497630331,1.0,0.8246445497630331,174,0,0,37,211,vcsl_partial_copy,31
audio_similarity,multimodal,none,,,,0.3011400928936053,0.5295127719041537,0.41184971098265893,0.0,0.0,0,407,285,0,692,vcsl_same_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.1294308013784954,0.3371387017171094,0.8990384615384616,0.0,0.0,0,21,187,0,208,vcsl_cross_category_negative,31
early_fusion_similarity,multimodal,none,,,,0.09499697695697583,0.2891477950952765,0.9724238026124818,1.0,0.9724238026124818,670,0,0,19,689,vcsl_labeled_copy,31
early_fusion_similarity,multimodal,none,,,,0.124252008118752,0.3342620380672866,0.9241706161137441,1.0,0.9241706161137441,195,0,0,16,211,vcsl_partial_copy,31
early_fusion_similarity,multimodal,none,,,,0.2556841319031661,0.4922815034043306,0.5158959537572254,0.0,0.0,0,335,357,0,692,vcsl_same_category_negative,31
fedavg_plain,multimodal,none,,,,0.02890444132183299,0.11614593518531048,0.9759615384615384,0.0,0.0,0,5,203,0,208,vcsl_cross_category_negative,31
fedavg_plain,multimodal,none,,,,0.06003484617401313,0.13762642527930535,0.9172714078374455,1.0,0.9172714078374455,632,0,0,57,689,vcsl_labeled_copy,31
fedavg_plain,multimodal,none,,,,0.0857021651680002,0.19047754242186452,0.8767772511848341,1.0,0.8767772511848341,185,0,0,26,211,vcsl_partial_copy,31
fedavg_plain,multimodal,none,,,,0.1603267734588848,0.3075017337564157,0.7890173410404624,0.0,0.0,0,146,546,0,692,vcsl_same_category_negative,31
fedprox_plain,multimodal,none,,,,0.028905275646110912,0.11620621712679914,0.9759615384615384,0.0,0.0,0,5,203,0,208,vcsl_cross_category_negative,31
fedprox_plain,multimodal,none,,,,0.06006426922598535,0.13770459772705396,0.9172714078374455,1.0,0.9172714078374455,632,0,0,57,689,vcsl_labeled_copy,31
fedprox_plain,multimodal,none,,,,0.08574363025079722,0.19055927777188253,0.8767772511848341,1.0,0.8767772511848341,185,0,0,26,211,vcsl_partial_copy,31
fedprox_plain,multimodal,none,,,,0.16028669560344652,0.3075005054062783,0.7904624277456648,0.0,0.0,0,145,547,0,692,vcsl_same_category_negative,31
fedavg_secureagg_sim,multimodal,none,,,,0.028904441321832505,0.11614593518530879,0.9759615384615384,0.0,0.0,0,5,203,0,208,vcsl_cross_category_negative,31
fedavg_secureagg_sim,multimodal,none,,,,0.060034846174014035,0.13762642527930677,0.9172714078374455,1.0,0.9172714078374455,632,0,0,57,689,vcsl_labeled_copy,31
fedavg_secureagg_sim,multimodal,none,,,,0.08570216516800122,0.19047754242186576,0.8767772511848341,1.0,0.8767772511848341,185,0,0,26,211,vcsl_partial_copy,31
