method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,dropout_rate
centralized_video,1,0.005058399998233654,31,none,,,,
centralized_audio,1,0.005101000002468936,31,none,,,,
centralized_multimodal,1,0.00766700000531273,31,none,,,,
local_multimodal,1,0.015378899995994288,31,local,,,,
fedavg_plain,20,0.04149469999538269,31,plain,2.654999480000697e-06,1.793999945221003e-05,1.0,0.0
fedprox_plain,20,0.04408600000169827,31,plain,2.0699990272987634e-06,2.236500004073605e-05,1.0,0.0
fedavg_secureagg_sim,20,0.06957550000515766,31,secureagg_sim,0.0008973250005510636,1.2965000132680871e-05,2.0,0.0
fedavg_quantized_transport_proxy,20,0.05339309999544639,31,quantized_transport_proxy,0.00011972499887633604,2.884499990614131e-05,16.0,0.0
centralized_video,1,0.010042999994766433,37,none,,,,
centralized_audio,1,0.003845800005365163,37,none,,,,
centralized_multimodal,1,0.007453399994119536,37,none,,,,
local_multimodal,1,0.020501700004388113,37,local,,,,
fedavg_plain,20,0.042484800003876444,37,plain,1.4850003935862332e-06,1.9204999262001365e-05,1.0,0.0
fedprox_plain,20,0.04153320000477834,37,plain,1.4900004316587002e-06,1.7784999363357203e-05,1.0,0.0
fedavg_secureagg_sim,20,0.09276819999649888,37,secureagg_sim,0.0012073350004357052,1.9580000298446976e-05,2.0,0.0
fedavg_quantized_transport_proxy,20,0.04228310000326019,37,quantized_transport_proxy,8.461999968858435e-05,2.3615000463905746e-05,16.0,0.0
centralized_video,1,0.004996600000595208,41,none,,,,
centralized_audio,1,0.0051081999990856275,41,none,,,,
centralized_multimodal,1,0.007545700005721301,41,none,,,,
local_multimodal,1,0.016378799999074545,41,local,,,,
fedavg_plain,20,0.04718439999851398,41,plain,2.094999945256859e-06,2.3010000222711825e-05,1.0,0.0
fedprox_plain,20,0.045109700004104525,41,plain,1.7950009350897743e-06,2.0110000696149656e-05,1.0,0.0
fedavg_secureagg_sim,20,0.08022570000321139,41,secureagg_sim,0.0010663299999578157,1.7994999871007168e-05,2.0,0.0
fedavg_quantized_transport_proxy,20,0.04700750000483822,41,quantized_transport_proxy,9.621500066714361e-05,2.4670000129844993e-05,16.0,0.0
