method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed,group
default invariant,multimodal,none,0.9092181155555555,0.9096704028133812,0.4052,0.8114,0.8889258950874271,0.7117333333333333,5338,667,6833,2162,15000,31,ablation
all fields,multimodal,none,0.8281430755555554,0.8418120982792018,0.6774666666666667,0.7310666666666666,0.8471554487179487,0.5638666666666666,4229,763,6737,3271,15000,31,ablation
linear all fields,multimodal,none,0.8347780622222223,0.8459773575737488,0.6569333333333334,0.7372666666666666,0.841358143103779,0.5848,4386,827,6673,3114,15000,31,ablation
score only,multimodal,none,0.9114761600000001,0.911803515112462,0.4084,0.8121333333333334,0.8913406887328653,0.7109333333333333,5332,650,6850,2168,15000,31,ablation
visual+temporal,multimodal,none,0.8988400000000001,0.8964928649020036,0.43146666666666667,0.7935333333333333,0.8724412113009643,0.6876,5157,754,6746,2343,15000,31,ablation
audio only,multimodal,none,0.810712871111111,0.819948803549577,0.6566666666666666,0.7151333333333333,0.800186046511628,0.5734666666666667,4301,1074,6426,3199,15000,31,ablation
all fields minus context,multimodal,none,0.8697661688888889,0.8735823713392701,0.5384,0.7636,0.8605032822757112,0.6292,4719,765,6735,2781,15000,31,ablation
remove reliability,multimodal,none,0.8319920355555556,0.8510074959961365,0.7438666666666667,0.7446666666666667,0.867440929114938,0.5776,4332,662,6838,3168,15000,31,ablation
remove poly2 interactions,multimodal,none,0.8347780622222223,0.8459773575737488,0.6569333333333334,0.7372666666666666,0.841358143103779,0.5848,4386,827,6673,3114,15000,31,ablation
default invariant,multimodal,none,0.9006562844444443,0.90234530851629,0.444,0.8028,0.8853070919579233,0.6957333333333333,5218,676,6824,2282,15000,37,ablation
all fields,multimodal,none,0.8172292800000001,0.8347172363193379,0.7050666666666666,0.7292666666666666,0.848570849381715,0.5581333333333334,4186,747,6753,3314,15000,37,ablation
linear all fields,multimodal,none,0.82384304,0.8388217664444029,0.6802666666666667,0.7359333333333333,0.8431258483614504,0.5797333333333333,4348,809,6691,3152,15000,37,ablation
score only,multimodal,none,0.9008351466666666,0.9028061757572932,0.4456,0.8016,0.8875942426319396,0.6906666666666667,5180,656,6844,2320,15000,37,ablation
visual+temporal,multimodal,none,0.88832848,0.8871453538237628,0.46786666666666665,0.7854666666666666,0.869010685970355,0.6722666666666667,5042,760,6740,2458,15000,37,ablation
audio only,multimodal,none,0.8032561777777778,0.8152557077040878,0.6829333333333333,0.7156666666666667,0.8018286993842135,0.5729333333333333,4297,1062,6438,3203,15000,37,ablation
all fields minus context,multimodal,none,0.8590605155555556,0.864888773118616,0.5752,0.7585333333333333,0.8592071137458318,0.6184,4638,760,6740,2862,15000,37,ablation
remove reliability,multimodal,none,0.8215598577777778,0.8439629242196961,0.7544,0.74,0.8660024400162668,0.5678666666666666,4259,659,6841,3241,15000,37,ablation
remove poly2 interactions,multimodal,none,0.82384304,0.8388217664444029,0.6802666666666667,0.7359333333333333,0.8431258483614504,0.5797333333333333,4348,809,6691,3152,15000,37,ablation
default invariant,multimodal,none,0.8831669511111112,0.8846826232754068,0.4884,0.7869333333333334,0.861437688948606,0.6838666666666666,5129,825,6675,2371,15000,41,ablation
all fields,multimodal,none,0.8039399111111112,0.8211845610797112,0.7113333333333334,0.7167333333333333,0.8182886234579988,0.5572,4179,928,6572,3321,15000,41,ablation
linear all fields,multimodal,none,0.8084854577777778,0.8238629677658761,0.6974666666666667,0.7214666666666667,0.813869992441421,0.5742666666666667,4307,985,6515,3193,15000,41,ablation
score only,multimodal,none,0.8849985777777778,0.8857362852219977,0.4816,0.7859333333333334,0.8606019841937111,0.6824,5118,829,6671,2382,15000,41,ablation
visual+temporal,multimodal,none,0.8660685866666666,0.8630737402059688,0.5164,0.7631333333333333,0.8384496655805179,0.6518666666666667,4889,942,6558,2611,15000,41,ablation
audio only,multimodal,none,0.8004118577777777,0.8061335614435616,0.6806666666666666,0.7115333333333334,0.7863201588160982,0.5809333333333333,4357,1184,6316,3143,15000,41,ablation
all fields minus context,multimodal,none,0.8460082488888888,0.8506827363833098,0.5941333333333333,0.7476666666666667,0.8333034272384712,0.6192,4644,929,6571,2856,15000,41,ablation
remove reliability,multimodal,none,0.80305264,0.8264287440622151,0.7705333333333333,0.7256,0.8375897845171588,0.5597333333333333,4198,814,6686,3302,15000,41,ablation
remove poly2 interactions,multimodal,none,0.8084854577777778,0.8238629677658761,0.6974666666666667,0.7214666666666667,0.813869992441421,0.5742666666666667,4307,985,6515,3193,15000,41,ablation
