method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed,group
video_similarity,multimodal,none,0.8898812977777778,0.8912493719940278,0.4750666666666667,0.7795333333333333,0.7231506120276743,0.9058666666666667,6794,2601,4899,706,15000,31,fixed evidence
audio_similarity,multimodal,none,0.7320310933333334,0.7220623692038244,0.7712,0.6446666666666667,0.6021464884202599,0.8528,6396,4226,3274,1104,15000,31,fixed evidence
mean_score_fusion,multimodal,none,0.9004800177777779,0.899589647252804,0.4226666666666667,0.7969333333333334,0.7430161501527717,0.9078666666666667,6809,2355,5145,691,15000,31,fixed evidence
platt_calibrated_score,multimodal,none,0.9004800177777779,0.899589647252804,0.4226666666666667,0.8180666666666667,0.829443447037702,0.8008,6006,1235,6265,1494,15000,31,calibration
isotonic_calibrated_score,multimodal,none,0.9001734755555555,0.8949537217678043,0.4376,0.8176666666666667,0.8257896895938739,0.8052,6039,1274,6226,1461,15000,31,calibration
logistic_poly2_invariant,multimodal,none,0.9092181155555555,0.9096704028133812,0.4052,0.8114,0.8889258950874271,0.7117333333333333,5338,667,6833,2162,15000,31,fusion head
logistic_poly2_all_fields,multimodal,none,0.8281430755555554,0.8418120982792018,0.6774666666666667,0.7310666666666666,0.8471554487179487,0.5638666666666666,4229,763,6737,3271,15000,31,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.8961176711111112,0.8967982943273403,0.44533333333333336,0.8030666666666667,0.8599936648717137,0.724,5430,884,6616,2070,15000,31,fusion head
fedadam,multimodal,none,0.9044295822222221,0.9026907550388309,0.404,0.8162,0.858937490540336,0.7566666666666667,5675,932,6568,1825,15000,31,fedopt
fedyogi,multimodal,none,0.9051417066666666,0.9036924589807765,0.4046666666666667,0.8170666666666667,0.8579169175195666,0.76,5700,944,6556,1800,15000,31,fedopt
logistic_score_only,multimodal,none,0.9114761600000001,0.911803515112462,0.4084,0.8121333333333334,0.8913406887328653,0.7109333333333333,5332,650,6850,2168,15000,31,calibration
video_similarity,multimodal,none,0.8823401244444445,0.8844196900435837,0.49866666666666665,0.7434,0.6754444978375781,0.9370666666666667,7028,3377,4123,472,15000,37,fixed evidence
audio_similarity,multimodal,none,0.7089130844444445,0.6963521122546186,0.8050666666666667,0.6464,0.6173578452330055,0.7701333333333333,5776,3580,3920,1724,15000,37,fixed evidence
mean_score_fusion,multimodal,none,0.8796751644444445,0.879690247334655,0.5038666666666667,0.762,0.7013319672131147,0.9126666666666666,6845,2915,4585,655,15000,37,fixed evidence
platt_calibrated_score,multimodal,none,0.8796751644444445,0.879690247334655,0.5038666666666667,0.7901333333333334,0.8264326432643264,0.7345333333333334,5509,1157,6343,1991,15000,37,calibration
isotonic_calibrated_score,multimodal,none,0.8795491466666666,0.8748389205802184,0.5178666666666667,0.7894,0.8291129643669447,0.7290666666666666,5468,1127,6373,2032,15000,37,calibration
logistic_poly2_invariant,multimodal,none,0.9006562844444443,0.90234530851629,0.444,0.8028,0.8853070919579233,0.6957333333333333,5218,676,6824,2282,15000,37,fusion head
logistic_poly2_all_fields,multimodal,none,0.8172292800000001,0.8347172363193379,0.7050666666666666,0.7292666666666666,0.848570849381715,0.5581333333333334,4186,747,6753,3314,15000,37,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.8848026755555555,0.8882550931913838,0.48386666666666667,0.7920666666666667,0.8609326083374527,0.6966666666666667,5225,844,6656,2275,15000,37,fusion head
fedadam,multimodal,none,0.8937499022222222,0.8933863224032692,0.4644,0.8056666666666666,0.846980475253519,0.7461333333333333,5596,1011,6489,1904,15000,37,fedopt
fedyogi,multimodal,none,0.8943928711111111,0.8950319426848433,0.4594666666666667,0.8079333333333333,0.8432159310447318,0.7565333333333333,5674,1055,6445,1826,15000,37,fedopt
logistic_score_only,multimodal,none,0.9008351466666666,0.9028061757572932,0.4456,0.8016,0.8875942426319396,0.6906666666666667,5180,656,6844,2320,15000,37,calibration
video_similarity,multimodal,none,0.8566393777777778,0.858427221154475,0.5758666666666666,0.707,0.6424704046985409,0.9334666666666667,7001,3896,3604,499,15000,41,fixed evidence
audio_similarity,multimodal,none,0.740668,0.7257362792034746,0.7609333333333334,0.6656,0.6317911714770797,0.7938666666666667,5954,3470,4030,1546,15000,41,fixed evidence
mean_score_fusion,multimodal,none,0.8792249244444444,0.8769568480420504,0.4968,0.7392,0.6704351130533917,0.9409333333333333,7057,3469,4031,443,15000,41,fixed evidence
platt_calibrated_score,multimodal,none,0.8792249244444444,0.8769568480420504,0.4968,0.7948666666666667,0.8090845562543676,0.7718666666666667,5789,1366,6134,1711,15000,41,calibration
isotonic_calibrated_score,multimodal,none,0.8790374577777778,0.871898882296426,0.5313333333333333,0.7935333333333333,0.8115183246073299,0.7646666666666667,5735,1332,6168,1765,15000,41,calibration
logistic_poly2_invariant,multimodal,none,0.8831669511111112,0.8846826232754068,0.4884,0.7869333333333334,0.861437688948606,0.6838666666666666,5129,825,6675,2371,15000,41,fusion head
logistic_poly2_all_fields,multimodal,none,0.8039399111111112,0.8211845610797112,0.7113333333333334,0.7167333333333333,0.8182886234579988,0.5572,4179,928,6572,3321,15000,41,fusion head
hist_gradient_boosting_invariant,multimodal,none,0.8677515466666668,0.8704113906661102,0.542,0.7760666666666667,0.8289118347895155,0.6957333333333333,5218,1077,6423,2282,15000,41,fusion head
fedadam,multimodal,none,0.8801143644444445,0.8810197452488387,0.4984,0.7857333333333333,0.8499346832135859,0.694,5205,919,6581,2295,15000,41,fedopt
fedyogi,multimodal,none,0.8796553422222221,0.880619693022347,0.5012,0.7863333333333333,0.8465386477327739,0.6994666666666667,5246,951,6549,2254,15000,41,fedopt
logistic_score_only,multimodal,none,0.8849985777777778,0.8857362852219977,0.4816,0.7859333333333334,0.8606019841937111,0.6824,5118,829,6671,2382,15000,41,calibration
