method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,tier,seed,ece,expected_precision_prev_0.01,reviews_per_true_positive_prev_0.01,expected_precision_prev_0.001,reviews_per_true_positive_prev_0.001,expected_precision_prev_1e-05,reviews_per_true_positive_prev_1e-05,attack_scenario,attacker_fraction,attacked_clients,communication_rounds,local_epochs,robustness_scope
fedavg_mean,multimodal,none,0.9420259259259258,0.9392536607531774,0.2611111111111111,0.0980463800543995,0.051280718015039625,0.8677777777777778,0.850635593220339,0.8922222222222222,803,141,759,97,1800,VCSL public-label audit,31,0.051280718015039625,0.03336380255941499,29.972602739726028,0.003408782177545337,293.35990037359903,3.416938688460637e-05,29265.962640099624,clean,0.0,,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
coordinate_median,multimodal,none,0.941995061728395,0.9392055296121269,0.2588888888888889,0.09728183628576194,0.04876955387182602,0.8644444444444445,0.8511777301927195,0.8833333333333333,795,139,761,105,1800,VCSL public-label audit,31,0.04876955387182602,0.033316570279104854,30.01509433962264,0.0034038071261592207,293.78867924528305,3.4119348709271477e-05,29308.883018867924,clean,0.0,,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
trimmed_mean,multimodal,none,0.9416061728395062,0.9388773835077109,0.2577777777777778,0.09770840778953363,0.050608106042990576,0.8644444444444445,0.8511777301927195,0.8833333333333333,795,139,761,105,1800,VCSL public-label audit,31,0.050608106042990576,0.033455371796490344,29.890566037735848,0.0034184285548432038,292.53207547169814,3.426640982807185e-05,29183.098113207543,clean,0.0,,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
krum,multimodal,none,0.9408765432098766,0.9382264378252745,0.25555555555555554,0.09966562561657492,0.05956075418161012,0.8677777777777778,0.850635593220339,0.8922222222222222,803,141,759,97,1800,VCSL public-label audit,31,0.05956075418161012,0.03406439570695287,29.356164383561644,0.0034826280613948733,287.13947696139473,3.4912173709759326e-05,28643.303860523032,clean,0.0,,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
fedavg_mean,multimodal,none,0.9432962962962962,0.9402615206092612,0.25333333333333335,0.1121243239106546,0.1210989973556659,0.8688888888888889,0.8443983402489627,0.9044444444444445,814,150,750,86,1800,VCSL public-label audit,31,0.1210989973556659,0.0348071495766698,28.729729729729733,0.00356102298478472,280.8181818181818,3.57008368118258e-05,28010.547911547914,label_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
coordinate_median,multimodal,none,0.942225925925926,0.939486131156005,0.26666666666666666,0.09712917267276883,0.046205589334251264,0.865,0.8520900321543409,0.8833333333333333,795,138,762,105,1800,VCSL public-label audit,31,0.046205589334251264,0.032376298106291994,30.886792452830193,0.003304857516991956,302.58490566037733,3.31242340020887e-05,30189.37735849057,label_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
trimmed_mean,multimodal,none,0.9417518518518517,0.9390296177837427,0.26,0.09783103111581472,0.050039046602611784,0.865,0.8528464017185822,0.8822222222222222,794,137,763,106,1800,VCSL public-label audit,31,0.050039046602611784,0.033138564273789646,30.176322418136024,0.0033850613915416094,295.4156171284635,3.393081191219355e-05,29471.738035264487,label_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
krum,multimodal,none,0.9420604938271606,0.9393126173251362,0.26666666666666666,0.09717896339375998,0.046224147636973696,0.8661111111111112,0.8501594048884166,0.8888888888888888,800,141,759,100,1800,VCSL public-label audit,31,0.046224147636973696,0.03257328990228013,30.7,0.0033255736614566014,300.7,3.333255557370328e-05,30000.7,label_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
fedavg_mean,multimodal,none,0.9401814814814813,0.9373139647850515,0.26666666666666666,0.10846974291256807,0.09532338258431679,0.8622222222222222,0.8622222222222222,0.8622222222222222,776,124,776,124,1800,VCSL public-label audit,31,0.09532338258431679,0.03162699706553636,31.618556701030926,0.0032261283134333327,309.9690721649484,3.233261123834901e-05,30928.525773195874,sign_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
coordinate_median,multimodal,none,0.9419395061728396,0.9391746669410372,0.2644444444444444,0.09699533982771032,0.04787595859421923,0.8666666666666667,0.8556034482758621,0.8822222222222222,794,134,766,106,1800,VCSL public-label audit,31,0.04787595859421923,0.032599770077188374,30.67506297229219,0.0033283589597411095,300.448362720403,3.336056519015775e-05,29975.511335012587,sign_flip,0.1,0,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof
