tier,method,scenario,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,ece_mean,ece_std,expected_precision_prev_0.01_mean,expected_precision_prev_0.01_std,reviews_per_true_positive_prev_0.01_mean,reviews_per_true_positive_prev_0.01_std,expected_precision_prev_0.001_mean,expected_precision_prev_0.001_std,reviews_per_true_positive_prev_0.001_mean,reviews_per_true_positive_prev_0.001_std,expected_precision_prev_1e-05_mean,expected_precision_prev_1e-05_std,reviews_per_true_positive_prev_1e-05_mean,reviews_per_true_positive_prev_1e-05_std,seeds,tier_label
Synthetic A/V conflict stress,fedadam,audio_only_copy,,,,,,,,,0.007809296997910153,0.001689503290194828,0.9960733793548027,0.00262747223781344,1.0,0.0,0.9960733793548027,0.00262747223781344,418.6666666666667,8.144527815247077,0.0,0.0,0.0,0.0,1.6666666666666667,1.1547005383792517,420.3333333333333,9.29157324317757,0.007809296997910153,0.001689503290194828,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedadam,hard_negative_same_context,,,,,,,,,0.00797079792635646,0.0009512789070081777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,20.42057785666214,0.0,0.0,427.0,20.42057785666214,0.00797079792635646,0.0009512789070081777,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedadam,matched_av_copy,,,,,,,,,0.0014255438994657036,0.001108632617270813,1.0,0.0,1.0,0.0,1.0,0.0,418.0,11.789826122551595,0.0,0.0,0.0,0.0,0.0,0.0,418.0,11.789826122551595,0.0014255438994657036,0.001108632617270813,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedadam,replaced_audio_conflict,,,,,,,,,0.005463273398457519,0.0016294222855667273,0.9966749792186201,0.0028795524647861766,1.0,0.0,0.9966749792186201,0.0028795524647861766,407.3333333333333,14.433756729740644,0.0,0.0,0.0,0.0,1.3333333333333333,1.1547005383792517,408.6666666666667,13.279056191361391,0.005463273398457519,0.0016294222855667273,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedadam,replaced_video_conflict,,,,,,,,,0.0016474437823734277,0.00012893648159994792,0.9992025518341308,0.0013812207396880752,1.0,0.0,0.9992025518341308,0.0013812207396880752,415.0,4.358898943540674,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,415.3333333333333,4.618802153517007,0.0016474437823734277,0.00012893648159994792,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedadam,video_only_copy,,,,,,,,,0.018914190870887682,0.006170791128157727,0.9868503327196335,0.005931260684656669,1.0,0.0,0.9868503327196335,0.005931260684656669,425.0,17.435595774162696,0.0,0.0,0.0,0.0,5.666666666666667,2.516611478423583,430.6666666666667,17.61628034896508,0.018914190870887682,0.006170791128157727,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,audio_only_copy,,,,,,,,,0.20586660884932487,0.006171752761993689,0.9984253227437683,0.0013643519038050683,1.0,0.0,0.9984253227437683,0.0013643519038050683,419.6666666666667,8.962886439832502,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896258,420.3333333333333,9.29157324317757,0.20586660884932487,0.006171752761993689,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,hard_negative_same_context,,,,,,,,,0.4086619038039767,0.00867730622944925,0.93807021551621,0.01729333968316358,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,8.386497083606084,400.3333333333333,12.583057392117915,0.0,0.0,427.0,20.42057785666214,0.4086619038039767,0.00867730622944925,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,matched_av_copy,,,,,,,,,0.14035130536212642,0.001246761258390074,1.0,0.0,1.0,0.0,1.0,0.0,418.0,11.789826122551595,0.0,0.0,0.0,0.0,0.0,0.0,418.0,11.789826122551595,0.14035130536212642,0.001246761258390074,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,replaced_audio_conflict,,,,,,,,,0.2054205939639813,0.0031022867056124115,0.9975513260872976,0.002494988291576506,1.0,0.0,0.9975513260872976,0.002494988291576506,407.6666666666667,13.316656236958785,0.0,0.0,0.0,0.0,1.0,1.0,408.6666666666667,13.279056191361391,0.2054205939639813,0.0031022867056124115,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,replaced_video_conflict,,,,,,,,,0.19404052005293837,0.0024648911003119743,0.9967635274438869,0.0037308583571113575,1.0,0.0,0.9967635274438869,0.0037308583571113575,414.0,6.082762530298219,0.0,0.0,0.0,0.0,1.3333333333333333,1.5275252316519468,415.3333333333333,4.618802153517007,0.19404052005293837,0.0024648911003119743,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedavg_plain,video_only_copy,,,,,,,,,0.21882242200010818,0.007135455646573554,0.9954055230313849,0.002139741824227071,1.0,0.0,0.9954055230313849,0.002139741824227071,428.6666666666667,16.743157806499145,0.0,0.0,0.0,0.0,2.0,1.0,430.6666666666667,17.61628034896508,0.21882242200010818,0.007135455646573554,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,audio_only_copy,,,,,,,,,0.20588779051961448,0.006158249406049506,0.9984253227437683,0.0013643519038050683,1.0,0.0,0.9984253227437683,0.0013643519038050683,419.6666666666667,8.962886439832502,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896258,420.3333333333333,9.29157324317757,0.20588779051961448,0.006158249406049506,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,hard_negative_same_context,,,,,,,,,0.40935807672251506,0.008680484400863175,0.936549720913359,0.018605268329412377,0.0,0.0,0.0,0.0,0.0,0.0,27.333333333333332,8.962886439832502,399.6666666666667,12.055427546683415,0.0,0.0,427.0,20.42057785666214,0.40935807672251506,0.008680484400863175,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,matched_av_copy,,,,,,,,,0.14020837511100895,0.0012483681534371622,1.0,0.0,1.0,0.0,1.0,0.0,418.0,11.789826122551595,0.0,0.0,0.0,0.0,0.0,0.0,418.0,11.789826122551595,0.14020837511100895,0.0012483681534371622,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,replaced_audio_conflict,,,,,,,,,0.20554450409175073,0.0030938903536597904,0.9975513260872976,0.002494988291576506,1.0,0.0,0.9975513260872976,0.002494988291576506,407.6666666666667,13.316656236958785,0.0,0.0,0.0,0.0,1.0,1.0,408.6666666666667,13.279056191361391,0.20554450409175073,0.0030938903536597904,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,replaced_video_conflict,,,,,,,,,0.19414051162016124,0.0024604445955871772,0.9967635274438869,0.0037308583571113575,1.0,0.0,0.9967635274438869,0.0037308583571113575,414.0,6.082762530298219,0.0,0.0,0.0,0.0,1.3333333333333333,1.5275252316519468,415.3333333333333,4.618802153517007,0.19414051162016124,0.0024604445955871772,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
Synthetic A/V conflict stress,fedprox_plain,video_only_copy,,,,,,,,,0.21886372057099504,0.00713294276498959,0.9954055230313849,0.002139741824227071,1.0,0.0,0.9954055230313849,0.002139741824227071,428.6666666666667,16.743157806499145,0.0,0.0,0.0,0.0,2.0,1.0,430.6666666666667,17.61628034896508,0.21886372057099504,0.00713294276498959,,,,,,,,,,,,,"31,37,41",Synthetic A/V stress tier; scenario-level modality agreement/conflict stress
