bin,bin_lower,bin_upper,count,mean_confidence,empirical_positive_rate,tier,method,seed
0,0.0,0.1,340,0.04632543551686232,0.0058823529411764705,VCSL public-label audit,score_only_logistic,31
1,0.1,0.2,188,0.14412088602312684,0.0797872340425532,VCSL public-label audit,score_only_logistic,31
2,0.2,0.30000000000000004,106,0.2469433205782375,0.1792452830188679,VCSL public-label audit,score_only_logistic,31
3,0.30000000000000004,0.4,78,0.3502293342911819,0.15384615384615385,VCSL public-label audit,score_only_logistic,31
4,0.4,0.5,70,0.45062137731535784,0.32857142857142857,VCSL public-label audit,score_only_logistic,31
5,0.5,0.6000000000000001,67,0.5510167421508556,0.34328358208955223,VCSL public-label audit,score_only_logistic,31
6,0.6000000000000001,0.7000000000000001,85,0.6505372234217583,0.5058823529411764,VCSL public-label audit,score_only_logistic,31
7,0.7000000000000001,0.8,67,0.7494207827144781,0.6119402985074627,VCSL public-label audit,score_only_logistic,31
8,0.8,0.9,123,0.853096582758918,0.7073170731707317,VCSL public-label audit,score_only_logistic,31
9,0.9,1.0,676,0.9768750240777829,0.9393491124260355,VCSL public-label audit,score_only_logistic,31
0,0.0,0.1,321,0.059059465189389704,0.012461059190031152,VCSL public-label audit,invariant_logistic_poly2,31
1,0.1,0.2,204,0.14519580217013164,0.05392156862745098,VCSL public-label audit,invariant_logistic_poly2,31
2,0.2,0.30000000000000004,107,0.24723028410770143,0.11214953271028037,VCSL public-label audit,invariant_logistic_poly2,31
3,0.30000000000000004,0.4,101,0.34589900513485616,0.25742574257425743,VCSL public-label audit,invariant_logistic_poly2,31
4,0.4,0.5,82,0.44428937977007377,0.23170731707317074,VCSL public-label audit,invariant_logistic_poly2,31
5,0.5,0.6000000000000001,77,0.5516551879855535,0.5324675324675324,VCSL public-label audit,invariant_logistic_poly2,31
6,0.6000000000000001,0.7000000000000001,63,0.6459259803765999,0.5555555555555556,VCSL public-label audit,invariant_logistic_poly2,31
7,0.7000000000000001,0.8,93,0.7491180440254596,0.6774193548387096,VCSL public-label audit,invariant_logistic_poly2,31
8,0.8,0.9,134,0.8526057345882533,0.753731343283582,VCSL public-label audit,invariant_logistic_poly2,31
9,0.9,1.0,618,0.974857157816485,0.9514563106796117,VCSL public-label audit,invariant_logistic_poly2,31
0,0.0,0.1,199,0.048052136959520646,0.005025125628140704,VCSL public-label audit,platt_calibrated_score,31
1,0.1,0.2,106,0.14744910463711167,0.009433962264150943,VCSL public-label audit,platt_calibrated_score,31
2,0.2,0.30000000000000004,98,0.24963183780042383,0.09183673469387756,VCSL public-label audit,platt_calibrated_score,31
3,0.30000000000000004,0.4,90,0.35081720155717544,0.06666666666666667,VCSL public-label audit,platt_calibrated_score,31
4,0.4,0.5,117,0.45007370321928,0.1452991452991453,VCSL public-label audit,platt_calibrated_score,31
5,0.5,0.6000000000000001,102,0.5513742300736467,0.24509803921568626,VCSL public-label audit,platt_calibrated_score,31
6,0.6000000000000001,0.7000000000000001,114,0.6529837599607232,0.4298245614035088,VCSL public-label audit,platt_calibrated_score,31
7,0.7000000000000001,0.8,126,0.756970947416919,0.5555555555555556,VCSL public-label audit,platt_calibrated_score,31
8,0.8,0.9,218,0.8528831894108287,0.6559633027522935,VCSL public-label audit,platt_calibrated_score,31
9,0.9,1.0,630,0.9604612178505034,0.919047619047619,VCSL public-label audit,platt_calibrated_score,31
0,0.0,0.1,266,0.04305141921950465,0.007518796992481203,VCSL public-label audit,isotonic_calibrated_score,31
1,0.1,0.2,63,0.15312402085208224,0.047619047619047616,VCSL public-label audit,isotonic_calibrated_score,31
2,0.2,0.30000000000000004,95,0.2433513191705555,0.07368421052631578,VCSL public-label audit,isotonic_calibrated_score,31
3,0.30000000000000004,0.4,100,0.3446518902425001,0.09,VCSL public-label audit,isotonic_calibrated_score,31
4,0.4,0.5,72,0.4462398373983739,0.16666666666666666,VCSL public-label audit,isotonic_calibrated_score,31
5,0.5,0.6000000000000001,77,0.5318409044058396,0.2077922077922078,VCSL public-label audit,isotonic_calibrated_score,31
6,0.6000000000000001,0.7000000000000001,58,0.6179775280898876,0.3103448275862069,VCSL public-label audit,isotonic_calibrated_score,31
7,0.7000000000000001,0.8,158,0.723189081249394,0.4430379746835443,VCSL public-label audit,isotonic_calibrated_score,31
8,0.8,0.9,323,0.8768005406223425,0.6687306501547987,VCSL public-label audit,isotonic_calibrated_score,31
9,0.9,1.0,588,0.9838903806683938,0.9302721088435374,VCSL public-label audit,isotonic_calibrated_score,31
0,0.0,0.1,549,0.040252042719094716,0.06375227686703097,VCSL public-label audit,score_only_logistic,37
1,0.1,0.2,177,0.14234461983290925,0.1977401129943503,VCSL public-label audit,score_only_logistic,37
2,0.2,0.30000000000000004,111,0.2467967331705571,0.27927927927927926,VCSL public-label audit,score_only_logistic,37
3,0.30000000000000004,0.4,94,0.3464197528107456,0.5106382978723404,VCSL public-label audit,score_only_logistic,37
4,0.4,0.5,73,0.44464730483573073,0.6438356164383562,VCSL public-label audit,score_only_logistic,37
5,0.5,0.6000000000000001,84,0.5442901878355672,0.6785714285714286,VCSL public-label audit,score_only_logistic,37
6,0.6000000000000001,0.7000000000000001,73,0.6467677315468385,0.7123287671232876,VCSL public-label audit,score_only_logistic,37
7,0.7000000000000001,0.8,85,0.7541176766692695,0.8588235294117647,VCSL public-label audit,score_only_logistic,37
8,0.8,0.9,119,0.851531758014875,0.8403361344537815,VCSL public-label audit,score_only_logistic,37
9,0.9,1.0,435,0.9709049099900025,0.9701149425287356,VCSL public-label audit,score_only_logistic,37
0,0.0,0.1,514,0.04852427473253681,0.05252918287937743,VCSL public-label audit,invariant_logistic_poly2,37
1,0.1,0.2,196,0.14745487143919644,0.19387755102040816,VCSL public-label audit,invariant_logistic_poly2,37
2,0.2,0.30000000000000004,132,0.24849545262197376,0.38636363636363635,VCSL public-label audit,invariant_logistic_poly2,37
3,0.30000000000000004,0.4,107,0.3517816783051769,0.4392523364485981,VCSL public-label audit,invariant_logistic_poly2,37
4,0.4,0.5,80,0.45174794457448036,0.6375,VCSL public-label audit,invariant_logistic_poly2,37
5,0.5,0.6000000000000001,80,0.5468055754453156,0.6875,VCSL public-label audit,invariant_logistic_poly2,37
6,0.6000000000000001,0.7000000000000001,66,0.6480981246552275,0.7424242424242424,VCSL public-label audit,invariant_logistic_poly2,37
7,0.7000000000000001,0.8,104,0.7484114246554172,0.8269230769230769,VCSL public-label audit,invariant_logistic_poly2,37
8,0.8,0.9,126,0.8522207018736483,0.8888888888888888,VCSL public-label audit,invariant_logistic_poly2,37
9,0.9,1.0,395,0.9713278251142545,0.9721518987341772,VCSL public-label audit,invariant_logistic_poly2,37
0,0.0,0.1,440,0.03755992174389522,0.04772727272727273,VCSL public-label audit,platt_calibrated_score,37
1,0.1,0.2,188,0.14128229468072148,0.14893617021276595,VCSL public-label audit,platt_calibrated_score,37
2,0.2,0.30000000000000004,136,0.24877537185953907,0.33088235294117646,VCSL public-label audit,platt_calibrated_score,37
3,0.30000000000000004,0.4,133,0.35444874570235746,0.44360902255639095,VCSL public-label audit,platt_calibrated_score,37
4,0.4,0.5,117,0.45067317395571227,0.5299145299145299,VCSL public-label audit,platt_calibrated_score,37
5,0.5,0.6000000000000001,100,0.5502516601676279,0.69,VCSL public-label audit,platt_calibrated_score,37
6,0.6000000000000001,0.7000000000000001,117,0.6505232170179687,0.7521367521367521,VCSL public-label audit,platt_calibrated_score,37
7,0.7000000000000001,0.8,128,0.7502409853301598,0.8515625,VCSL public-label audit,platt_calibrated_score,37
8,0.8,0.9,180,0.8517417804672894,0.9055555555555556,VCSL public-label audit,platt_calibrated_score,37
9,0.9,1.0,261,0.9496053772658795,0.9808429118773946,VCSL public-label audit,platt_calibrated_score,37
0,0.0,0.1,576,0.03853596210562001,0.06597222222222222,VCSL public-label audit,isotonic_calibrated_score,37
1,0.1,0.2,110,0.15742961683770995,0.23636363636363636,VCSL public-label audit,isotonic_calibrated_score,37
2,0.2,0.30000000000000004,149,0.2412052039999867,0.4429530201342282,VCSL public-label audit,isotonic_calibrated_score,37
3,0.30000000000000004,0.4,54,0.3273428815635566,0.37037037037037035,VCSL public-label audit,isotonic_calibrated_score,37
4,0.4,0.5,103,0.4353529420242816,0.4854368932038835,VCSL public-label audit,isotonic_calibrated_score,37
5,0.5,0.6000000000000001,93,0.5277943792804815,0.6989247311827957,VCSL public-label audit,isotonic_calibrated_score,37
6,0.6000000000000001,0.7000000000000001,76,0.6332951945080092,0.7105263157894737,VCSL public-label audit,isotonic_calibrated_score,37
7,0.7000000000000001,0.8,145,0.7347793783433538,0.8,VCSL public-label audit,isotonic_calibrated_score,37
8,0.8,0.9,149,0.8592503732912552,0.8926174496644296,VCSL public-label audit,isotonic_calibrated_score,37
9,0.9,1.0,345,0.9551010530807185,0.9623188405797102,VCSL public-label audit,isotonic_calibrated_score,37
0,0.0,0.1,474,0.04150655455376586,0.08438818565400844,VCSL public-label audit,score_only_logistic,41
1,0.1,0.2,192,0.1465730765206437,0.2552083333333333,VCSL public-label audit,score_only_logistic,41
2,0.2,0.30000000000000004,126,0.24660955984417043,0.3253968253968254,VCSL public-label audit,score_only_logistic,41
3,0.30000000000000004,0.4,82,0.34959918191906003,0.4634146341463415,VCSL public-label audit,score_only_logistic,41
4,0.4,0.5,76,0.45026453476263056,0.4473684210526316,VCSL public-label audit,score_only_logistic,41
5,0.5,0.6000000000000001,84,0.5472043871273273,0.5595238095238095,VCSL public-label audit,score_only_logistic,41
6,0.6000000000000001,0.7000000000000001,92,0.6442521150410289,0.7065217391304348,VCSL public-label audit,score_only_logistic,41
7,0.7000000000000001,0.8,90,0.7515684324176289,0.6666666666666666,VCSL public-label audit,score_only_logistic,41
8,0.8,0.9,130,0.8524383124045779,0.7846153846153846,VCSL public-label audit,score_only_logistic,41
9,0.9,1.0,454,0.9707931526063214,0.933920704845815,VCSL public-label audit,score_only_logistic,41
0,0.0,0.1,416,0.05393666726571823,0.06971153846153846,VCSL public-label audit,invariant_logistic_poly2,41
1,0.1,0.2,216,0.14690204167192777,0.20833333333333334,VCSL public-label audit,invariant_logistic_poly2,41
2,0.2,0.30000000000000004,116,0.24722473446184634,0.27586206896551724,VCSL public-label audit,invariant_logistic_poly2,41
3,0.30000000000000004,0.4,100,0.3459596480295481,0.48,VCSL public-label audit,invariant_logistic_poly2,41
4,0.4,0.5,98,0.4504073114145304,0.47959183673469385,VCSL public-label audit,invariant_logistic_poly2,41
5,0.5,0.6000000000000001,75,0.5433936405375672,0.56,VCSL public-label audit,invariant_logistic_poly2,41
6,0.6000000000000001,0.7000000000000001,99,0.6451837845965431,0.6363636363636364,VCSL public-label audit,invariant_logistic_poly2,41
7,0.7000000000000001,0.8,110,0.7529555111428776,0.7181818181818181,VCSL public-label audit,invariant_logistic_poly2,41
8,0.8,0.9,143,0.8544760833502503,0.8111888111888111,VCSL public-label audit,invariant_logistic_poly2,41
9,0.9,1.0,427,0.9714728490298224,0.9344262295081968,VCSL public-label audit,invariant_logistic_poly2,41
0,0.0,0.1,417,0.03705055472994558,0.05755395683453238,VCSL public-label audit,platt_calibrated_score,41
1,0.1,0.2,180,0.1434608801705945,0.26666666666666666,VCSL public-label audit,platt_calibrated_score,41
2,0.2,0.30000000000000004,135,0.2476133734742763,0.2814814814814815,VCSL public-label audit,platt_calibrated_score,41
3,0.30000000000000004,0.4,105,0.350491225646981,0.3619047619047619,VCSL public-label audit,platt_calibrated_score,41
4,0.4,0.5,102,0.45025665171500207,0.45098039215686275,VCSL public-label audit,platt_calibrated_score,41
5,0.5,0.6000000000000001,112,0.5488405219215933,0.6160714285714286,VCSL public-label audit,platt_calibrated_score,41
6,0.6000000000000001,0.7000000000000001,128,0.6500544536250404,0.7109375,VCSL public-label audit,platt_calibrated_score,41
7,0.7000000000000001,0.8,142,0.7505023792667289,0.7535211267605634,VCSL public-label audit,platt_calibrated_score,41
8,0.8,0.9,186,0.8525249663693459,0.8548387096774194,VCSL public-label audit,platt_calibrated_score,41
9,0.9,1.0,293,0.9539818871504812,0.9556313993174061,VCSL public-label audit,platt_calibrated_score,41
0,0.0,0.1,450,0.017105257360230885,0.06666666666666667,VCSL public-label audit,isotonic_calibrated_score,41
1,0.1,0.2,229,0.12947591913768847,0.2925764192139738,VCSL public-label audit,isotonic_calibrated_score,41
2,0.2,0.30000000000000004,59,0.28777521770481385,0.2542372881355932,VCSL public-label audit,isotonic_calibrated_score,41
3,0.30000000000000004,0.4,102,0.35138489244686233,0.38235294117647056,VCSL public-label audit,isotonic_calibrated_score,41
4,0.4,0.5,141,0.43871840451800204,0.475177304964539,VCSL public-label audit,isotonic_calibrated_score,41
5,0.5,0.6000000000000001,55,0.5844608353319155,0.6363636363636364,VCSL public-label audit,isotonic_calibrated_score,41
6,0.6000000000000001,0.7000000000000001,75,0.658007499536899,0.6266666666666667,VCSL public-label audit,isotonic_calibrated_score,41
7,0.7000000000000001,0.8,210,0.751764960404422,0.7666666666666667,VCSL public-label audit,isotonic_calibrated_score,41
8,0.8,0.9,89,0.8657877493622612,0.8089887640449438,VCSL public-label audit,isotonic_calibrated_score,41
9,0.9,1.0,390,0.9653182918208886,0.941025641025641,VCSL public-label audit,isotonic_calibrated_score,41
