tier,method,round,mean_client_loss_mean,mean_client_loss_std,seed_count,seeds
VCSL public labels,fedavg_plain,1,0.45031660351428293,0.006863142757450582,3,31;37;41
VCSL public labels,fedavg_plain,2,0.3958612406896132,0.0064352917931669315,3,31;37;41
VCSL public labels,fedavg_plain,3,0.3705358861057079,0.0069354375218577,3,31;37;41
VCSL public labels,fedavg_plain,4,0.3554911608950646,0.0074239074224496625,3,31;37;41
VCSL public labels,fedavg_plain,5,0.34538535056266556,0.007850674848675382,3,31;37;41
VCSL public labels,fedavg_plain,6,0.3380790488682203,0.008220120773312798,3,31;37;41
VCSL public labels,fedavg_plain,7,0.3325317787440651,0.008544258182676904,3,31;37;41
VCSL public labels,fedavg_plain,8,0.32816917872910073,0.008834105066121643,3,31;37;41
VCSL public labels,fedavg_plain,9,0.32464501524947514,0.009098060154071542,3,31;37;41
VCSL public labels,fedavg_plain,10,0.32173682921313024,0.009342111027169983,3,31;37;41
VCSL public labels,fedavg_plain,11,0.3192946809523693,0.009570418581759863,3,31;37;41
VCSL public labels,fedavg_plain,12,0.3172136866644579,0.009785858768917313,3,31;37;41
VCSL public labels,fedavg_plain,13,0.3154182649725957,0.009990432293328154,3,31;37;41
VCSL public labels,fedavg_plain,14,0.31385259767625323,0.010185551004205312,3,31;37;41
VCSL public labels,fedavg_plain,15,0.3124745961156006,0.010372231107033711,3,31;37;41
VCSL public labels,fedavg_plain,16,0.31125194686948704,0.010551221557036809,3,31;37;41
VCSL public labels,fedavg_plain,17,0.3101594429943728,0.010723089070487687,3,31;37;41
VCSL public labels,fedavg_plain,18,0.309177137969194,0.010888274614857156,3,31;37;41
VCSL public labels,fedavg_plain,19,0.30828904165292753,0.011047131262486376,3,31;37;41
VCSL public labels,fedavg_plain,20,0.3074821822400174,0.011199949848936644,3,31;37;41
VCSL public labels,fedprox_plain,1,0.4507741993983256,0.006860692119892912,3,31;37;41
VCSL public labels,fedprox_plain,2,0.3961708233524188,0.0064382929952887715,3,31;37;41
VCSL public labels,fedprox_plain,3,0.370769685169604,0.006936013904757005,3,31;37;41
VCSL public labels,fedprox_plain,4,0.35568054130966315,0.007422681225946,3,31;37;41
VCSL public labels,fedprox_plain,5,0.34554514218268423,0.007848385054750658,3,31;37;41
VCSL public labels,fedprox_plain,6,0.33821733824688116,0.00821725985116573,3,31;37;41
VCSL public labels,fedprox_plain,7,0.33265354090052374,0.00854111211010481,3,31;37;41
VCSL public labels,fedprox_plain,8,0.32827777467776076,0.008830833665499511,3,31;37;41
VCSL public labels,fedprox_plain,9,0.3247428750976731,0.009094753445201846,3,31;37;41
VCSL public labels,fedprox_plain,10,0.321825794431077,0.009338821659152698,3,31;37;41
VCSL public labels,fedprox_plain,11,0.3193761919205415,0.00956717913195506,3,31;37;41
VCSL public labels,fedprox_plain,12,0.3172888944734138,0.00978269068984604,3,31;37;41
VCSL public labels,fedprox_plain,13,0.3154881032997095,0.00998735053214224,3,31;37;41
VCSL public labels,fedprox_plain,14,0.31391783202125145,0.010182566453291799,3,31;37;41
VCSL public labels,fedprox_plain,15,0.3125358592513376,0.01036935198103707,3,31;37;41
VCSL public labels,fedprox_plain,16,0.3113097653355936,0.010548454231872388,3,31;37;41
VCSL public labels,fedprox_plain,17,0.31021425743651004,0.0107204386395598,3,31;37;41
VCSL public labels,fedprox_plain,18,0.309229319055354,0.010885745282675151,3,31;37;41
VCSL public labels,fedprox_plain,19,0.3083389027000059,0.011044726633175935,3,31;37;41
VCSL public labels,fedprox_plain,20,0.3075299893305732,0.01119767313905813,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,1,0.45031660351428293,0.006863142757450582,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,2,0.39586124068961315,0.006435291793166875,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,3,0.3705358861057078,0.006935437521857614,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,4,0.3554911608950648,0.007423907422449532,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,5,0.3453853505626656,0.007850674848675222,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,6,0.33807904886822043,0.008220120773312535,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,7,0.33253177874406536,0.008544258182676685,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,8,0.32816917872910084,0.00883410506612154,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,9,0.32464501524947537,0.009098060154071521,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,10,0.32173682921313046,0.009342111027169997,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,11,0.3192946809523696,0.009570418581759785,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,12,0.31721368666445815,0.009785858768917298,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,13,0.3154182649725959,0.00999043229332814,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,14,0.3138525976762536,0.010185551004205165,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,15,0.31247459611560086,0.010372231107033525,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,16,0.3112519468694873,0.010551221557036607,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,17,0.3101594429943731,0.010723089070487472,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,18,0.3091771379691944,0.01088827461485687,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,19,0.3082890416529278,0.011047131262486144,3,31;37;41
VCSL public labels,fedavg_secureagg_sim,20,0.3074821822400176,0.011199949848936401,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,1,0.45031660351428293,0.006863142757450582,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,2,0.3958612379961843,0.006435293709021315,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,3,0.3705358680047697,0.006935442922337509,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,4,0.3554911657124626,0.007423895762292201,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,5,0.3453853535583757,0.00785065893709963,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,6,0.33807905846149117,0.00822011325807636,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,7,0.33253178651046394,0.008544238650377975,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,8,0.32816919538849176,0.008834100000889099,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,9,0.3246450267540057,0.00909804851236873,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,10,0.3217368440836376,0.009342100260998671,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,11,0.3192946995033576,0.009570398579368021,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,12,0.3172137045541224,0.00978584620161018,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,13,0.31541828811462863,0.009990417530641001,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,14,0.3138526138318893,0.010185544089727208,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,15,0.3124746160312936,0.010372216259419897,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,16,0.31125196703893004,0.010551204423149448,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,17,0.31015946328337446,0.0107230692371715,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,18,0.30917715842354604,0.010888249010486177,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,19,0.30828906059277417,0.011047103701299976,3,31;37;41
VCSL public labels,fedavg_quantized_transport_proxy,20,0.3074822036071035,0.011199917588951499,3,31;37;41
