method,group,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,seed_mean,seed_std
audio_similarity,fixed evidence,0.7272040592592592,0.01641855227933695,0.7147169202206393,0.016010122810053443,0.7790666666666667,0.02309439566455706,0.6522222222222221,0.011617866190261244,0.617098501710115,0.014824043061256094,0.8056000000000001,0.04256404324988143,6042.0,319.2303243741108,3758.6666666666665,408.4425704224932,3741.3333333333335,408.4425704224932,1458.0,319.2303243741108,15000.0,0.0,36.333333333333336,5.033222956847165
fedadam,fedopt,0.8927646162962963,0.012187515955356092,0.8923656075636464,0.010871502215303775,0.4556,0.04781129573646794,0.8025333333333333,0.015473130833085406,0.8519508830024803,0.006228270212012868,0.7322666666666667,0.033555791021984825,5492.0,251.66843266488547,954.0,49.78955713801841,6546.0,49.78955713801841,2008.0,251.66843266488547,15000.0,0.0,36.333333333333336,5.033222956847165
fedyogi,fedopt,0.8930633066666666,0.012795096692003101,0.8931146982293222,0.01165525640943975,0.4551111111111111,0.04841383334605158,0.8037777777777778,0.015782456270363208,0.8492238320990241,0.0077095662746930185,0.7386666666666667,0.03399241745513908,5540.0,254.94313091354314,983.3333333333334,62.16376221990859,6516.666666666667,62.16376221990852,1960.0,254.94313091354314,15000.0,0.0,36.333333333333336,5.033222956847165
hist_gradient_boosting_invariant,fusion head,0.8828906311111111,0.014279397377605732,0.8851549260616114,0.013463857113812221,0.4904,0.04866337888437717,0.7904,0.0135769412362776,0.8499460359995606,0.018222201269782485,0.7054666666666667,0.016057120262086517,5291.0,120.42840196564929,935.0,124.591331961738,6565.0,124.591331961738,2209.0,120.42840196564929,15000.0,0.0,36.333333333333336,5.033222956847165
isotonic_calibrated_score,calibration,0.88625336,0.012057888255816957,0.8805638415481495,0.012548404114848553,0.49560000000000004,0.05067877048407725,0.8001999999999999,0.015267103341644236,0.8221403261893828,0.009347792627737524,0.766311111111111,0.03809329677593239,5747.333333333333,285.69972581949276,1244.3333333333333,105.67087268180073,6255.666666666667,105.6708726818008,1752.6666666666667,285.69972581949276,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_poly2_all_fields,fusion head,0.8164374222222222,0.012120997126324775,0.8325712985594169,0.010479866858943532,0.6979555555555556,0.018018426782150068,0.7256888888888889,0.007807783391045178,0.8380049738525542,0.01708952001726232,0.5597333333333333,0.0036098630321814867,4198.0,27.073972741361768,812.6666666666666,100.20146372849717,6687.333333333333,100.20146372849703,3302.0,27.073972741361768,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_poly2_invariant,fusion head,0.8976804503703703,0.01327808282679339,0.8988994448683593,0.01284534015780436,0.4458666666666667,0.041631398407131794,0.8003777777777777,0.012411882001324913,0.8785568919979855,0.014935671019640866,0.697111111111111,0.013984329854572309,5228.333333333333,104.88247390929197,722.6666666666666,88.7374404258616,6777.333333333333,88.73744042586145,2271.6666666666665,104.88247390929213,15000.0,0.0,36.333333333333336,5.033222956847165
logistic_score_only,calibration,0.8991032948148149,0.013323478270001712,0.9001153253639176,0.013240303071313209,0.4452,0.03660163930755014,0.7998888888888889,0.01318354754707263,0.8798456385195054,0.016770439423425335,0.6946666666666667,0.014681204915734176,5210.0,110.10903686800643,711.6666666666666,101.6579231212862,6788.333333333333,101.65792312128606,2290.0,110.10903686800643,15000.0,0.0,36.333333333333336,5.033222956847165
mean_score_fusion,fixed evidence,0.8864600355555555,0.012143747574285768,0.8854122475431697,0.012353819847247883,0.47444444444444445,0.044979863807576674,0.7660444444444444,0.0290783870356077,0.7049277434730926,0.03642387873070719,0.9204888888888889,0.017867330004269797,6903.666666666667,134.0049750320237,2913.0,557.0026929916946,4587.0,557.0026929916946,596.3333333333334,134.00497503202388,15000.0,0.0,36.333333333333336,5.033222956847165
platt_calibrated_score,calibration,0.8864600355555555,0.012143747574285768,0.8854122475431697,0.012353819847247883,0.47444444444444445,0.044979863807576674,0.8010222222222222,0.014949445672864478,0.821653548852132,0.010988672168757969,0.7690666666666667,0.03322194723037433,5768.0,249.16460422780762,1252.6666666666667,105.61407734451562,6247.333333333333,105.61407734451552,1732.0,249.16460422780762,15000.0,0.0,36.333333333333336,5.033222956847165
video_similarity,fixed evidence,0.8762869333333333,0.01742805649785218,0.8780320943973621,0.017318326421404295,0.5165333333333333,0.05272165905330875,0.7433111111111111,0.03626674836592104,0.6803551715212643,0.04056365369007974,0.9254666666666668,0.017069270634681524,6941.0,128.0195297601112,3291.3333333333335,651.7363986561846,4208.666666666667,651.7363986561849,559.0,128.0195297601112,15000.0,0.0,36.333333333333336,5.033222956847165
